postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
ML106AB,ML10 6AB,ML,82,0,82,0,0,0,18,21.9,22.5,6.7,54.9,7.4,19.7,45.0,0,1.2,1.8,0.8,10.0,0.9,1.2,10.0,0,0,0,2,22,3,0,65.5,72.2,61.5,95.7,0
ML106AD,ML10 6AD,ML,100,0,100,0,0,0,0,24.1,36.9,4.9,80.0,4.9,17.2,61.5,0,1.2,6.0,0.2,20.0,0.2,1.9,16.2,0,0,1,0,9,8,0,156.2,1.8,129.6,203.2,0
ML106AE,ML10 6AE,ML,100,0,100,0,0,0,0,18.2,23.7,8.1,55.0,8.1,14.8,55.0,0,1.2,3.0,0.8,10.0,1.0,1.1,10.0,0,0,0,2,5,2,0,52.9,71.6,52.0,56.0,0
ML106AF,ML10 6AF,ML,0,0,0,0,0,0,100,19.8,17.2,4.5,23.9,6.9,17.2,0,0,1.1,1.0,0.2,1.2,0.8,1.0,0,0,0,1,2,8,0,0,10.9,6.4,10.9,0,0
ML106AH,ML10 6AH,ML,100,0,100,0,0,0,0,22.8,22.0,6.0,40.0,6.0,19.0,40.0,0,1.0,1.0,0.8,1.2,1.0,1.0,0,0,0,0,1,5,1,0,15.4,11.2,13.3,28.1,0
ML106AJ,ML10 6AJ,ML,100,0,100,0,0,0,0,22.6,22.2,18.9,23.6,0,22.2,0,0,1.2,1.2,1.0,1.3,0,1.2,0,0,0,0,0,6,0,0,36.4,0,36.4,0,0
ML106AL,ML10 6AL,ML,100,0,100,0,0,0,0,23.9,33.7,8.2,79.8,8.2,20.2,67.4,0,1.1,2.5,0.4,10.0,0.8,0.9,10.0,0,0,0,1,4,2,0,47.6,51.0,52.4,35.6,0
ML106AN,ML10 6AN,ML,100,0,100,0,0,0,0,31.8,38.0,17.5,80.0,0,22.4,53.6,0,1.1,4.2,0.8,20.0,0,1.0,20.0,0,0,0,0,5,5,0,72.7,0,96.5,48.8,0
ML106AQ,ML10 6AQ,ML,31,0,31,0,0,0,69,21.7,19.7,0.6,55.0,5.8,17.2,55.0,0,1.2,1.8,0.4,10.0,0.7,1.1,10.0,0,1,0,3,10,1,0,170.4,1.8,163.5,246.5,0
ML106AR,ML10 6AR,ML,100,0,100,0,0,0,0,40.0,37.8,8.8,80.0,8.8,13.2,59.9,0,1.3,6.6,0.4,20.0,1.1,1.0,15.0,0,0,0,1,8,10,0,118.1,2.8,143.3,95.5,0
ML106AS,ML10 6AS,ML,0,0,0,0,0,0,100,22.7,20.7,8.1,24.0,8.1,20.7,0,0,1.0,1.0,0.8,1.3,0.9,1.0,0,0,0,0,2,14,0,0,45.1,49.6,45.1,0,0
ML106AU,ML10 6AU,ML,100,0,100,0,0,0,0,20.4,28.9,13.0,79.8,0,19.3,67.4,0,1.1,2.0,0.4,10.0,0,1.0,10.0,0,0,0,0,8,2,0,98.0,0,59.7,251.1,0
ML106AW,ML10 6AW,ML,3,0,5,3,3,3,98,22.0,22.0,18.0,24.4,0,22.0,0,0,1.2,1.1,0.9,1.3,0,1.1,0,0,0,0,0,23,0,0,54.5,0,54.5,0,0
ML106AX,ML10 6AX,ML,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ML106AY,ML10 6AY,ML,100,0,100,0,0,0,0,3.2,13.4,1.5,55.0,3.0,3.0,55.0,0,0.8,0.8,0.6,1.1,0.8,0.8,0,0,1,3,0,0,1,0,218.0,177.3,177.3,380.6,0
ML106AZ,ML10 6AZ,ML,24,0,100,0,0,0,76,14.3,19.3,2.2,41.9,6.6,12.1,37.3,0,1.2,2.7,0.4,7.7,1.1,1.3,7.2,0,0,1,5,9,6,0,121.1,33.2,153.2,40.8,0
ML106BA,ML10 6BA,ML,100,0,100,0,0,0,0,20.3,27.0,5.0,80.0,6.5,17.8,53.3,0,1.2,2.6,0.6,15.8,0.9,1.1,11.9,0,0,1,1,18,7,0,123.9,82.9,102.4,185.4,0
ML106BB,ML10 6BB,ML,100,0,100,0,0,0,0,20.3,32.4,5.0,79.8,6.9,14.9,64.0,0,1.1,5.2,0.2,20.0,0.5,1.0,14.8,0,0,1,3,14,10,0,71.6,24.6,41.7,111.9,0
ML106BD,ML10 6BD,ML,100,0,100,0,0,0,0,19.4,32.7,18.6,79.8,0,19.1,59.9,0,1.2,1.2,1.1,1.3,0,1.2,0,0,0,0,0,4,2,0,76.1,0,37.3,153.6,0
ML106BE,ML10 6BE,ML,100,0,100,0,0,0,0,39.9,32.5,8.1,59.1,8.1,16.7,45.7,0,1.4,6.3,0.5,19.8,0,1.0,13.2,0,0,0,1,4,6,0,38.0,39.9,19.4,53.4,0
ML106BF,ML10 6BF,ML,0,0,0,0,0,100,100,4.5,5.2,1.2,14.7,4.7,5.2,0,0,0.8,0.7,0.3,1.1,0.7,0.7,0,0,1,16,11,2,0,0,73.0,69.5,73.0,0,0
