postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
N101AA,N10 1AA,N,100,0,100,0,0,0,0,39.9,35.4,2.9,79.2,5.6,9.4,58.1,0,1.2,6.8,0.4,20.0,0.8,0.9,13.1,0,0,2,4,8,16,0,250.1,178.7,186.4,325.0,0
N101AB,N10 1AB,N,100,0,100,0,0,0,0,13.7,28.5,0.3,79.7,7.0,9.5,53.8,0,1.1,4.2,0.6,20.0,1.0,1.0,11.3,0,1,1,13,9,18,0,214.1,103.0,156.6,296.1,0
N101AD,N10 1AD,N,100,0,100,0,0,0,0,10.0,18.1,5.9,54.9,7.0,8.3,47.5,0,1.1,3.3,0.7,10.0,0.9,1.0,10.0,0,0,0,4,2,2,0,329.4,403.9,330.7,325.5,0
N101AE,N10 1AE,N,100,0,100,0,0,0,0,9.1,17.5,5.5,49.8,7.4,10.6,48.3,0,1.0,2.4,0.5,10.0,0.9,1.6,10.0,0,0,0,6,3,2,0,194.6,80.5,191.5,203.9,0
N101AF,N10 1AF,N,97,0,100,0,0,0,3,8.2,14.3,0.4,44.6,6.7,9.6,36.8,0,1.1,2.7,0.4,12.8,0.9,1.8,9.0,0,1,3,31,9,9,0,242.2,209.8,207.9,362.5,0
N101AG,N10 1AG,N,100,0,100,0,0,0,0,39.9,34.0,11.3,60.5,0,12.2,48.6,0,5.5,7.1,0.8,16.4,0,0.9,13.2,0,0,0,0,2,3,0,133.3,0,181.4,101.2,0
N101AH,N10 1AH,N,100,0,100,0,0,0,0,51.2,44.0,5.7,79.7,7.0,7.0,56.3,0,10.0,7.0,0.9,10.0,1.0,1.0,10.0,0,0,0,3,0,9,0,248.4,174.8,174.8,231.2,0
N101AJ,N10 1AJ,N,100,0,100,0,0,0,0,54.9,46.2,6.4,78.7,7.5,7.5,61.7,0,10.0,8.7,0.9,20.0,1.0,1.0,12.5,0,0,0,2,0,5,0,141.3,39.8,39.8,152.0,0
N101AL,N10 1AL,N,100,0,100,0,0,0,0,9.5,24.1,3.1,73.4,7.3,8.7,50.2,0,1.1,5.1,0.6,20.0,1.0,1.3,12.8,0,0,3,16,3,13,0,280.6,220.8,229.9,349.6,0
N101AN,N10 1AN,N,100,0,100,0,0,0,0,8.0,23.5,4.1,60.5,7.0,7.6,47.3,0,1.1,3.7,0.8,13.0,1.0,1.1,9.6,0,0,1,19,1,14,0,210.7,187.2,223.2,188.5,0
