postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NG101AB,NG10 1AB,NG,100,0,100,0,0,0,0,50.0,57.0,4.7,200.0,8.5,10.8,90.7,0,3.0,4.4,0.6,20.0,0.9,1.0,7.0,0,0,1,6,9,22,0,114.1,125.5,77.5,144.1,0
NG101AD,NG10 1AD,NG,100,0,100,0,0,0,0,50.0,53.3,5.7,200.0,7.2,12.5,73.7,0,3.0,4.8,0.8,12.0,1.0,1.0,6.8,0,0,0,4,7,22,0,162.2,154.0,218.8,148.2,0
NG101AE,NG10 1AE,NG,100,0,100,0,0,0,0,50.0,58.3,4.7,200.0,7.4,9.1,92.7,0,3.0,4.6,0.5,12.0,0.9,1.0,7.3,0,0,1,9,4,20,0,78.4,76.0,75.6,82.9,0
NG101AF,NG10 1AF,NG,100,0,100,0,0,0,0,50.0,65.6,2.1,200.0,7.2,10.0,96.9,0,5.0,5.1,0.6,12.0,0.8,1.1,7.4,0,0,1,3,5,16,0,65.5,18.7,75.2,60.1,0
NG101AG,NG10 1AG,NG,100,0,100,0,0,0,0,40.0,50.8,5.1,200.0,6.2,10.9,85.7,0,2.0,3.8,0.4,12.0,0.8,0.9,6.4,0,0,0,3,11,16,0,82.7,68.8,65.5,106.5,0
NG101AH,NG10 1AH,NG,100,0,100,0,0,0,0,20.0,63.7,5.2,200.0,6.5,11.5,133.3,0,1.1,4.1,0.8,12.0,0.9,1.0,8.3,0,0,0,2,2,3,0,54.6,82.4,61.9,44.9,0
NG101AJ,NG10 1AJ,NG,100,0,100,0,0,0,0,50.0,45.8,2.3,150.0,4.5,8.4,70.8,0,3.0,3.8,0.7,10.0,0.9,0.9,5.7,0,0,2,1,1,6,0,132.5,274.0,206.2,83.3,0
NG101AL,NG10 1AL,NG,100,0,100,0,0,0,0,47.6,49.9,3.0,200.0,5.9,7.0,79.5,0,3.0,4.6,0.6,14.6,0.9,0.9,7.2,0,0,3,4,2,13,0,68.0,66.1,58.2,74.8,0
NG101AN,NG10 1AN,NG,100,0,100,0,0,0,0,27.5,43.8,6.4,200.0,7.5,10.6,77.0,0,2.0,3.0,0.9,12.0,1.0,1.2,5.3,0,0,0,3,2,5,0,33.0,36.6,26.4,46.2,0
NG101AP,NG10 1AP,NG,100,0,100,0,0,0,0,34.9,51.9,4.1,200.0,6.6,10.2,88.7,0,2.0,4.5,0.6,19.0,0.9,0.9,7.9,0,0,4,7,4,17,0,56.5,50.5,41.3,73.1,0
NG101AQ,NG10 1AQ,NG,100,0,100,0,0,0,0,50.0,61.2,1.3,200.0,6.6,9.0,90.9,0,4.0,5.8,0.8,20.0,1.0,1.0,8.6,0,1,1,6,4,21,0,130.9,34.4,54.4,177.4,0
NG101AR,NG10 1AR,NG,100,0,100,0,0,0,0,35.0,64.3,0.3,200.0,5.9,9.1,119.4,0,3.0,5.2,0.7,12.0,1.0,1.1,8.9,0,1,3,4,3,11,0,61.6,35.6,35.4,90.5,0
NG101AS,NG10 1AS,NG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NG101AT,NG10 1AT,NG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NG101AU,NG10 1AU,NG,17,0,100,0,0,0,83,30.0,26.8,4.1,51.2,6.3,15.7,40.2,0,5.5,4.8,0.7,6.7,0.7,3.9,6.1,0,0,1,2,3,5,0,82.2,0.3,117.7,53.8,0
NG101AW,NG10 1AW,NG,100,0,100,0,0,0,0,20.2,38.9,1.1,150.0,6.5,12.2,71.7,0,2.1,3.6,0.4,10.0,0.8,1.7,5.9,0,1,0,2,8,9,0,102.9,137.1,133.6,62.3,0
NG101AX,NG10 1AX,NG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NG101AY,NG10 1AY,NG,100,0,100,0,0,0,0,17.3,21.5,11.1,54.9,0,16.3,52.5,0,1.0,1.7,0.4,10.0,0,0.9,6.5,0,0,0,0,12,2,0,33.3,0,33.4,33.2,0
NG101AZ,NG10 1AZ,NG,100,0,100,0,0,0,0,50.0,61.8,18.6,200.0,0,20.7,90.5,0,3.0,4.3,1.0,12.0,0,1.2,6.5,0,0,0,0,7,10,0,117.2,0,117.6,116.9,0
NG101BA,NG10 1BA,NG,100,0,100,0,0,0,0,60.0,71.1,17.5,200.0,0,20.4,90.1,0,5.0,4.9,0.8,12.0,0,1.0,6.7,0,0,0,0,6,16,0,263.1,0,215.4,296.4,0
NG101BB,NG10 1BB,NG,100,0,100,0,0,0,0,30.0,59.0,6.5,200.0,7.3,17.7,94.8,0,2.0,3.7,0.8,12.0,1.0,1.0,6.2,0,0,0,2,11,15,0,253.0,3.6,231.8,284.8,0
NG101BD,NG10 1BD,NG,100,0,100,0,0,0,0,15.9,26.3,0.3,80.0,5.4,12.8,57.8,0,1.2,3.9,0.8,10.0,1.1,1.5,10.0,0,1,0,3,17,9,0,23.7,20.8,28.7,15.4,0
NG101BE,NG10 1BE,NG,100,0,100,0,0,0,0,50.2,47.4,14.3,80.0,0,17.9,62.2,0,8.6,9.9,1.0,20.0,0,1.1,18.8,0,0,0,0,4,8,0,81.4,0,13.3,115.5,0
NG101BF,NG10 1BF,NG,100,0,100,0,0,0,0,18.0,47.5,13.5,200.0,0,15.8,111.0,0,1.2,3.3,0.6,12.0,0,1.0,8.0,0,0,0,0,10,5,0,208.8,0,169.5,279.4,0
NG101BG,NG10 1BG,NG,100,0,100,0,0,0,0,100.0,121.4,20.0,200.0,0,20.0,138.3,0,9.0,7.7,1.1,12.0,0,1.1,9.0,0,0,0,0,1,6,0,359.3,0,64.1,468.4,0
NG101BH,NG10 1BH,NG,100,0,100,0,0,0,0,35.0,56.9,19.8,152.0,0,19.9,93.9,0,1.2,3.6,0.8,12.0,0,1.0,7.5,0,0,0,0,3,3,0,87.7,0,133.2,44.5,0
NG101BJ,NG10 1BJ,NG,100,0,100,0,0,0,0,64.9,78.8,16.5,200.0,0,16.6,89.1,0,5.0,5.4,0.9,12.0,0,1.0,6.3,0,0,0,0,2,12,0,83.9,0,2.1,97.5,0
NG101BL,NG10 1BL,NG,100,0,100,0,0,0,0,50.0,68.3,13.5,200.0,0,15.8,102.1,0,3.0,4.7,0.8,12.0,0,1.0,7.1,0,0,0,0,9,14,0,144.0,0,72.6,165.7,0
NG101BN,NG10 1BN,NG,100,0,100,0,0,0,0,45.0,55.4,1.0,200.0,6.7,10.4,85.4,0,2.5,3.9,0.2,12.0,0.7,0.8,6.4,0,1,0,2,5,12,0,119.5,207.5,199.4,84.1,0
NG101BP,NG10 1BP,NG,100,0,100,0,0,0,0,50.0,77.9,0.5,200.0,0.5,10.9,100.2,0,3.0,4.9,0.6,12.0,0.6,0.8,6.3,0,1,0,0,2,9,0,169.3,5.0,37.1,213.4,0
NG101BQ,NG10 1BQ,NG,100,0,100,0,0,0,0,50.0,59.4,5.8,200.0,5.8,12.7,82.7,0,3.0,4.2,0.6,12.0,0.8,0.9,5.8,0,0,0,1,3,8,0,140.1,435.3,141.5,139.5,0
NG101BS,NG10 1BS,NG,100,0,100,0,0,0,0,40.0,56.5,10.4,200.0,0,16.9,81.0,0,3.0,4.4,0.8,12.0,0,1.1,6.9,0,0,0,0,13,21,0,207.4,0,150.1,242.8,0
NG101BT,NG10 1BT,NG,100,0,100,0,0,0,0,19.2,58.2,10.2,150.0,0,15.1,110.0,0,1.3,3.8,0.8,10.0,0,1.0,7.2,0,0,0,0,6,5,0,107.6,0,140.5,116.3,0
NG101BU,NG10 1BU,NG,100,0,100,0,0,0,0,16.8,23.8,0.5,64.6,5.1,13.3,53.8,0,1.2,3.8,0.1,16.0,0.4,0.9,11.0,0,1,1,3,12,6,0,24.0,2.5,11.2,56.2,0
NG101BW,NG10 1BW,NG,100,0,100,0,0,0,0,31.7,59.5,10.0,200.0,0,17.0,102.1,0,3.0,4.8,0.7,19.3,0,1.0,8.3,0,0,0,0,18,18,0,159.4,0,94.4,227.5,0
NG101BX,NG10 1BX,NG,100,0,100,0,0,0,0,40.0,52.1,8.7,200.0,8.7,15.5,77.0,0,3.0,4.0,0.8,20.0,0.8,1.0,6.3,0,0,0,1,14,22,0,138.4,144.7,108.4,158.8,0
NG101BY,NG10 1BY,NG,100,0,100,0,0,0,0,47.5,58.9,14.3,152.0,0,17.2,76.7,0,5.0,5.7,0.8,12.0,0,1.1,8.0,0,0,0,0,3,7,0,122.3,0,111.1,137.8,0
NG101BZ,NG10 1BZ,NG,100,0,100,0,0,0,0,40.0,58.5,11.7,200.0,0,17.2,84.0,0,3.0,4.7,0.8,12.0,0,1.1,7.1,0,0,0,0,16,26,0,165.7,0,103.9,209.9,0
NG101DA,NG10 1DA,NG,100,0,100,0,0,0,0,29.5,57.0,10.5,200.0,0,15.5,98.4,0,2.1,4.5,0.8,12.0,0,1.0,8.0,0,0,0,0,5,5,0,123.4,0,147.7,99.1,0
NG101DB,NG10 1DB,NG,100,0,100,0,0,0,0,50.0,75.2,7.1,200.0,7.3,16.2,120.4,0,3.0,5.2,0.7,12.0,0.8,1.1,8.5,0,0,0,2,11,17,0,173.4,60.4,109.2,208.1,0
NG101DD,NG10 1DD,NG,100,0,100,0,0,0,0,17.7,36.8,2.0,200.0,6.9,10.9,66.8,0,1.3,3.2,0.6,12.0,1.0,1.2,5.9,0,1,1,8,12,19,0,118.0,44.8,88.3,167.5,0
NG101DE,NG10 1DE,NG,100,0,100,0,0,0,0,30.0,49.7,7.3,152.0,8.5,12.9,81.9,0,2.0,4.2,0.8,20.0,0.9,1.0,6.9,0,0,0,4,10,16,0,69.7,5.4,109.5,41.3,0
NG101DF,NG10 1DF,NG,100,0,100,0,0,0,0,16.4,33.8,6.4,100.0,6.4,13.7,66.0,0,1.1,3.3,0.8,10.0,1.1,1.0,7.0,0,0,0,1,7,5,0,198.0,291.1,110.1,321.1,0
NG101DG,NG10 1DG,NG,100,0,100,0,0,0,0,50.0,57.2,7.3,200.0,7.3,15.5,74.7,0,3.0,3.9,0.8,12.0,0.9,1.1,5.2,0,0,0,1,7,19,0,148.2,84.1,84.9,193.2,0
NG101DH,NG10 1DH,NG,100,0,100,0,0,0,0,30.0,55.8,6.9,200.0,6.9,16.5,90.2,0,1.3,4.0,0.4,12.0,0.4,1.0,7.5,0,0,0,1,6,8,0,50.8,22.5,42.8,62.1,0
NG101DJ,NG10 1DJ,NG,100,0,100,0,0,0,0,19.2,41.1,10.5,200.0,0,17.0,101.1,0,1.1,2.4,0.7,12.0,0,1.1,8.5,0,0,0,0,10,4,0,50.6,0,47.6,70.5,0
NG101DL,NG10 1DL,NG,100,0,100,0,0,0,0,52.5,60.8,15.3,150.0,0,16.1,80.0,0,3.0,4.5,0.8,10.0,0,1.0,6.3,0,0,0,0,3,7,0,99.6,0,29.1,143.9,0
NG101DN,NG10 1DN,NG,100,0,100,0,0,0,0,28.9,58.8,9.8,200.0,9.8,14.4,103.2,0,1.3,4.7,0.8,14.5,1.0,1.0,8.9,0,0,0,1,7,8,0,193.7,342.4,213.9,170.5,0
