postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NN100AA,NN10 0AA,NN,100,0,100,0,0,0,0,40.0,61.1,2.9,200.0,2.9,15.9,83.7,0,3.0,4.2,0.2,12.0,0.2,0.9,6.8,0,0,1,0,3,8,0,92.8,263.4,160.0,59.2,0
NN100AD,NN10 0AD,NN,100,0,100,0,0,0,0,50.0,58.2,14.8,200.0,0,20.2,87.8,0,1.4,3.3,0.9,12.0,0,1.2,5.7,0,0,0,0,7,9,0,69.0,0,88.9,61.2,0
NN100AE,NN10 0AE,NN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NN100AG,NN10 0AG,NN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NN100AH,NN10 0AH,NN,100,0,100,0,0,0,0,40.0,70.7,14.3,200.0,0,21.5,95.3,0,4.0,5.4,0.6,12.0,0,1.0,7.8,0,0,0,0,7,14,0,150.2,0,189.5,130.6,0
NN100AJ,NN10 0AJ,NN,100,0,100,0,0,0,0,21.3,32.4,17.4,54.9,0,19.0,52.5,0,1.3,3.3,1.0,10.0,0,1.2,6.5,0,0,0,0,3,2,0,95.8,0,106.2,64.6,0
NN100AL,NN10 0AL,NN,100,0,100,0,0,0,0,23.0,36.9,18.6,79.9,0,20.8,77.2,0,1.2,3.2,0.8,13.8,0,1.1,13.8,0,0,0,0,5,2,0,84.7,0,67.5,21.8,0
NN100AN,NN10 0AN,NN,100,0,100,0,0,0,0,40.0,74.3,18.0,200.0,0,21.5,112.0,0,2.5,4.8,0.8,12.0,0,1.0,7.6,0,0,0,0,5,7,0,210.1,0,268.8,168.1,0
NN100AP,NN10 0AP,NN,100,0,100,0,0,0,0,23.9,27.7,0.2,79.7,0.2,20.1,56.4,0,1.1,2.5,0.5,15.0,0.5,1.0,11.7,0,1,0,0,18,5,0,233.3,0.7,264.1,191.5,0
NN100AS,NN10 0AS,NN,100,0,100,0,0,0,0,21.8,35.4,0.6,200.0,7.6,14.8,86.3,0,1.1,2.9,0.4,12.0,0.6,0.9,8.4,0,1,0,15,16,13,0,85.6,6.1,82.9,98.1,0
NN100AT,NN10 0AT,NN,100,0,100,0,0,0,0,24.0,26.3,14.3,55.0,0,22.1,47.5,0,1.1,1.9,0.7,10.0,0,1.1,10.0,0,0,0,0,20,4,0,67.8,0,68.7,63.2,0
NN100AU,NN10 0AU,NN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NN100AW,NN10 0AW,NN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NN100AX,NN10 0AX,NN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NN100AY,NN10 0AY,NN,100,0,100,0,0,0,0,50.0,55.0,12.8,200.0,0,19.4,76.1,0,3.0,4.7,0.6,20.0,0,1.1,7.1,0,0,0,0,19,32,0,153.1,0,125.6,183.1,0
NN100AZ,NN10 0AZ,NN,100,0,100,0,0,0,0,34.3,56.0,2.3,200.0,6.9,18.2,84.1,0,2.5,4.3,0.4,12.6,0.7,1.1,6.5,0,0,1,2,20,31,0,214.2,47.6,100.5,288.7,0
NN100BA,NN10 0BA,NN,100,0,100,0,0,0,0,23.5,65.8,8.4,200.0,8.4,18.1,120.3,0,1.3,4.7,0.8,12.0,1.1,1.1,8.7,0,0,0,1,7,7,0,224.3,85.9,130.3,363.6,0
NN100BB,NN10 0BB,NN,100,0,100,0,0,0,0,20.5,40.9,6.7,200.0,6.7,18.7,84.0,0,1.3,2.9,0.4,12.0,0.4,1.2,7.3,0,0,0,1,30,16,0,172.5,102.9,168.5,180.2,0
NN100BD,NN10 0BD,NN,100,0,100,0,0,0,0,44.9,55.2,13.1,200.0,0,18.4,80.5,0,3.0,4.5,0.8,12.0,0,1.1,6.9,0,0,0,0,13,19,0,164.8,0,229.6,143.0,0
NN100BE,NN10 0BE,NN,100,0,100,0,0,0,0,38.2,56.8,1.7,200.0,6.1,15.0,94.3,0,3.0,4.1,0.2,12.0,0.7,1.0,7.1,0,1,0,2,14,19,0,142.8,164.1,182.7,121.0,0
NN100BF,NN10 0BF,NN,100,0,100,0,0,0,0,17.3,22.9,2.6,80.0,6.8,15.6,49.4,0,1.1,2.7,0.2,10.0,0.8,1.0,9.7,0,0,1,2,30,9,0,132.3,111.6,139.7,123.1,0
NN100BG,NN10 0BG,NN,100,0,100,0,0,0,0,39.9,42.2,11.1,152.0,0,17.4,65.1,0,2.2,3.4,0.8,12.0,0,1.0,5.7,0,0,0,0,12,13,0,247.9,0,180.4,310.2,0
NN100BH,NN10 0BH,NN,100,0,100,0,0,0,0,21.0,58.7,13.4,200.0,0,18.1,107.4,0,2.1,5.7,0.8,18.9,0,1.0,10.4,0,0,0,0,6,5,0,244.9,0,123.1,366.6,0
NN100BJ,NN10 0BJ,NN,100,0,100,0,0,0,0,19.9,48.2,5.1,200.0,5.9,15.0,89.7,0,1.4,4.2,0.7,17.2,1.0,1.1,8.0,0,0,0,2,13,12,0,136.2,25.8,115.5,161.7,0
NN100BL,NN10 0BL,NN,100,0,100,0,0,0,0,26.3,46.0,7.1,200.0,8.3,11.2,80.8,0,2.2,3.4,0.6,12.0,0.8,1.0,5.8,0,0,0,3,3,6,0,131.3,17.3,106.4,166.5,0
NN100BN,NN10 0BN,NN,100,0,100,0,0,0,0,34.8,56.6,9.5,200.0,9.5,17.6,92.7,0,3.0,4.4,0.8,12.0,1.0,1.1,7.4,0,0,0,1,11,13,0,203.8,3.4,234.8,204.2,0
