postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NP100AA,NP10 0AA,NP,100,0,100,0,0,0,0,50.0,54.5,1.2,200.0,4.3,5.0,92.3,0,2.5,4.1,0.4,12.0,0.8,0.8,6.7,0,2,11,9,1,30,0,76.2,48.0,46.1,90.0,0
NP100AB,NP10 0AB,NP,100,0,100,0,0,0,0,50.0,60.1,3.3,200.0,5.4,5.4,85.3,0,3.0,4.7,0.6,12.0,0.9,0.9,6.3,0,0,1,5,0,13,0,76.8,29.4,29.4,97.9,0
NP100AD,NP10 0AD,NP,100,0,100,0,0,0,0,50.0,69.2,0.9,200.0,2.8,2.8,119.0,0,3.0,4.6,0.4,12.0,0.7,0.7,7.5,0,3,2,1,0,8,0,80.3,29.0,29.0,118.9,0
NP100AE,NP10 0AE,NP,100,0,100,0,0,0,0,70.0,83.3,2.4,200.0,3.8,3.8,143.0,0,5.0,5.8,0.4,12.0,0.6,0.6,9.8,0,0,2,1,0,4,0,103.0,44.2,44.2,172.8,0
NP100AF,NP10 0AF,NP,100,0,100,0,0,0,0,60.0,64.8,2.0,200.0,3.4,3.4,105.8,0,3.0,4.4,0.4,12.0,0.7,0.7,6.9,0,0,5,1,0,9,0,22.1,16.6,16.6,25.9,0
NP100AG,NP10 0AG,NP,100,0,100,0,0,0,0,70.0,94.3,3.8,200.0,4.4,4.4,120.0,0,5.0,6.5,0.6,12.0,0.7,0.7,8.1,0,0,1,1,0,7,0,109.7,16.9,16.9,136.2,0
NP100AH,NP10 0AH,NP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NP100AJ,NP10 0AJ,NP,100,0,100,0,0,0,0,50.0,63.2,2.5,200.0,4.0,4.0,115.0,0,3.0,4.3,0.4,12.0,0.8,0.8,7.4,0,0,6,1,0,8,0,131.4,20.5,20.5,228.3,0
NP100AL,NP10 0AL,NP,100,0,100,0,0,0,0,50.0,61.7,1.2,200.0,3.6,3.6,110.2,0,3.0,4.2,0.4,12.0,0.8,0.8,7.1,0,2,13,0,0,18,0,47.4,26.2,26.2,67.6,0
NP100AN,NP10 0AN,NP,100,0,100,0,0,0,0,6.1,18.5,4.8,70.0,5.6,5.6,70.0,0,0.8,1.7,0.8,5.0,0.9,0.9,5.0,0,0,2,2,0,1,0,41.7,20.9,20.9,125.3,0
NP100AP,NP10 0AP,NP,100,0,100,0,0,0,0,4.9,56.8,3.0,200.0,4.1,4.1,120.0,0,1.1,3.9,0.8,12.0,1.0,1.0,7.4,0,0,6,0,0,5,0,125.9,79.2,79.2,181.9,0
NP100AQ,NP10 0AQ,NP,100,0,100,0,0,0,0,20.0,81.3,3.1,200.0,4.9,7.4,170.0,0,1.0,5.1,0.4,12.0,0.7,0.8,10.4,0,0,3,2,1,5,0,92.4,68.9,59.3,132.2,0
NP100AR,NP10 0AR,NP,100,0,100,0,0,0,0,5.4,22.6,1.0,70.0,4.3,4.3,50.0,0,1.1,1.8,0.4,5.0,0.8,0.8,3.3,0,1,3,2,0,4,0,97.6,77.6,77.6,122.7,0
NP100AS,NP10 0AS,NP,100,0,100,0,0,0,0,35.0,53.3,3.2,200.0,4.5,6.4,100.3,0,2.0,3.6,0.4,12.0,0.7,0.8,6.4,0,0,5,2,1,8,0,94.6,48.3,53.7,135.5,0
NP100AT,NP10 0AT,NP,100,0,100,0,0,0,0,50.0,52.3,3.2,152.0,4.6,7.2,82.4,0,3.0,3.5,0.4,12.0,0.8,0.9,5.2,0,0,2,3,1,9,0,38.0,41.3,34.7,40.3,0
NP100AU,NP10 0AU,NP,100,0,100,0,0,0,0,50.0,58.3,1.5,200.0,4.2,4.2,103.3,0,3.0,4.1,0.4,12.0,0.8,0.8,6.9,0,1,8,1,0,12,0,56.5,42.5,42.5,68.1,0
NP100AW,NP10 0AW,NP,100,0,100,0,0,0,0,70.0,90.9,4.5,200.0,4.5,4.5,105.3,0,5.0,5.9,0.4,12.0,0.4,0.4,6.8,0,0,1,0,0,6,0,37.4,102.8,102.8,26.4,0
NP100AX,NP10 0AX,NP,100,0,100,0,0,0,0,70.0,80.0,7.0,200.0,7.5,7.5,90.4,0,6.0,6.4,0.8,12.0,0.9,0.9,7.3,0,0,0,2,0,14,0,79.3,0.2,0.2,85.0,0
NP100AY,NP10 0AY,NP,100,0,100,0,0,0,0,40.0,51.0,8.1,150.0,8.1,14.0,63.3,0,4.0,4.9,1.0,10.0,1.1,1.1,6.2,0,0,0,1,1,6,0,68.1,511.3,263.7,13.4,0
NP100AZ,NP10 0AZ,NP,100,0,100,0,0,0,0,85.0,93.2,7.0,200.0,7.0,7.0,110.4,0,5.5,6.3,1.1,12.0,1.1,1.1,7.4,0,0,0,1,0,5,0,203.9,5.2,5.2,243.7,0
NP100BA,NP10 0BA,NP,100,0,100,0,0,0,0,6.3,40.3,3.1,150.0,4.9,6.8,94.0,0,1.1,2.9,0.8,10.0,0.9,1.0,6.0,0,0,3,4,1,5,0,70.9,81.6,72.1,69.0,0
NP100BB,NP10 0BB,NP,100,0,100,0,0,0,0,75.0,76.8,1.7,200.0,3.4,3.4,125.7,0,4.5,5.3,0.4,12.0,0.6,0.6,8.5,0,1,2,1,0,6,0,44.5,29.9,29.9,54.2,0
NP100BD,NP10 0BD,NP,100,0,100,0,0,0,0,40.0,61.0,4.4,200.0,6.5,7.8,105.4,0,1.6,3.8,0.4,12.0,0.8,0.8,6.9,0,0,1,8,1,12,0,96.3,86.8,78.4,111.3,0
NP100BE,NP10 0BE,NP,100,0,100,0,0,0,0,5.2,63.7,4.2,200.0,4.8,4.8,142.3,0,0.9,4.6,0.4,12.0,0.7,0.7,9.8,0,0,5,3,0,6,0,72.0,75.7,75.7,67.2,0
NP100BG,NP10 0BG,NP,100,0,100,0,0,0,0,4.8,46.9,1.1,200.0,3.5,3.5,112.0,0,0.8,3.4,0.4,12.0,0.7,0.7,7.5,0,2,6,1,0,6,0,85.1,47.7,47.7,141.2,0
NP100BH,NP10 0BH,NP,100,0,100,0,0,0,0,75.0,74.0,1.6,200.0,3.4,3.4,102.2,0,6.0,5.5,0.7,12.0,0.8,0.8,7.3,0,1,3,0,0,10,0,118.2,87.8,87.8,131.7,0
NP100BJ,NP10 0BJ,NP,100,0,100,0,0,0,0,50.0,58.3,4.4,200.0,5.8,5.8,93.3,0,3.0,3.9,0.7,12.0,0.8,0.8,6.0,0,0,1,5,0,9,0,103.3,53.2,53.2,136.6,0
NP100BL,NP10 0BL,NP,100,0,100,0,0,0,0,70.0,58.1,1.8,152.0,3.2,6.6,90.3,0,5.0,4.0,0.4,12.0,0.8,0.8,6.0,0,1,3,0,1,8,0,68.9,64.2,58.8,75.2,0
NP100BP,NP10 0BP,NP,100,0,100,0,0,0,0,38.2,31.1,3.4,80.0,6.4,9.0,48.9,0,7.8,6.2,0.4,20.0,0.9,1.6,10.8,0,0,3,14,3,25,0,127.3,52.3,58.9,174.3,0
NP100BQ,NP10 0BQ,NP,100,0,100,0,0,0,0,6.2,15.7,2.8,80.0,5.5,6.5,56.4,0,0.8,3.3,0.4,20.0,0.8,1.6,12.5,0,0,7,14,1,5,0,93.1,27.1,26.1,374.2,0
NP100BS,NP10 0BS,NP,100,0,100,0,0,0,0,60.0,68.7,2.1,200.0,5.4,5.4,95.9,0,3.0,4.4,0.4,12.0,0.8,0.8,6.0,0,0,2,4,0,14,0,52.6,27.4,27.4,70.9,0
NP100BT,NP10 0BT,NP,100,0,100,0,0,0,0,8.0,33.0,4.3,100.0,5.7,7.3,71.7,0,1.2,2.4,0.4,6.0,1.0,1.1,4.3,0,0,3,5,1,6,0,46.1,5.9,7.1,104.5,0
NP100BU,NP10 0BU,NP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NP100BW,NP10 0BW,NP,95,0,95,0,0,5,5,6.2,6.4,4.7,9.1,6.4,6.4,0,0,1.0,0.9,0.4,1.1,0.9,0.9,0,0,0,2,15,0,0,0,71.1,74.0,74.0,0,0
NP100BX,NP10 0BX,NP,100,0,100,0,0,0,0,8.3,43.6,1.3,152.0,6.2,6.2,118.5,0,1.1,3.5,0.5,12.0,0.9,0.9,8.8,0,1,1,6,0,4,0,102.5,21.2,21.2,265.0,0
NP100BY,NP10 0BY,NP,100,0,100,0,0,0,0,14.1,28.4,3.2,100.0,6.8,9.4,60.0,0,1.1,2.1,0.8,6.0,0.9,0.9,4.0,0,0,1,3,1,3,0,47.5,47.7,63.4,20.9,0
NP100DB,NP10 0DB,NP,100,0,100,0,0,0,0,50.0,47.5,7.4,100.0,7.5,7.5,67.5,0,3.0,3.1,0.8,6.0,0.9,0.9,4.3,0,0,0,2,0,4,0,49.8,9.6,9.6,69.9,0
NP100DD,NP10 0DD,NP,100,0,100,0,0,0,0,60.0,81.3,1.8,200.0,4.8,4.8,122.1,0,3.0,5.4,0.4,12.0,0.8,0.8,7.8,0,2,2,4,0,15,0,120.6,86.6,86.6,143.4,0
NP100DE,NP10 0DE,NP,100,0,100,0,0,0,0,100.0,94.8,6.6,200.0,7.5,7.5,133.6,0,6.0,6.1,0.8,12.0,0.9,0.9,8.4,0,0,0,4,0,9,0,72.1,30.1,30.1,90.8,0
NP100DF,NP10 0DF,NP,100,0,100,0,0,0,0,18.9,44.8,5.9,152.0,6.6,6.6,83.0,0,1.5,3.3,0.8,12.0,0.9,0.9,5.8,0,0,0,4,0,4,0,36.4,33.8,33.8,39.0,0
NP100DL,NP10 0DL,NP,100,0,100,0,0,0,0,55.0,59.9,7.3,152.0,7.3,15.8,86.4,0,3.0,4.1,1.0,12.0,1.0,1.3,5.8,0,0,0,1,2,5,0,96.1,147.0,87.5,101.4,0
NP100DN,NP10 0DN,NP,100,0,100,0,0,0,0,50.0,61.5,1.2,200.0,5.3,7.3,109.3,0,3.0,4.3,0.4,12.0,0.8,0.8,7.4,0,1,5,7,2,17,0,59.1,52.3,49.3,67.7,0
NP100DW,NP10 0DW,NP,100,0,100,0,0,0,0,6.9,46.9,3.2,200.0,5.7,5.7,150.0,0,1.0,3.2,0.8,12.0,0.9,0.9,9.0,0,0,2,3,0,2,0,200.2,156.3,156.3,309.9,0
NP100ED,NP10 0ED,NP,100,0,100,0,0,0,0,33.3,68.5,2.9,200.0,4.5,4.5,132.4,0,2.1,4.8,0.8,12.0,0.9,0.9,8.6,0,0,4,1,0,5,0,207.2,147.6,147.6,266.8,0
NP108AB,NP10 8AB,NP,100,0,100,0,0,0,0,7.6,18.4,1.7,80.0,6.3,7.1,56.9,0,1.0,3.3,0.4,20.0,0.9,0.9,12.7,0,1,5,24,4,10,0,167.6,109.6,113.9,361.6,0
NP108AD,NP10 8AD,NP,100,0,100,0,0,0,0,14.1,30.4,5.1,80.0,7.1,11.2,73.7,0,1.1,1.9,0.4,10.0,0.9,0.9,10.0,0,0,0,3,6,4,0,181.7,304.3,175.4,196.0,0
NP108AE,NP10 8AE,NP,100,0,100,0,0,0,0,28.2,31.8,7.0,63.4,8.0,9.9,53.7,0,1.2,5.6,1.1,20.0,1.1,1.2,12.4,0,0,0,2,1,3,0,302.1,967.6,502.8,168.4,0
NP108AF,NP10 8AF,NP,100,0,100,0,0,0,0,6.2,18.1,4.0,79.8,5.2,6.2,59.9,0,1.0,2.5,0.8,10.0,0.9,1.0,10.0,0,0,3,3,1,2,0,229.4,65.0,199.1,370.5,0
NP108AG,NP10 8AG,NP,100,0,100,0,0,0,0,13.5,29.0,5.3,79.7,6.1,8.9,56.6,0,1.1,5.0,0.4,20.0,0.9,1.0,11.4,0,0,0,6,5,8,0,198.9,83.6,133.9,280.2,0
NP108AH,NP10 8AH,NP,100,0,100,0,0,0,0,11.9,16.1,6.8,40.0,7.5,10.1,40.0,0,1.1,3.3,0.8,10.0,1.1,1.0,10.0,0,0,0,2,2,1,0,128.1,57.7,75.3,274.2,0
NP108AJ,NP10 8AJ,NP,100,0,100,0,0,0,0,6.6,16.7,3.5,80.0,5.8,5.8,60.0,0,1.0,1.9,0.4,10.0,0.9,0.9,10.0,0,0,3,5,0,2,0,89.0,80.6,80.6,122.8,0
NP108AL,NP10 8AL,NP,100,0,100,0,0,0,0,39.9,32.1,5.1,75.6,5.8,5.8,53.1,0,10.0,10.2,0.8,20.0,0.8,0.8,12.5,0,0,0,4,0,5,0,112.7,48.6,48.6,164.0,0
NP108AN,NP10 8AN,NP,100,0,100,0,0,0,0,6.8,6.1,2.3,9.6,6.1,6.1,0,0,1.1,1.0,0.4,1.3,1.0,1.0,0,0,0,3,5,0,0,0,76.5,76.5,76.5,0,0
NP108AP,NP10 8AP,NP,100,0,100,0,0,0,0,6.7,9.8,2.4,40.0,6.0,6.0,40.0,0,0.9,2.0,0.4,10.0,0.8,0.8,10.0,0,0,2,6,0,1,0,77.4,64.1,64.1,183.8,0
NP108AQ,NP10 8AQ,NP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NP108AR,NP10 8AR,NP,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP108AS,NP10 8AS,NP,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP108AT,NP10 8AT,NP,0,0,67,0,0,33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP108AU,NP10 8AU,NP,88,0,88,0,13,13,13,100.0,78.1,3.4,200.0,4.5,4.5,102.7,0,6.0,5.3,0.3,12.0,0.6,0.6,6.3,0,0,3,2,0,15,0,95.2,68.2,68.2,102.4,0
