postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NR103AA,NR10 3AA,NR,100,0,100,0,0,0,0,19.5,17.7,2.9,35.0,3.4,13.4,35.0,0,5.3,4.0,0.3,7.2,0.6,3.4,6.5,0,0,2,0,2,1,0,12.5,8.0,12.5,12.4,0
NR103AB,NR10 3AB,NR,83,0,100,0,0,0,17,8.2,16.9,1.9,54.9,4.9,9.6,41.4,0,1.1,2.8,0.4,10.0,0.9,1.4,6.6,0,1,2,4,3,3,0,219.9,42.5,112.6,577.4,0
NR103AD,NR10 3AD,NR,98,0,100,0,0,0,2,13.1,20.8,4.2,74.0,7.1,10.7,45.1,0,1.2,4.0,0.6,20.0,1.2,1.2,10.9,0,0,5,18,30,22,0,116.2,54.0,103.9,147.0,0
NR103AE,NR10 3AE,NR,100,0,100,0,0,0,0,31.6,37.4,7.7,80.0,7.7,16.6,58.2,0,1.3,4.1,0.9,10.0,0.9,1.2,10.0,0,0,0,1,3,4,0,241.8,13.6,90.5,447.7,0
NR103AF,NR10 3AF,NR,100,0,100,0,0,0,0,4.0,28.3,1.5,79.8,2.4,2.4,62.8,0,0.9,3.8,0.4,10.0,0.7,0.7,10.0,0,2,2,0,0,3,0,12.2,13.3,13.3,10.7,0
NR103AG,NR10 3AG,NR,69,0,100,0,0,0,31,8.1,7.0,2.5,11.0,6.4,7.0,0,0,1.0,1.0,0.8,1.2,1.0,1.0,0,0,0,3,4,1,0,0,195.6,234.5,211.0,0,0
NR103AH,NR10 3AH,NR,50,0,100,0,0,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NR103AJ,NR10 3AJ,NR,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR103AL,NR10 3AL,NR,33,0,100,0,0,50,67,6.3,5.9,4.1,6.8,5.9,5.9,0,0,0.7,0.7,0.4,0.9,0.7,0.7,0,0,0,1,3,0,0,0,72.4,72.4,72.4,0,0
NR103AN,NR10 3AN,NR,100,0,100,0,0,0,0,41.6,41.0,7.2,73.7,7.2,17.7,64.3,0,9.1,6.7,0.9,10.0,0.9,5.0,10.0,0,0,0,1,1,2,0,50.5,21.4,18.6,82.3,0
NR103AP,NR10 3AP,NR,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NR103AQ,NR10 3AQ,NR,0,0,100,0,0,40,100,7.5,6.8,0.4,15.6,5.3,6.8,0,0,0.8,0.8,0.4,1.2,0.8,0.8,0,0,1,1,4,1,0,0,52.1,49.3,52.1,0,0
NR103AR,NR10 3AR,NR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NR103AS,NR10 3AS,NR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NR103AT,NR10 3AT,NR,0,0,100,0,0,3,100,4.2,4.8,1.3,12.2,4.2,4.8,0,0,0.7,0.7,0.4,1.2,0.7,0.7,0,0,1,17,5,2,0,0,84.7,79.7,82.1,0,0
NR103AU,NR10 3AU,NR,0,0,100,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
