postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NW100AA,NW10 0AA,NW,100,0,100,0,0,0,0,4.2,19.2,1.4,79.9,3.8,3.8,57.7,0,0.7,1.6,0.2,8.6,0.8,0.8,5.3,0,2,6,2,0,4,0,44.1,25.4,25.4,86.1,0
NW100AB,NW10 0AB,NW,100,0,100,0,0,0,0,57.8,55.0,2.3,79.9,2.3,2.3,60.3,0,20.0,18.8,17.0,20.0,0,0,18.8,0,0,1,0,0,10,0,197.4,0,0,214.2,0
NW100AD,NW10 0AD,NW,100,0,100,0,0,0,0,4.3,24.3,0.9,79.9,2.6,2.6,51.1,0,0.8,4.5,0.2,20.0,0.6,0.6,13.3,0,6,15,0,0,17,0,140.1,88.8,88.8,197.2,0
NW100AF,NW10 0AF,NW,100,0,100,0,0,0,0,2.6,14.6,0.5,55.0,2.2,2.2,46.8,0,0.6,1.8,0.3,10.0,0.6,0.6,10.0,0,4,9,0,0,5,0,157.9,122.6,122.6,162.9,0
NW100AG,NW10 0AG,NW,100,0,100,0,0,0,0,79.7,54.1,5.5,100.0,5.5,5.5,86.5,0,0.8,2.5,0.8,6.0,0.8,0.8,6.0,0,0,0,2,0,3,0,177.2,100.4,100.4,232.0,0
NW100AH,NW10 0AH,NW,100,0,100,0,0,0,0,2.4,9.2,2.0,35.0,2.7,2.7,35.0,0,0.8,0.7,0.4,0.8,0.7,0.7,0,0,0,4,0,0,1,0,64.2,77.0,77.0,26.0,0
NW100AL,NW10 0AL,NW,100,0,100,0,0,0,0,15.0,22.3,0.8,54.9,2.1,5.3,45.0,0,1.3,4.6,0.3,10.0,0.5,1.5,8.7,0,2,5,0,1,6,0,199.0,96.9,87.1,295.7,0
NW100AN,NW10 0AN,NW,100,0,100,0,0,0,0,33.9,25.1,0.4,56.7,1.8,1.8,46.5,0,0.7,4.9,0.3,15.0,0.5,0.5,10.6,0,6,6,0,0,13,0,215.0,58.9,58.9,276.0,0
NW100AP,NW10 0AP,NW,100,0,100,0,0,0,0,50.0,42.0,2.5,100.0,2.7,2.7,61.7,0,3.0,2.9,0.5,6.0,0.6,0.6,4.0,0,0,3,0,0,6,0,191.6,64.7,64.7,255.1,0
NW100AR,NW10 0AR,NW,100,0,100,0,0,0,0,39.9,40.0,2.0,200.0,2.7,4.9,63.4,0,3.0,3.8,0.5,12.0,0.7,0.7,5.9,0,0,10,0,2,18,0,239.8,84.2,96.1,353.8,0
NW100AS,NW10 0AS,NW,100,0,100,0,0,0,0,50.0,51.4,1.6,200.0,2.9,2.9,75.6,0,3.0,3.9,0.4,12.0,0.6,0.6,6.1,0,3,8,0,0,22,0,200.4,156.5,156.5,215.9,0
NW100AT,NW10 0AT,NW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NW100AU,NW10 0AU,NW,100,0,100,0,0,0,0,59.0,79.9,1.6,200.0,1.8,1.8,95.5,0,10.0,8.8,0.5,19.3,0.5,0.5,10.6,0,1,1,0,0,10,0,149.0,15.5,15.5,175.7,0
NW100AW,NW10 0AW,NW,100,0,100,0,0,0,0,34.5,25.1,0.4,66.9,2.1,2.1,45.7,0,0.8,5.2,0.2,16.5,0.5,0.5,10.3,0,12,23,0,0,39,0,149.8,76.3,76.3,196.9,0
NW100AX,NW10 0AX,NW,100,0,100,0,0,0,0,3.1,14.1,1.7,60.0,2.6,2.6,60.0,0,0.6,1.1,0.5,3.0,0.6,0.6,3.0,0,1,3,0,0,1,0,129.4,161.7,161.7,0.1,0
NW100AY,NW10 0AY,NW,100,0,100,0,0,0,0,50.0,51.5,2.3,200.0,2.9,6.7,68.3,0,5.5,6.3,0.3,20.0,0.6,0.7,8.9,0,0,7,0,2,24,0,218.4,75.9,65.7,275.7,0
