postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
OL101AA,OL10 1AA,OL,74,0,74,0,0,0,26,23.6,28.4,12.3,100.0,0,19.5,100.0,0,1.1,1.6,0.8,6.0,0,1.0,6.0,0,0,0,0,8,1,0,132.2,0,137.1,93.6,0
OL101AB,OL10 1AB,OL,0,0,0,0,0,0,100,22.1,20.7,14.3,23.9,0,20.7,0,0,1.2,1.2,1.0,1.3,0,1.2,0,0,0,0,0,5,0,0,67.9,0,67.9,0,0
OL101AD,OL10 1AD,OL,100,0,100,0,0,0,0,22.5,55.5,15.7,200.0,0,20.7,125.0,0,1.1,3.1,0.8,12.0,0,1.0,7.5,0,0,0,0,4,2,0,194.2,0,180.2,184.5,0
OL101AE,OL10 1AE,OL,100,0,100,0,0,0,0,20.3,30.0,8.2,79.9,8.2,15.9,53.3,0,1.0,3.5,0.4,10.0,1.0,0.9,10.0,0,0,0,1,4,3,0,378.0,255.3,287.4,524.0,0
OL101AH,OL10 1AH,OL,100,0,100,0,0,0,0,19.9,28.7,8.1,80.0,8.1,16.9,61.2,0,1.1,2.4,0.8,10.0,0.9,1.1,10.0,0,0,0,1,10,4,0,95.0,23.3,37.0,254.5,0
OL101AL,OL10 1AL,OL,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OL101AN,OL10 1AN,OL,100,0,100,0,0,0,0,40.0,55.8,14.0,152.0,0,21.7,81.3,0,3.0,5.0,0.8,20.0,0,1.1,7.9,0,0,0,0,9,12,0,171.7,0,111.9,211.6,0
OL101AP,OL10 1AP,OL,100,0,100,0,0,0,0,50.0,62.5,50.0,100.0,0,0,62.5,0,3.0,3.8,3.0,6.0,0,0,3.8,0,0,0,0,0,4,0,63.1,0,0,63.1,0
OL101AQ,OL10 1AQ,OL,100,0,100,0,0,0,0,22.5,51.1,14.3,152.0,0,20.2,92.3,0,1.2,3.6,1.0,12.0,0,1.1,8.0,0,0,0,0,8,6,0,187.7,0,93.2,326.9,0
OL101AR,OL10 1AR,OL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OL101AS,OL10 1AS,OL,100,0,100,0,0,0,0,22.3,42.7,5.9,200.0,5.9,18.4,75.0,0,1.3,2.9,0.4,12.0,0.4,1.1,5.6,0,0,0,1,11,9,0,109.6,123.8,113.2,120.2,0
OL101AU,OL10 1AU,OL,100,0,100,0,0,0,0,35.0,46.2,14.7,100.0,0,17.4,75.0,0,2.1,2.8,1.0,6.0,0,1.1,4.5,0,0,0,0,2,2,0,27.7,0,9.3,60.0,0
OL101AW,OL10 1AW,OL,100,0,100,0,0,0,0,22.4,27.3,9.5,54.9,9.5,18.1,54.9,0,1.2,3.3,0.9,10.0,0.9,1.1,10.0,0,0,0,1,2,1,0,54.5,21.4,64.2,25.4,0
OL101AX,OL10 1AX,OL,100,0,100,0,0,0,0,50.0,57.8,5.5,200.0,5.5,20.8,82.5,0,3.0,4.0,0.4,12.0,0.4,0.9,6.1,0,0,0,1,7,12,0,153.0,333.3,104.4,154.3,0
OL101AZ,OL10 1AZ,OL,100,0,100,0,0,0,0,50.0,44.8,19.9,100.0,0,22.4,56.0,0,3.0,3.9,0.8,10.0,0,1.0,5.6,0,0,0,0,5,10,0,94.1,0,111.2,79.1,0
OL101BA,OL10 1BA,OL,100,0,100,0,0,0,0,40.0,50.6,11.5,200.0,0,20.0,67.8,0,3.0,3.9,0.4,12.0,0,1.0,5.8,0,0,0,0,9,16,0,163.2,0,65.3,222.1,0
OL101BB,OL10 1BB,OL,100,0,100,0,0,0,0,31.9,48.7,20.8,100.0,0,22.4,75.0,0,1.3,2.9,1.1,6.0,0,1.2,4.8,0,0,0,0,6,6,0,164.0,0,206.7,148.6,0
OL101BD,OL10 1BD,OL,100,0,100,0,0,0,0,75.0,93.7,10.2,200.0,0,10.2,110.4,0,4.5,6.2,0.9,12.0,0,0.9,7.2,0,0,0,0,1,5,0,116.9,0,69.9,126.3,0
OL101BE,OL10 1BE,OL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OL101BG,OL10 1BG,OL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OL101BH,OL10 1BH,OL,100,0,100,0,0,0,0,50.0,58.7,8.2,200.0,8.2,18.9,83.1,0,3.0,4.6,0.2,12.0,0.2,1.0,6.8,0,0,0,1,7,13,0,243.9,5.6,220.2,224.1,0
OL101BJ,OL10 1BJ,OL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OL101BL,OL10 1BL,OL,100,0,100,0,0,0,0,24.0,49.6,10.9,152.0,0,19.0,126.0,0,1.3,3.5,0.9,12.0,0,1.3,9.0,0,0,0,0,5,2,0,39.5,0,20.4,87.3,0
OL101BN,OL10 1BN,OL,100,0,100,0,0,0,0,24.0,39.6,17.7,200.0,0,21.9,67.2,0,1.3,2.5,0.8,12.0,0,1.1,5.1,0,0,0,0,14,9,0,66.2,0,73.0,54.8,0
OL101BP,OL10 1BP,OL,100,0,100,0,0,0,0,40.0,60.1,6.4,200.0,6.4,19.0,96.1,0,3.0,5.7,0.4,20.0,0.4,0.9,9.9,0,0,0,1,6,8,0,214.8,71.0,139.4,242.3,0
OL101BQ,OL10 1BQ,OL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OL101BS,OL10 1BS,OL,100,0,100,0,0,0,0,40.0,45.0,21.1,100.0,0,22.5,54.0,0,3.0,3.7,0.8,10.0,0,0.9,4.8,0,0,0,0,2,5,0,75.6,0,104.3,64.1,0
