postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
OX100AB,OX10 0AB,OX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OX100AD,OX10 0AD,OX,100,0,100,0,0,0,0,20.7,33.9,16.9,79.8,0,20.2,79.7,0,1.1,1.1,0.9,1.2,0,1.1,0,0,0,0,0,10,3,0,68.5,0,26.4,195.1,0
OX100AF,OX10 0AF,OX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OX100AJ,OX10 0AJ,OX,42,0,42,0,0,0,58,19.6,17.0,8.1,21.1,8.1,17.0,0,0,1.2,1.1,0.9,1.3,1.1,1.1,0,0,0,0,2,7,0,0,108.6,6.7,108.6,0,0
OX100AL,OX10 0AL,OX,100,0,100,0,0,0,0,24.4,42.6,6.6,79.9,7.3,18.5,69.8,0,1.2,0.9,0.4,1.3,0.5,0.9,0,0,0,0,2,7,8,0,39.6,6.0,28.7,49.1,0
OX100AP,OX10 0AP,OX,0,0,0,0,0,0,100,21.3,20.3,13.8,23.6,0,20.3,0,0,1.2,1.1,0.9,1.3,0,1.1,0,0,0,0,0,8,0,0,97.2,0,97.2,0,0
OX100AQ,OX10 0AQ,OX,90,0,90,0,0,0,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OX100AR,OX10 0AR,OX,100,0,100,0,0,0,0,79.7,64.2,17.3,79.9,0,17.3,79.8,0,1.2,1.2,1.2,1.2,0,1.2,0,0,0,0,0,1,3,0,50.7,0,69.4,44.5,0
OX100AS,OX10 0AS,OX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OX100AT,OX10 0AT,OX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
