postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PA102AB,PA10 2AB,PA,89,0,89,0,0,0,11,40.0,41.7,6.7,100.0,6.7,11.1,60.0,0,2.5,2.8,0.9,6.0,0.9,1.0,3.8,0,0,0,1,2,5,0,102.6,14.1,159.1,68.7,0
PA102AD,PA10 2AD,PA,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PA102AE,PA10 2AE,PA,88,0,88,0,0,0,13,51.3,71.2,6.7,200.0,6.7,6.7,80.4,0,3.0,5.2,1.0,12.0,1.0,1.0,5.8,0,0,0,1,0,7,0,207.7,5.7,5.7,236.6,0
PA102AG,PA10 2AG,PA,100,0,100,0,0,0,0,22.8,28.3,17.7,50.0,0,21.1,50.0,0,1.3,1.9,1.2,3.0,0,1.3,3.0,0,0,0,0,3,1,0,178.9,0,109.4,317.9,0
PA102AH,PA10 2AH,PA,50,0,100,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PA102AJ,PA10 2AJ,PA,83,0,100,0,0,0,17,12.4,12.6,9.2,16.4,9.2,12.6,0,0,1.1,1.1,0.9,1.2,1.1,1.1,0,0,0,0,1,3,0,0,114.0,104.3,81.7,0,0
PA102AL,PA10 2AL,PA,100,0,100,0,0,0,0,23.4,56.8,19.1,200.0,0,21.0,99.1,0,1.7,3.5,0.8,12.0,0,1.2,6.3,0,0,0,0,13,11,0,77.3,0,51.2,108.1,0
PA102AN,PA10 2AN,PA,100,0,100,0,0,0,0,50.0,78.4,22.2,200.0,0,22.2,92.5,0,3.0,4.8,1.2,12.0,0,1.2,5.8,0,0,0,0,1,4,0,160.3,0,141.7,164.9,0
PA102AP,PA10 2AP,PA,100,0,100,0,0,0,0,25.0,49.0,8.2,200.0,8.2,17.8,82.9,0,3.0,4.1,0.6,12.0,0.9,1.7,6.8,0,0,0,1,12,12,0,94.7,48.5,110.2,85.7,0
PA102AQ,PA10 2AQ,PA,100,0,100,0,0,0,0,54.9,73.5,8.6,200.0,8.6,17.5,91.3,0,3.0,5.0,1.1,12.0,1.1,1.2,6.2,0,0,0,1,6,22,0,178.5,75.1,127.7,204.1,0
