postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PE100AA,PE10 0AA,PE,40,0,100,0,0,0,60,16.6,16.6,10.9,22.4,0,16.6,0,0,2.6,2.8,1.2,4.7,0,2.8,0,0,0,0,0,4,0,0,74.0,0,74.0,0,0
PE100AB,PE10 0AB,PE,0,0,100,0,0,0,100,7.9,8.7,2.6,16.4,6.9,8.7,0,0,0.8,0.8,0.5,1.1,0.8,0.8,0,0,0,2,7,4,0,0,190.1,198.6,186.8,0,0
PE100AD,PE10 0AD,PE,0,0,100,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PE100AE,PE10 0AE,PE,100,0,100,0,0,0,0,6.9,19.6,1.4,54.9,4.4,4.4,45.0,0,0.7,2.3,0.4,10.0,0.7,0.7,10.0,0,1,2,2,0,3,0,30.2,34.3,34.3,23.5,0
PE100AF,PE10 0AF,PE,100,0,100,0,0,0,0,5.2,18.7,1.1,80.0,4.0,4.0,56.5,0,0.8,2.4,0.4,17.3,0.7,0.7,10.6,0,4,26,14,0,17,0,103.6,76.4,76.4,174.1,0
PE100AG,PE10 0AG,PE,92,0,100,0,0,0,8,4.2,11.8,1.0,55.0,3.7,3.7,46.2,0,0.8,1.5,0.4,10.0,0.7,0.7,8.5,0,1,13,3,0,4,0,84.8,93.2,93.2,68.6,0
PE100AH,PE10 0AH,PE,0,0,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PE100AJ,PE10 0AJ,PE,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PE100AL,PE10 0AL,PE,100,0,100,0,0,0,0,15.1,19.2,6.7,40.0,6.7,12.3,40.0,0,1.0,1.1,1.0,1.2,1.2,1.1,0,0,0,0,1,2,1,0,83.4,15.0,106.2,15.3,0
PE100AN,PE10 0AN,PE,100,0,100,0,0,0,0,5.5,5.1,2.3,6.4,5.1,5.1,0,0,0.8,0.8,0.4,1.0,0.8,0.8,0,0,0,3,3,0,0,0,160.0,160.0,160.0,0,0
PE100AT,PE10 0AT,PE,88,0,100,0,0,0,13,17.2,26.3,0.3,80.0,5.4,13.0,66.5,0,1.2,3.9,0.4,20.0,0.8,1.1,15.8,0,1,1,3,10,5,0,201.0,26.5,76.1,525.9,0
PE100AU,PE10 0AU,PE,0,0,24,62,76,81,100,3.1,6.5,0.4,29.1,2.4,6.5,0,0,0.8,0.8,0.3,2.0,0.6,0.8,0,0,8,10,1,9,0,0,89.4,103.1,89.4,0,0
PE100AW,PE10 0AW,PE,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PE100AX,PE10 0AX,PE,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PE100AY,PE10 0AY,PE,0,0,0,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PE100AZ,PE10 0AZ,PE,0,0,0,100,100,100,100,2.0,4.1,1.4,22.6,1.8,4.1,0,0,0.4,0.5,0.2,1.1,0.4,0.5,0,0,4,4,0,1,0,0,39.7,43.3,39.7,0,0
PE100BA,PE10 0BA,PE,0,0,0,100,100,100,100,0.9,0.9,0.3,1.7,0.9,0.9,0,0,0.4,0.5,0.3,0.6,0.5,0.5,0,0,4,0,0,0,0,0,37.9,37.9,37.9,0,0
PE100BB,PE10 0BB,PE,0,0,0,100,100,100,100,1.8,1.7,0.7,2.3,1.7,1.7,0,0,0.4,0.4,0.2,0.6,0.4,0.4,0,0,8,2,0,0,0,0,42.7,42.7,42.7,0,0
PE100BD,PE10 0BD,PE,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
