postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PH106AB,PH10 6AB,PH,0,0,0,0,0,0,100,21.5,18.3,4.0,24.4,7.0,18.3,0,0,1.2,1.1,0.2,2.8,0.8,1.1,0,0,0,2,4,25,0,0,106.0,51.4,106.0,0,0
PH106AD,PH10 6AD,PH,0,0,0,0,0,0,100,20.6,19.7,8.1,24.0,8.1,19.7,0,0,1.0,1.0,0.4,1.2,0.4,1.0,0,0,0,0,1,17,0,0,132.0,0.5,132.0,0,0
PH106AE,PH10 6AE,PH,100,0,100,0,0,0,0,20.4,21.3,6.5,54.9,6.5,19.5,54.9,0,1.1,1.5,0.4,10.0,1.1,1.1,10.0,0,0,0,1,18,1,0,18.0,9.0,18.5,8.0,0
PH106AF,PH10 6AF,PH,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PH106AG,PH10 6AG,PH,0,0,0,0,0,0,100,21.6,19.6,9.3,24.4,9.3,19.6,0,0,1.1,1.1,0.5,1.3,0.5,1.1,0,0,0,0,1,5,0,0,93.8,151.7,93.8,0,0
PH106AH,PH10 6AH,PH,0,0,0,0,0,0,100,22.0,20.0,7.4,24.2,7.7,20.0,0,0,1.1,1.1,0.4,1.3,0.7,1.1,0,0,0,0,2,17,0,0,79.9,2.9,79.9,0,0
PH106AL,PH10 6AL,PH,33,0,33,0,0,0,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PH106AN,PH10 6AN,PH,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PH106AQ,PH10 6AQ,PH,0,0,0,0,0,0,100,22.1,22.3,21.1,24.0,0,22.3,0,0,1.1,1.0,0.9,1.1,0,1.0,0,0,0,0,0,6,0,0,10.8,0,10.8,0,0
PH106AR,PH10 6AR,PH,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
