postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PL101AA,PL10 1AA,PL,79,0,79,0,0,0,21,18.7,23.2,8.1,46.9,8.1,16.9,43.8,0,1.1,1.5,0.9,7.6,0.9,1.1,7.6,0,0,0,3,10,4,0,137.5,34.1,83.1,346.6,0
PL101AB,PL10 1AB,PL,0,0,10,10,10,10,100,20.5,20.3,14.8,23.9,0,20.3,0,0,1.1,1.1,1.0,1.3,0,1.1,0,0,0,0,0,8,0,0,30.6,0,30.6,0,0
PL101AD,PL10 1AD,PL,87,0,87,0,0,0,13,18.4,23.1,12.0,55.0,0,17.0,47.5,0,1.1,1.0,0.4,1.2,0,1.0,0,0,0,0,0,8,2,0,65.7,0,71.3,25.6,0
PL101AE,PL10 1AE,PL,75,0,75,0,0,0,25,20.6,18.8,7.2,24.0,7.2,18.8,0,0,1.2,1.0,0.4,1.2,0.7,1.0,0,0,0,0,1,8,0,0,64.8,96.0,64.8,0,0
PL101AF,PL10 1AF,PL,100,0,100,0,0,0,0,20.1,20.7,0.6,50.6,4.3,17.9,43.5,0,1.2,1.5,0.4,6.9,0,1.1,4.8,0,1,0,1,22,3,0,73.4,0,41.7,317.9,0
PL101AG,PL10 1AG,PL,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL101AH,PL10 1AH,PL,0,0,0,0,0,0,100,5.9,8.4,2.7,19.5,5.6,8.4,0,0,0.8,0.8,0.3,1.2,0.7,0.8,0,0,0,1,3,1,0,0,23.9,21.5,23.9,0,0
PL101AJ,PL10 1AJ,PL,0,0,43,0,0,14,100,20.0,20.3,17.6,24.0,0,20.3,0,0,1.2,1.2,1.2,1.3,0,1.2,0,0,0,0,0,6,0,0,27.0,0,27.0,0,0
PL101AL,PL10 1AL,PL,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PL101AN,PL10 1AN,PL,62,0,62,0,0,0,38,15.6,20.9,14.3,39.9,0,16.8,39.1,0,1.1,1.9,1.0,8.2,0,1.1,8.2,0,0,0,0,9,2,0,60.1,0,59.9,60.7,0
