postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PO107AA,PO10 7AA,PO,100,0,100,0,0,0,0,50.0,50.3,18.9,150.0,0,20.0,76.9,0,3.0,4.2,0.8,10.0,0,1.1,6.9,0,0,0,0,7,8,0,29.5,0,19.5,37.0,0
PO107AB,PO10 7AB,PO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PO107AD,PO10 7AD,PO,100,0,100,0,0,0,0,20.2,13.8,2.2,22.6,3.0,13.8,0,0,1.0,0.9,0.5,1.3,0.5,0.9,0,0,0,2,0,3,0,0,24.4,2.6,24.4,0,0
PO107AE,PO10 7AE,PO,100,0,100,0,0,0,0,20.4,23.3,8.2,54.9,8.2,18.0,54.9,0,1.1,2.3,0.9,10.0,1.0,1.1,10.0,0,0,0,1,5,1,0,35.5,22.5,43.1,3.3,0
PO107AG,PO10 7AG,PO,100,0,100,0,0,0,0,30.8,30.0,3.4,55.0,5.0,5.0,55.0,0,5.6,5.4,0.3,10.0,0.7,0.7,10.0,0,0,1,1,0,2,0,9.0,11.1,11.1,6.9,0
PO107AL,PO10 7AL,PO,100,0,100,0,0,0,0,22.6,47.7,14.3,100.0,0,20.0,82.4,0,1.2,2.3,0.8,6.0,0,1.1,5.5,0,0,0,0,5,4,0,144.3,0,94.2,206.8,0
PO107AN,PO10 7AN,PO,100,0,100,0,0,0,0,34.6,67.9,2.3,200.0,2.3,10.8,125.0,0,5.0,6.0,1.1,12.0,0,1.1,8.5,0,0,1,0,1,2,0,64.7,17.3,9.3,120.1,0
PO107AQ,PO10 7AQ,PO,100,0,100,0,0,0,0,21.3,33.7,0.3,100.0,5.5,15.0,71.2,0,1.3,2.9,0.8,10.0,0.8,1.1,6.3,0,1,0,2,5,4,0,83.5,1.0,27.3,167.8,0
PO107AS,PO10 7AS,PO,100,0,100,0,0,0,0,21.6,32.9,8.1,70.0,8.1,18.1,62.5,0,1.2,3.2,1.0,10.0,1.1,1.1,7.5,0,0,0,1,3,2,0,38.6,2.2,27.4,60.9,0
PO107AT,PO10 7AT,PO,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PO107AU,PO10 7AU,PO,100,0,100,0,0,0,0,22.3,34.9,18.6,70.0,0,20.8,58.3,0,1.3,2.9,0.8,10.0,0,1.1,6.0,0,0,0,0,5,3,0,56.6,0,55.1,21.5,0
PO107AW,PO10 7AW,PO,100,0,100,0,0,0,0,21.0,29.1,0.6,80.0,5.3,18.1,60.4,0,1.0,2.4,0.4,20.0,0.7,0.9,8.2,0,1,0,2,17,7,0,96.0,9.7,87.1,119.9,0
PO107AX,PO10 7AX,PO,96,0,96,0,0,0,4,20.4,51.6,2.4,200.0,4.5,16.3,117.1,0,1.1,3.2,0.6,12.0,1.0,1.0,7.3,0,0,1,1,11,7,0,33.7,12.6,29.9,42.0,0
PO107AY,PO10 7AY,PO,100,0,100,0,0,0,0,85.4,85.1,17.5,152.0,0,19.2,151.0,0,5.5,6.0,0.8,12.0,0,1.0,11.0,0,0,0,0,2,2,0,22.4,0,26.4,18.4,0
PO107AZ,PO10 7AZ,PO,54,0,54,0,0,0,46,19.9,22.9,2.3,152.0,6.5,17.2,101.0,0,1.1,1.8,0.4,12.0,2.8,1.3,7.5,0,0,1,3,23,2,0,91.1,148.9,78.2,264.9,0
PO107BA,PO10 7BA,PO,50,0,50,0,0,0,50,20.3,37.8,1.1,200.0,1.1,18.0,116.7,0,1.1,2.2,0.1,12.0,0.1,1.0,7.0,0,1,0,0,11,3,0,82.7,5.8,96.0,56.9,0
PO107BB,PO10 7BB,PO,100,0,100,0,0,0,0,20.6,30.2,10.3,55.0,0,17.8,55.0,0,1.3,4.0,0.6,10.0,0,1.0,10.0,0,0,0,0,4,2,0,6.0,0,6.6,4.8,0
PO107BD,PO10 7BD,PO,100,0,100,0,0,0,0,50.0,37.4,6.7,70.0,6.7,14.4,56.7,0,3.0,2.4,0.4,5.0,0.5,0.9,3.7,0,0,0,1,4,6,0,12.0,9.7,6.8,16.3,0
PO107BE,PO10 7BE,PO,0,0,0,0,0,0,100,17.4,16.7,7.4,22.0,7.4,16.7,0,0,0.9,0.9,0.6,1.1,0.9,0.9,0,0,0,0,1,9,0,0,57.5,0.2,57.5,0,0
PO107BG,PO10 7BG,PO,0,0,0,0,0,0,100,16.9,17.4,14.0,21.8,0,17.4,0,0,1.0,1.0,0.7,1.2,0,1.0,0,0,0,0,0,4,0,0,37.1,0,37.1,0,0
