postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PR10AD,PR1 0AD,PR,100,0,100,0,0,0,0,31.9,38.0,2.3,80.0,2.3,17.7,58.2,0,1.2,3.5,1.0,10.0,0,1.1,7.3,0,0,1,0,5,6,0,78.8,24.3,79.3,78.3,0
PR10AE,PR1 0AE,PR,100,0,100,0,0,0,0,50.0,73.8,17.7,200.0,0,20.2,105.0,0,3.0,5.2,0.8,12.0,0,1.0,7.6,0,0,0,0,7,12,0,150.0,0,84.2,189.5,0
PR10AG,PR1 0AG,PR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PR10AH,PR1 0AH,PR,100,0,100,0,0,0,0,18.9,35.5,6.7,200.0,7.5,16.2,99.7,0,1.1,3.3,0.8,12.0,0.9,1.0,10.7,0,0,0,2,8,3,0,75.2,50.6,62.6,141.7,0
PR10AJ,PR1 0AJ,PR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PR10AL,PR1 0AL,PR,100,0,100,0,0,0,0,21.9,59.7,2.4,200.0,2.4,17.4,109.8,0,1.3,4.1,0.2,12.0,0.2,1.0,8.1,0,0,1,0,12,11,0,84.8,4.7,55.3,124.2,0
PR10AN,PR1 0AN,PR,100,0,100,0,0,0,0,40.0,41.0,19.2,70.5,0,19.8,49.6,0,2.5,4.4,0.8,10.0,0,1.0,6.0,0,0,0,0,2,5,0,81.7,0,212.2,39.9,0
PR10AP,PR1 0AP,PR,100,0,100,0,0,0,0,27.0,52.0,0.3,200.0,3.2,15.6,88.3,0,1.6,4.9,0.7,12.0,0.8,1.0,8.7,0,1,0,1,4,6,0,47.8,12.5,34.3,61.2,0
PR10AQ,PR1 0AQ,PR,100,0,100,0,0,0,0,22.0,57.9,2.9,200.0,2.9,18.1,106.3,0,1.3,4.5,0.3,20.0,0.3,1.1,9.0,0,0,1,0,16,14,0,65.7,80.9,59.6,73.7,0
PR10AR,PR1 0AR,PR,100,0,100,0,0,0,0,23.1,41.8,13.6,150.0,0,20.8,84.0,0,1.2,2.8,0.8,10.0,0,1.2,6.5,0,0,0,0,16,8,0,79.4,0,85.6,67.0,0
PR10AS,PR1 0AS,PR,100,0,100,0,0,0,0,50.0,56.1,9.9,200.0,9.9,19.9,90.3,0,1.4,4.2,0.4,12.0,0.8,1.0,7.5,0,0,0,1,16,18,0,103.9,437.5,85.0,106.5,0
PR10AT,PR1 0AT,PR,100,0,100,0,0,0,0,21.0,47.3,5.8,200.0,5.8,18.5,99.2,0,1.2,3.7,0.8,17.8,1.0,1.1,9.5,0,0,0,1,17,10,0,129.3,132.3,144.3,88.7,0
PR10AU,PR1 0AU,PR,100,0,100,0,0,0,0,19.7,34.7,17.0,70.0,0,18.1,56.7,0,1.2,2.2,0.9,5.0,0,1.0,3.7,0,0,0,0,4,3,0,53.7,0,26.2,105.0,0
PR10AX,PR1 0AX,PR,100,0,100,0,0,0,0,38.3,59.0,8.1,200.0,8.9,15.7,98.4,0,5.0,4.9,0.4,12.0,1.2,1.0,8.4,0,0,0,2,8,11,0,102.8,71.8,59.7,149.1,0
PR10AY,PR1 0AY,PR,100,0,100,0,0,0,0,40.0,57.7,8.2,200.0,8.2,18.4,87.2,0,1.4,4.8,0.8,12.0,0.8,1.1,8.9,0,0,0,1,8,12,0,75.3,142.5,44.5,97.6,0
PR10BA,PR1 0BA,PR,100,0,100,0,0,0,0,54.9,59.2,9.0,200.0,9.0,19.7,95.7,0,1.3,5.0,0.8,19.6,1.1,1.1,9.2,0,0,0,1,11,13,0,92.6,4.4,62.9,120.0,0
PR10BB,PR1 0BB,PR,100,0,100,0,0,0,0,19.2,22.5,8.2,52.8,8.2,16.5,52.8,0,1.1,2.6,1.0,10.0,1.0,1.1,10.0,0,0,0,1,4,1,0,35.2,44.9,41.6,3.4,0
PR10BD,PR1 0BD,PR,100,0,100,0,0,0,0,20.5,31.7,4.4,150.0,6.3,17.2,85.0,0,1.2,2.7,0.4,10.0,0.9,1.1,7.7,0,0,1,1,9,3,0,43.5,30.9,24.8,93.4,0
PR10BE,PR1 0BE,PR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PR10BH,PR1 0BH,PR,100,0,100,0,0,0,0,18.4,41.1,8.9,152.0,9.3,14.3,70.9,0,1.3,4.0,0.4,12.0,1.2,1.1,7.7,0,0,0,2,17,17,0,73.1,3.8,51.3,103.5,0
PR10BJ,PR1 0BJ,PR,100,0,100,0,0,0,0,21.9,52.8,8.1,200.0,8.1,18.4,97.1,0,1.3,3.1,0.8,12.0,1.0,1.1,6.4,0,0,0,1,8,7,0,61.5,5.9,48.1,81.2,0
PR10BN,PR1 0BN,PR,100,0,100,0,0,0,0,30.8,36.0,8.2,79.7,8.2,18.1,53.9,0,1.2,4.7,0.7,20.0,1.0,1.0,10.7,0,0,0,1,17,18,0,160.6,38.7,158.2,184.5,0
PR10BP,PR1 0BP,PR,100,0,100,0,0,0,0,54.9,64.7,18.0,200.0,0,20.1,76.4,0,10.0,8.3,0.8,19.8,0,1.1,10.5,0,0,0,0,5,19,0,159.5,0,276.1,128.8,0
PR10BQ,PR1 0BQ,PR,100,0,100,0,0,0,0,53.6,42.5,17.0,69.9,0,19.7,61.5,0,1.3,7.1,0.8,20.0,0,1.1,14.7,0,0,0,0,5,6,0,133.4,0,137.5,129.9,0
PR10DA,PR1 0DA,PR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PR10DQ,PR1 0DQ,PR,86,0,86,0,0,0,14,20.4,28.0,2.0,150.0,6.9,16.7,88.3,0,1.2,1.8,0.4,12.0,0.7,1.1,9.3,0,0,2,8,22,6,0,51.5,14.9,55.9,23.9,0
PR10DR,PR1 0DR,PR,100,0,100,0,0,0,0,50.0,70.1,12.9,200.0,0,20.4,97.8,0,3.0,4.2,0.4,12.0,0,0.9,6.3,0,0,0,0,5,9,0,169.3,0,72.3,260.6,0
PR10DS,PR1 0DS,PR,100,0,100,0,0,0,0,21.4,44.5,11.5,200.0,0,18.7,84.2,0,1.2,3.4,0.5,12.0,0,1.1,7.2,0,0,0,0,20,13,0,82.9,0,100.5,58.1,0
PR10DT,PR1 0DT,PR,100,0,100,0,0,0,0,41.1,51.9,14.5,200.0,0,19.1,77.3,0,3.0,5.1,0.8,15.2,0,1.0,8.2,0,0,0,0,7,9,0,161.1,0,54.5,215.1,0
PR10DU,PR1 0DU,PR,100,0,100,0,0,0,0,22.2,62.4,8.2,200.0,8.2,17.4,112.4,0,1.3,4.3,0.4,12.0,0.7,1.0,9.0,0,0,0,1,9,9,0,103.8,6.5,161.0,40.3,0
PR10DX,PR1 0DX,PR,100,0,100,0,0,0,0,20.6,34.6,4.9,150.0,4.9,18.2,150.0,0,1.0,2.2,0.4,10.0,0.4,0.9,10.0,0,0,1,0,6,1,0,65.0,139.8,70.4,32.5,0
PR10DY,PR1 0DY,PR,100,0,100,0,0,0,0,21.7,35.6,19.2,79.9,0,20.9,79.9,0,1.2,1.2,1.0,1.3,0,1.2,0,0,0,0,0,3,1,0,71.2,0,31.1,191.6,0
PR10EA,PR1 0EA,PR,100,0,100,0,0,0,0,25.4,61.8,3.1,200.0,7.1,14.4,115.0,0,3.5,4.0,0.4,12.0,0.8,1.0,7.1,0,0,1,2,6,8,0,123.2,51.8,109.4,131.0,0
PR10EB,PR1 0EB,PR,100,0,100,0,0,0,0,50.0,83.3,18.6,200.0,0,19.2,109.0,0,10.0,7.0,0.8,12.0,0,1.0,9.4,0,0,0,0,2,5,0,235.4,0,20.4,321.4,0
PR10ED,PR1 0ED,PR,100,0,100,0,0,0,0,21.2,46.9,5.4,200.0,7.0,17.7,93.6,0,1.3,3.6,0.5,12.0,0.8,1.1,8.6,0,0,0,2,14,10,0,123.1,18.4,79.1,177.6,0
PR10EE,PR1 0EE,PR,100,0,100,0,0,0,0,39.9,49.0,1.2,200.0,5.5,16.7,70.6,0,3.0,4.6,0.4,12.0,0.6,1.1,7.2,0,1,0,2,11,21,0,118.7,31.4,100.0,133.2,0
PR10EH,PR1 0EH,PR,100,0,100,0,0,0,0,25.7,38.5,5.0,150.0,6.6,16.3,60.7,0,1.7,2.8,0.4,10.0,0.8,1.0,4.5,0,0,0,2,10,12,0,96.0,89.0,111.5,80.5,0
PR10EJ,PR1 0EJ,PR,100,0,100,0,0,0,0,19.7,27.5,8.1,70.0,8.1,16.9,70.0,0,0.8,1.7,0.7,5.0,0.7,0.9,5.0,0,0,0,1,3,1,0,69.6,58.0,91.4,38.0,0
PR10EL,PR1 0EL,PR,100,0,100,0,0,0,0,30.6,51.9,8.2,200.0,8.3,16.5,83.9,0,3.0,4.2,0.6,12.0,3.0,1.3,7.0,0,0,0,3,16,21,0,108.2,14.5,61.4,129.4,0
PR10EN,PR1 0EN,PR,100,0,100,0,0,0,0,50.0,57.9,1.9,152.0,1.9,15.1,93.6,0,3.0,5.3,0.8,12.1,1.8,1.1,8.8,0,1,0,0,4,6,0,158.3,59.1,173.5,145.6,0
PR10EP,PR1 0EP,PR,100,0,100,0,0,0,0,31.4,60.0,16.1,200.0,0,20.1,99.9,0,1.3,3.7,0.8,12.0,0,1.1,9.0,0,0,0,0,4,4,0,205.0,0,306.4,154.1,0
PR10HS,PR1 0HS,PR,100,0,100,0,0,0,0,18.7,31.6,12.5,100.0,0,18.3,65.0,0,1.0,2.4,0.4,6.0,0,1.8,4.0,0,0,0,0,5,2,0,43.8,0,46.0,38.4,0
PR10HT,PR1 0HT,PR,100,0,100,0,0,0,0,62.4,79.1,3.0,200.0,3.0,10.6,96.3,0,6.0,6.8,0.4,20.0,0.4,0.6,8.3,0,0,1,0,1,8,0,217.0,52.1,59.3,256.4,0
PR10HU,PR1 0HU,PR,100,0,100,0,0,0,0,45.0,68.7,16.8,200.0,0,19.2,108.3,0,4.0,5.6,0.8,20.0,0,1.1,9.1,0,0,0,0,8,10,0,125.7,0,145.5,112.4,0
PR10HX,PR1 0HX,PR,100,0,100,0,0,0,0,50.0,53.4,0.3,200.0,5.2,14.3,80.0,0,3.0,4.2,0.4,12.0,0.8,1.0,6.3,0,1,1,3,12,25,0,142.1,24.5,108.0,164.9,0
PR10HY,PR1 0HY,PR,100,0,100,0,0,0,0,54.9,56.8,16.7,152.0,0,19.5,72.1,0,6.0,5.7,0.8,12.0,0,1.0,8.0,0,0,0,0,7,17,0,98.2,0,49.7,111.7,0
PR10JA,PR1 0JA,PR,100,0,100,0,0,0,0,22.4,48.5,9.1,200.0,9.1,18.2,84.1,0,1.4,4.7,0.8,18.8,1.1,1.1,8.9,0,0,0,1,19,17,0,127.8,95.0,162.2,66.0,0
PR10JB,PR1 0JB,PR,100,0,100,0,0,0,0,40.0,44.0,13.4,200.0,0,19.1,64.2,0,1.2,5.2,0.4,20.0,0,1.0,10.2,0,0,0,0,13,16,0,113.9,0,99.7,131.2,0
PR10JD,PR1 0JD,PR,100,0,100,0,0,0,0,22.6,43.8,12.4,152.0,0,18.2,71.1,0,1.3,3.6,0.8,12.0,0,1.0,6.5,0,0,0,0,16,15,0,212.4,0,276.8,156.1,0
PR10JE,PR1 0JE,PR,100,0,100,0,0,0,0,20.0,51.8,10.1,200.0,0,17.6,89.9,0,1.2,3.2,0.8,12.0,0,1.0,6.3,0,0,0,0,10,9,0,118.8,0,94.8,158.1,0
PR10JH,PR1 0JH,PR,100,0,100,0,0,0,0,20.6,40.8,8.2,200.0,8.2,16.1,71.1,0,1.3,4.2,0.7,20.0,1.0,1.1,7.8,0,0,0,2,20,18,0,122.7,11.3,104.7,148.4,0
PR10JJ,PR1 0JJ,PR,100,0,100,0,0,0,0,54.9,68.6,7.1,200.0,7.1,16.6,95.6,0,3.0,4.7,0.5,12.0,0.5,0.9,7.3,0,0,0,1,13,27,0,117.3,22.3,100.8,129.8,0
PR10JL,PR1 0JL,PR,100,0,100,0,0,0,0,50.0,62.7,17.1,200.0,0,19.7,88.6,0,3.0,4.9,0.4,12.0,0,1.0,7.4,0,0,0,0,9,15,0,98.5,0,96.4,99.8,0
PR10JN,PR1 0JN,PR,100,0,100,0,0,0,0,40.0,56.0,2.6,200.0,2.6,14.9,76.5,0,5.0,5.6,0.8,16.5,1.1,1.1,8.4,0,0,1,0,4,10,0,115.9,5.0,101.5,125.2,0
PR10JR,PR1 0JR,PR,100,0,100,0,0,0,0,18.8,21.1,8.2,44.6,8.2,16.3,42.3,0,1.0,2.0,0.8,6.7,1.0,1.0,6.6,0,0,0,1,8,2,0,39.6,6.1,45.2,14.6,0
PR10JS,PR1 0JS,PR,100,0,100,0,0,0,0,40.0,47.5,15.1,152.0,0,16.8,65.1,0,5.0,4.9,0.8,12.0,0,0.9,7.2,0,0,0,0,4,7,0,170.4,0,49.1,191.3,0
PR10JT,PR1 0JT,PR,98,0,100,0,0,0,3,19.0,32.3,6.1,200.0,8.0,16.9,59.4,0,1.3,2.6,0.4,12.0,1.0,1.4,4.8,0,0,0,3,20,13,0,69.7,21.3,31.4,141.8,0
PR10JU,PR1 0JU,PR,100,0,100,0,0,0,0,18.4,56.4,14.3,200.0,0,16.6,116.2,0,1.2,4.4,1.1,12.0,0,1.2,9.3,0,0,0,0,3,2,0,167.4,0,146.3,199.0,0
PR10JX,PR1 0JX,PR,100,0,100,0,0,0,0,16.9,17.8,5.0,50.1,6.6,14.2,50.1,0,1.1,1.7,0.6,7.4,0.8,1.0,7.4,0,0,0,2,7,1,0,51.5,72.9,42.5,131.8,0
PR10LH,PR1 0LH,PR,100,0,100,0,0,0,0,19.6,33.4,11.3,70.0,0,15.6,57.0,0,3.6,2.9,0.9,5.0,0,1.7,4.6,0,0,0,0,4,3,0,136.3,0,55.5,235.9,0
PR10LJ,PR1 0LJ,PR,100,0,100,0,0,0,0,15.3,34.0,3.7,200.0,6.8,11.2,66.6,0,1.2,3.6,0.4,12.0,0.9,1.3,6.9,0,0,3,5,12,14,0,100.4,74.3,80.0,109.5,0
PR10LL,PR1 0LL,PR,100,0,100,0,0,0,0,30.3,55.4,0.4,200.0,5.9,10.9,100.0,0,3.8,5.1,0.4,12.0,0.9,1.6,8.5,0,2,0,7,5,14,0,45.7,19.3,36.1,60.9,0
PR10LN,PR1 0LN,PR,75,0,100,0,0,0,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PR10LP,PR1 0LP,PR,96,0,100,0,0,0,4,11.9,33.4,4.1,200.0,7.1,9.2,71.6,0,1.3,2.4,0.7,12.0,0.9,1.1,4.8,0,0,2,6,3,7,0,55.9,35.0,57.8,59.5,0
PR10LS,PR1 0LS,PR,100,0,100,0,0,0,0,16.1,43.0,0.3,200.0,7.3,11.9,89.7,0,1.2,3.9,0.6,16.5,1.0,1.3,8.3,0,1,1,14,23,26,0,141.3,37.8,98.3,203.4,0
PR10LT,PR1 0LT,PR,100,0,100,0,0,0,0,40.0,82.3,8.8,200.0,8.8,14.9,132.9,0,6.7,6.4,0.7,12.0,1.0,1.9,9.4,0,0,0,1,8,12,0,186.6,53.6,138.3,237.0,0
PR10LU,PR1 0LU,PR,100,0,100,0,0,0,0,13.1,34.3,6.3,150.0,8.0,10.6,67.9,0,1.1,3.0,0.7,10.0,0.9,1.1,6.3,0,0,0,8,9,12,0,118.3,62.2,147.9,103.0,0
PR10LX,PR1 0LX,PR,100,0,100,0,0,0,0,27.2,41.5,6.2,200.0,8.0,10.6,72.5,0,1.3,4.5,0.8,20.0,1.0,1.0,8.3,0,0,0,6,9,15,0,139.5,78.6,106.2,172.8,0
PR10LY,PR1 0LY,PR,98,0,98,0,0,0,2,21.4,46.2,0.9,200.0,4.5,14.2,82.0,0,1.3,3.5,0.2,12.0,0.6,1.1,6.2,0,1,1,1,16,17,0,63.4,26.0,51.0,77.3,0
PR10NA,PR1 0NA,PR,100,0,100,0,0,0,0,17.1,33.5,7.8,100.0,7.8,13.4,62.1,0,1.3,3.4,0.8,10.0,0.8,1.1,6.7,0,0,0,1,9,7,0,117.5,408.0,145.1,93.6,0
