postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
RG100AA,RG10 0AA,RG,100,0,100,0,0,0,0,47.4,48.7,16.5,79.9,0,18.8,63.6,0,1.4,6.4,1.0,20.0,0,1.1,13.3,0,0,0,0,4,8,0,80.9,0,42.0,99.9,0
RG100AB,RG10 0AB,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100AD,RG10 0AD,RG,100,0,100,0,0,0,0,50.0,50.6,14.5,152.0,0,18.2,70.9,0,3.0,4.6,1.0,12.0,0,1.3,7.3,0,0,0,0,5,8,0,112.1,0,123.4,105.0,0
RG100AE,RG10 0AE,RG,100,0,100,0,0,0,0,54.9,75.6,13.0,200.0,0,18.4,122.1,0,4.0,5.3,0.8,12.0,0,1.1,8.9,0,0,0,0,13,16,0,162.7,0,179.5,154.6,0
RG100AF,RG10 0AF,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100AG,RG10 0AG,RG,100,0,100,0,0,0,0,54.9,61.5,4.7,120.0,4.7,12.4,70.4,0,8.0,6.9,0.9,12.0,0.9,1.5,8.0,0,0,1,0,1,11,0,108.9,17.5,49.8,119.6,0
RG100AH,RG10 0AH,RG,100,0,100,0,0,0,0,50.0,55.3,6.2,152.0,7.2,13.8,73.5,0,3.0,5.1,0.9,15.0,1.0,1.1,7.1,0,0,0,2,5,16,0,96.7,19.6,114.4,93.6,0
RG100AJ,RG10 0AJ,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100AL,RG10 0AL,RG,100,0,100,0,0,0,0,19.7,33.2,9.6,79.8,9.6,15.4,59.9,0,1.0,3.2,0.9,10.0,1.0,1.0,10.0,0,0,0,1,2,2,0,156.0,148.8,77.7,273.6,0
RG100AN,RG10 0AN,RG,100,0,100,0,0,0,0,45.0,60.4,9.0,200.0,9.0,15.2,87.6,0,1.3,5.2,0.8,12.0,1.1,1.1,9.8,0,0,0,1,8,15,0,177.2,0.3,262.5,122.3,0
RG100AP,RG10 0AP,RG,100,0,100,0,0,0,0,21.0,48.1,5.7,200.0,6.9,16.8,88.8,0,1.2,3.8,0.8,12.0,1.0,1.0,7.8,0,0,0,2,11,10,0,189.5,64.3,154.8,234.6,0
RG100AQ,RG10 0AQ,RG,100,0,100,0,0,0,0,79.7,55.0,7.5,100.0,7.8,7.8,86.4,0,1.0,2.6,0.7,6.0,0.9,0.9,6.0,0,0,0,2,0,3,0,199.3,34.0,34.0,185.7,0
RG100AR,RG10 0AR,RG,100,0,100,0,0,0,0,28.0,40.2,2.6,150.0,4.6,16.0,66.1,0,1.6,4.4,0.4,20.0,1.4,1.1,8.2,0,0,1,1,13,14,0,59.7,33.1,44.0,76.4,0
RG100AS,RG10 0AS,RG,100,0,100,0,0,0,0,50.0,57.8,6.7,200.0,6.7,14.0,92.2,0,1.4,4.3,0.9,12.0,0.9,1.1,7.8,0,0,0,1,10,14,0,103.3,3.0,84.0,127.0,0
RG100AT,RG10 0AT,RG,100,0,100,0,0,0,0,46.6,51.7,8.2,200.0,8.2,15.1,77.3,0,3.0,4.5,0.8,12.0,0.9,1.1,7.5,0,0,0,1,6,10,0,52.5,2.9,63.9,49.8,0
RG100AU,RG10 0AU,RG,100,0,100,0,0,0,0,18.0,36.4,6.8,200.0,8.6,14.1,69.9,0,1.3,5.0,0.8,20.0,0.9,1.4,11.9,0,0,0,3,18,14,0,171.5,80.1,176.8,174.0,0
RG100AW,RG10 0AW,RG,100,0,100,0,0,0,0,45.0,52.6,7.6,200.0,7.6,15.2,80.6,0,1.3,3.2,0.8,12.0,1.0,1.0,5.8,0,0,0,1,5,8,0,92.2,280.3,94.4,90.5,0
RG100AX,RG10 0AX,RG,100,0,100,0,0,0,0,40.0,51.2,5.7,200.0,6.9,14.1,73.7,0,3.0,4.6,0.7,14.5,1.0,1.6,6.7,0,0,0,2,15,28,0,108.8,100.1,107.9,119.1,0
RG100AY,RG10 0AY,RG,100,0,100,0,0,0,0,23.5,51.9,3.1,200.0,7.0,13.1,92.6,0,3.0,4.1,0.4,12.0,1.1,1.8,6.5,0,0,2,6,14,21,0,105.2,71.4,107.9,108.1,0
RG100AZ,RG10 0AZ,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BA,RG10 0BA,RG,100,0,100,0,0,0,0,20.1,42.7,5.1,200.0,7.4,14.2,90.1,0,1.2,3.4,0.6,12.0,0.9,1.1,7.0,0,0,0,8,17,15,0,54.4,47.3,55.1,53.1,0
RG100BB,RG10 0BB,RG,100,0,100,0,0,0,0,45.8,74.6,7.6,200.0,7.6,12.8,114.0,0,5.5,5.4,0.9,12.0,0.9,1.8,8.2,0,0,0,1,6,11,0,113.3,19.8,72.4,148.9,0
RG100BD,RG10 0BD,RG,100,0,100,0,0,0,0,18.3,30.4,4.4,150.0,5.6,17.1,150.0,0,1.1,4.0,0.4,10.0,0.6,3.0,10.0,0,0,1,1,7,1,0,91.6,30.8,66.5,409.7,0
RG100BE,RG10 0BE,RG,100,0,100,0,0,0,0,22.3,36.4,5.5,150.0,8.1,14.2,68.5,0,2.7,3.2,0.4,10.0,0.7,1.7,6.3,0,0,0,5,8,9,0,140.8,50.3,64.9,257.2,0
RG100BG,RG10 0BG,RG,100,0,100,0,0,0,0,35.4,38.8,6.0,79.7,6.0,16.8,60.9,0,1.3,5.6,0.7,20.0,0.7,1.0,11.3,0,0,0,1,9,10,0,128.8,47.6,50.3,207.3,0
RG100BH,RG10 0BH,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BJ,RG10 0BJ,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BL,RG10 0BL,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BN,RG10 0BN,RG,38,0,100,0,0,0,63,16.5,16.4,11.4,20.0,0,16.4,0,0,0.8,0.9,0.6,1.3,0,0.9,0,0,0,0,0,5,0,0,166.1,0,166.1,0,0
RG100BP,RG10 0BP,RG,86,0,100,0,0,0,14,20.8,33.2,4.5,79.9,6.3,11.5,62.3,0,2.8,5.7,0.8,20.0,0.9,1.9,14.8,0,0,1,3,4,6,0,127.2,64.4,116.3,87.2,0
RG100BQ,RG10 0BQ,RG,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RG100BS,RG10 0BS,RG,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BT,RG10 0BT,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BU,RG10 0BU,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BX,RG10 0BX,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BY,RG10 0BY,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100BZ,RG10 0BZ,RG,100,0,100,0,0,0,0,40.0,39.8,2.1,66.9,4.7,4.7,49.1,0,10.0,8.9,0.4,20.0,0.8,0.8,11.2,0,0,2,2,0,15,0,190.7,41.3,41.3,237.8,0
RG100DA,RG10 0DA,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100DB,RG10 0DB,RG,100,0,100,0,0,0,0,7.4,20.5,4.2,54.9,6.8,6.8,54.9,0,1.0,3.5,0.7,10.0,0.9,0.9,10.0,0,0,1,4,0,2,0,81.2,106.4,106.4,18.0,0
RG100DD,RG10 0DD,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100DE,RG10 0DE,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100DF,RG10 0DF,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100DG,RG10 0DG,RG,100,0,100,0,0,0,0,53.8,42.7,9.6,54.9,9.6,9.6,50.9,0,10.0,7.7,0.8,10.0,0.8,0.8,10.0,0,0,0,1,0,4,0,280.4,588.4,588.4,203.4,0
RG100DH,RG10 0DH,RG,100,0,100,0,0,0,0,51.6,36.9,1.8,66.1,3.9,7.6,57.8,0,4.0,6.7,1.0,20.0,1.0,1.0,11.0,0,1,2,1,1,7,0,95.7,9.0,65.4,117.4,0
RG100DJ,RG10 0DJ,RG,67,0,100,0,0,0,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100DL,RG10 0DL,RG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RG100DN,RG10 0DN,RG,100,0,100,0,0,0,0,6.5,20.8,5.0,47.4,5.6,5.6,43.7,0,0.9,3.9,0.7,10.0,0.8,0.8,10.0,0,0,0,3,0,2,0,62.8,9.7,9.7,88.3,0
RG100DP,RG10 0DP,RG,98,0,100,0,0,0,2,31.0,28.5,3.8,71.1,6.5,8.2,47.8,0,1.1,4.4,0.4,11.8,0.9,1.3,8.7,0,0,3,13,2,19,0,117.9,109.9,128.9,107.4,0
RG100DQ,RG10 0DQ,RG,100,0,100,0,0,0,0,66.2,66.7,54.9,79.7,0,0,66.7,0,10.0,13.3,10.0,20.0,0,0,13.3,0,0,0,0,0,4,0,137.7,0,0,137.7,0
RG100DR,RG10 0DR,RG,100,0,100,0,0,0,0,40.0,41.1,5.2,79.9,6.4,7.1,53.0,0,8.6,6.5,0.7,17.0,0.8,0.9,10.4,0,0,0,6,1,20,0,71.8,36.9,36.5,87.7,0
RG100DS,RG10 0DS,RG,100,0,100,0,0,0,0,38.7,31.7,0.6,53.9,5.1,5.1,42.0,0,7.8,6.7,0.6,20.0,0.8,0.8,10.9,0,1,1,3,0,13,0,207.5,14.3,14.3,281.8,0
