postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
RH101AE,RH10 1AE,RH,100,0,100,0,0,0,0,12.9,28.1,3.2,79.7,7.5,11.1,55.8,0,1.1,5.1,0.3,20.0,0.9,1.0,12.8,0,0,3,6,27,22,0,288.9,271.1,199.6,440.4,0
RH101AH,RH10 1AH,RH,100,0,100,0,0,0,0,12.6,19.1,4.2,80.0,7.6,11.3,52.2,0,1.1,2.6,0.2,20.0,0.9,1.0,11.2,0,0,1,14,40,13,0,184.5,185.9,153.8,324.7,0
RH101AJ,RH10 1AJ,RH,100,0,100,0,0,0,0,12.4,25.0,1.1,79.8,7.3,10.7,54.4,0,1.1,4.2,0.4,20.0,0.9,1.0,11.7,0,1,2,12,45,29,0,183.9,80.6,137.9,253.3,0
RH101AL,RH10 1AL,RH,100,0,100,0,0,0,0,10.0,18.7,6.4,79.9,8.5,9.9,54.6,0,1.1,2.6,0.4,18.4,1.0,1.0,11.3,0,0,0,28,17,11,0,160.5,122.6,159.9,190.3,0
RH101AN,RH10 1AN,RH,100,0,100,0,0,0,0,11.8,19.1,2.3,80.0,7.2,10.0,51.5,0,1.0,2.3,0.3,10.0,0.9,1.0,10.0,0,0,3,18,25,13,0,186.9,200.9,183.1,180.9,0
RH101AP,RH10 1AP,RH,100,0,100,0,0,0,0,12.1,19.5,6.0,79.8,8.4,11.5,49.9,0,1.1,2.6,0.7,10.0,1.0,1.1,10.0,0,0,0,10,28,10,0,178.8,170.9,163.0,215.6,0
RH101AQ,RH10 1AQ,RH,100,0,100,0,0,0,0,11.7,24.9,2.9,79.7,7.5,10.2,55.4,0,1.1,4.5,0.6,20.0,1.0,1.0,13.6,0,0,2,7,20,14,0,134.5,102.1,138.5,126.4,0
RH101AR,RH10 1AR,RH,100,0,100,0,0,0,0,9.0,21.5,3.5,74.2,8.0,8.4,51.3,0,1.1,3.7,0.7,20.0,1.1,1.1,12.0,0,0,2,28,4,15,0,177.5,181.5,175.4,159.4,0
RH101AT,RH10 1AT,RH,100,0,100,0,0,0,0,8.7,14.6,2.3,54.9,7.7,8.2,46.4,0,1.0,2.5,0.8,19.1,1.0,1.0,11.3,0,0,3,31,6,8,0,171.1,128.3,130.7,311.7,0
RH101AU,RH10 1AU,RH,100,0,100,0,0,0,0,9.6,22.5,3.6,79.9,8.1,9.1,53.7,0,1.1,4.3,0.6,20.0,1.0,1.3,12.1,0,0,4,38,14,24,0,214.1,183.9,188.9,287.4,0
RH101AW,RH10 1AW,RH,100,0,100,0,0,0,0,10.7,22.6,1.7,77.6,7.7,9.5,54.9,0,1.1,4.4,0.6,20.0,1.0,1.0,13.4,0,1,2,25,29,23,0,187.6,138.0,136.3,315.3,0
RH101AX,RH10 1AX,RH,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RH101AY,RH10 1AY,RH,100,0,100,0,0,0,0,12.5,17.2,5.2,55.0,7.2,10.6,46.0,0,1.1,2.1,0.2,10.0,0.9,1.0,10.0,0,0,0,9,13,5,0,46.9,85.1,47.5,44.5,0
RH101BA,RH10 1BA,RH,83,0,83,0,0,0,17,14.3,25.1,13.7,79.8,0,14.1,79.8,0,1.1,1.1,0.8,1.3,0,1.1,0,0,0,0,0,5,1,0,199.0,0,216.5,111.8,0
RH101BD,RH10 1BD,RH,0,100,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RH101BE,RH10 1BE,RH,100,0,100,0,0,0,0,18.7,22.3,2.6,54.9,3.5,3.5,41.0,0,0.8,4.8,0.4,13.0,0.7,0.7,10.2,0,0,14,1,0,15,0,246.5,147.9,147.9,339.3,0
RH101BF,RH10 1BF,RH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RH101BG,RH10 1BG,RH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RH101BH,RH10 1BH,RH,100,0,100,0,0,0,0,14.9,27.6,5.6,80.0,5.6,12.6,62.8,0,1.0,3.1,0.4,20.0,0.9,0.9,11.0,0,0,0,1,6,3,0,209.5,293.0,261.5,96.0,0
RH101BJ,RH10 1BJ,RH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RH101BN,RH10 1BN,RH,100,0,100,0,0,0,0,13.5,20.2,2.9,79.9,7.7,11.1,62.4,0,1.1,2.1,0.5,10.0,0.9,1.0,10.0,0,0,1,6,7,3,0,348.7,330.5,381.2,196.6,0
RH101BQ,RH10 1BQ,RH,95,5,100,0,0,0,0,14.0,26.3,2.2,100.0,5.5,11.4,74.8,0,1.0,1.4,0.7,6.0,0.8,1.1,6.0,0,0,1,3,9,4,0,81.2,25.0,58.5,143.6,0
RH101BT,RH10 1BT,RH,100,0,100,0,0,0,0,14.3,25.2,3.4,80.0,3.4,11.5,80.0,0,0.7,0.7,0.4,0.8,0.4,0.7,0,0,0,1,0,3,1,0,52.6,0.1,24.1,166.4,0
RH101BU,RH10 1BU,RH,100,0,100,0,0,0,0,15.5,32.9,7.1,200.0,8.3,11.9,75.0,0,1.1,2.9,0.5,10.0,0.9,1.0,8.2,0,0,0,6,6,6,0,121.3,117.9,73.4,207.4,0
