postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
RM107AA,RM10 7AA,RM,100,0,100,0,0,0,0,6.9,27.9,4.6,100.0,6.0,6.0,52.2,0,1.1,2.8,0.4,10.0,0.8,0.8,5.2,0,0,1,9,0,9,0,187.2,156.6,156.6,233.4,0
RM107AB,RM10 7AB,RM,100,0,100,0,0,0,0,13.5,53.2,2.2,200.0,5.1,6.5,110.4,0,1.0,4.4,0.6,12.0,0.9,0.9,9.2,0,0,4,6,1,9,0,159.3,174.0,163.7,171.5,0
RM107AD,RM10 7AD,RM,100,0,100,0,0,0,0,7.4,24.5,5.5,55.0,6.3,6.3,47.4,0,1.0,3.3,0.5,10.0,0.8,0.8,6.5,0,0,0,5,0,4,0,150.2,227.8,227.8,90.8,0
RM107AE,RM10 7AE,RM,100,0,100,0,0,0,0,50.0,50.7,4.0,200.0,6.3,8.0,85.9,0,3.0,3.2,0.3,12.0,0.8,0.9,5.1,0,0,3,8,3,17,0,152.3,72.7,73.5,229.8,0
RM107AF,RM10 7AF,RM,100,0,100,0,0,0,0,50.0,60.5,4.2,200.0,6.7,9.3,89.8,0,3.0,4.1,0.7,12.0,0.9,0.9,5.9,0,0,2,7,3,21,0,143.4,211.2,165.0,131.1,0
RM107AG,RM10 7AG,RM,100,0,100,0,0,0,0,7.6,40.6,2.2,200.0,6.1,6.7,89.5,0,1.0,2.8,0.4,12.0,0.8,0.8,5.6,0,0,5,16,2,16,0,208.9,174.0,183.6,243.8,0
RM107AH,RM10 7AH,RM,100,0,100,0,0,0,0,57.5,67.4,4.4,152.0,5.9,5.9,87.9,0,6.0,7.3,0.8,20.0,0.9,0.9,9.8,0,0,1,2,0,9,0,291.4,251.2,251.2,304.9,0
RM107AJ,RM10 7AJ,RM,100,0,100,0,0,0,0,50.0,53.8,5.9,152.0,6.0,6.0,85.6,0,3.0,5.3,0.7,12.0,0.9,0.9,8.3,0,0,0,2,0,3,0,152.4,61.6,61.6,140.4,0
RM107AL,RM10 7AL,RM,100,0,100,0,0,0,0,50.0,54.8,3.2,200.0,4.2,9.1,73.0,0,3.0,5.2,0.8,20.0,0.8,2.6,6.4,0,0,2,1,1,10,0,247.2,287.7,217.5,259.1,0
RM107AN,RM10 7AN,RM,100,0,100,0,0,0,0,65.0,66.9,8.3,152.0,8.8,12.0,109.6,0,3.0,4.7,0.6,12.0,1.0,1.0,7.9,0,0,0,2,5,9,0,284.7,100.3,210.5,342.3,0
RM107AP,RM10 7AP,RM,100,0,100,0,0,0,0,55.0,64.2,5.1,200.0,6.2,6.2,107.8,0,3.0,4.2,0.6,12.0,0.9,0.9,6.8,0,0,0,6,0,8,0,176.1,70.5,70.5,255.3,0
RM107AQ,RM10 7AQ,RM,97,0,97,0,0,0,3,11.6,43.6,0.9,200.0,6.2,7.3,85.5,0,1.1,2.9,0.4,12.0,0.7,0.8,5.4,0,1,0,11,3,13,0,215.7,194.2,193.9,243.0,0
RM107AR,RM10 7AR,RM,100,0,100,0,0,0,0,5.8,23.8,1.0,152.0,4.5,4.5,101.0,0,1.0,2.2,0.5,12.0,0.8,0.8,7.5,0,2,2,4,0,2,0,78.2,103.7,103.7,5.1,0
