postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
S101AE,S10 1AE,S,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S101BA,S10 1BA,S,100,0,100,0,0,0,0,54.9,63.0,6.9,200.0,7.5,12.1,94.9,0,5.6,7.7,0.8,20.0,0.9,1.0,14.4,0,0,0,2,3,8,0,422.5,53.0,89.8,630.4,0
S101BB,S10 1BB,S,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S101BD,S10 1BD,S,100,0,100,0,0,0,0,17.7,24.1,2.6,60.5,7.3,14.5,42.7,0,1.2,3.3,0.3,11.6,0.8,1.1,8.6,0,0,1,4,36,21,0,211.9,42.7,162.5,277.5,0
S101BE,S10 1BE,S,100,0,100,0,0,0,0,18.6,28.1,5.4,59.9,5.4,16.1,47.8,0,1.2,3.1,0.7,12.6,0.7,1.0,10.6,0,0,0,1,17,11,0,179.9,110.8,149.5,253.7,0
S101BG,S10 1BG,S,100,0,100,0,0,0,0,20.4,27.0,14.8,79.8,0,18.2,53.3,0,1.3,2.8,0.8,10.0,0,1.2,10.0,0,0,0,0,9,3,0,316.3,0,239.2,496.3,0
S101BH,S10 1BH,S,100,0,100,0,0,0,0,19.6,26.7,15.0,54.2,0,18.5,46.9,0,1.3,4.7,1.1,16.8,0,1.2,13.4,0,0,0,0,5,2,0,305.6,0,355.0,182.2,0
S101BJ,S10 1BJ,S,100,0,100,0,0,0,0,20.5,23.1,7.1,54.9,7.9,18.2,47.9,0,1.2,1.8,0.4,10.0,2.2,1.3,7.7,0,0,0,5,30,7,0,134.4,228.2,127.3,190.7,0
S101BL,S10 1BL,S,100,0,100,0,0,0,0,25.0,28.4,20.9,40.0,0,23.7,37.8,0,3.0,3.5,0.8,6.5,0,3.5,0,0,0,0,0,6,3,0,206.2,0,163.6,291.4,0
S101BN,S10 1BN,S,100,0,100,0,0,0,0,23.4,34.6,2.5,79.7,3.5,19.9,52.3,0,1.3,5.2,0.8,20.0,0,1.1,11.0,0,0,2,0,28,25,0,179.9,68.0,152.4,207.9,0
S101BP,S10 1BP,S,100,0,100,0,0,0,0,23.5,34.5,0.4,79.5,0.4,18.5,66.5,0,1.2,2.5,0.5,10.0,0.5,1.0,10.0,0,1,0,0,5,3,0,115.4,52.8,84.0,52.4,0
S101BS,S10 1BS,S,100,0,100,0,0,0,0,22.8,30.5,20.6,54.9,0,22.1,47.5,0,1.4,4.2,1.2,10.0,0,1.3,10.0,0,0,0,0,4,2,0,203.4,0,173.9,262.5,0
S101BT,S10 1BT,S,100,0,100,0,0,0,0,19.7,20.3,1.4,40.0,1.4,15.4,40.0,0,1.0,1.1,0.4,2.0,0.4,0.9,2.0,0,1,0,0,3,1,0,78.7,73.5,103.2,5.1,0
S101BU,S10 1BU,S,100,0,100,0,0,0,0,19.5,19.3,0.3,40.0,0.3,15.1,40.0,0,1.2,1.2,0.7,2.0,0.7,1.0,2.0,0,1,0,0,4,1,0,88.4,2.6,115.1,24.1,0
S101BX,S10 1BX,S,100,0,100,0,0,0,0,22.4,37.1,18.0,79.7,0,21.1,69.3,0,1.2,3.2,1.0,18.3,0,1.2,12.8,0,0,0,0,14,7,0,205.0,0,174.2,282.7,0
S101BY,S10 1BY,S,100,0,100,0,0,0,0,22.1,29.1,5.6,68.2,5.9,19.1,51.6,0,1.2,3.8,0.6,20.0,2.3,1.2,13.2,0,0,0,2,18,9,0,169.6,227.3,110.8,345.8,0
S101BZ,S10 1BZ,S,100,0,100,0,0,0,0,21.7,30.4,14.3,79.5,0,20.1,58.1,0,1.2,4.0,1.2,20.0,0,1.2,15.0,0,0,0,0,8,3,0,148.8,0,122.2,156.4,0
S101DA,S10 1DA,S,100,0,100,0,0,0,0,22.8,32.8,8.1,79.7,8.1,19.1,52.3,0,1.3,4.4,0.8,20.0,1.2,1.2,10.8,0,0,0,1,16,12,0,195.6,0.0,134.6,299.8,0
S101DB,S10 1DB,S,100,0,100,0,0,0,0,31.9,42.5,18.4,79.7,0,21.6,63.5,0,1.2,4.8,0.4,19.8,0,1.0,12.5,0,0,0,0,8,8,0,158.7,0,164.4,153.0,0
S101DF,S10 1DF,S,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S101DG,S10 1DG,S,100,0,100,0,0,0,0,20.0,23.7,8.2,40.0,8.2,17.2,40.0,0,1.2,2.6,1.0,10.0,1.0,1.2,10.0,0,0,0,1,4,2,0,125.5,149.1,89.2,216.2,0
S101DH,S10 1DH,S,100,0,100,0,0,0,0,20.3,33.4,4.5,80.0,7.0,16.2,59.3,0,1.2,3.1,0.4,10.0,0.9,1.1,10.0,0,0,1,2,27,20,0,239.1,38.3,194.4,320.1,0
S101DJ,S10 1DJ,S,100,0,100,0,0,0,0,20.1,37.0,12.9,80.0,0,17.1,64.0,0,1.2,3.2,0.8,20.0,0,1.1,12.0,0,0,0,0,23,17,0,264.2,0,156.4,415.2,0
S101DY,S10 1DY,S,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S101EA,S10 1EA,S,100,0,100,0,0,0,0,34.2,31.0,9.5,56.9,9.5,14.7,42.6,0,1.3,4.6,0.8,10.0,1.2,1.0,9.2,0,0,0,1,4,7,0,277.8,0,288.1,293.4,0
S101EB,S10 1EB,S,100,0,100,0,0,0,0,79.9,69.3,14.4,100.0,0,17.0,84.3,0,4.5,4.0,0.8,6.0,0,1.0,5.0,0,0,0,0,2,7,0,328.5,0,291.0,331.1,0
S101ED,S10 1ED,S,100,0,100,0,0,0,0,24.5,38.2,10.9,100.0,0,17.2,64.4,0,1.3,3.7,0.4,10.0,0,1.0,6.7,0,0,0,0,10,8,0,192.1,0,104.6,310.3,0
S101EE,S10 1EE,S,100,0,100,0,0,0,0,31.9,30.5,0.6,57.0,4.2,13.1,47.8,0,3.0,3.2,0.4,8.3,0.4,0.9,5.0,0,1,0,1,4,6,0,149.6,5.9,20.7,127.0,0
S101EF,S10 1EF,S,100,0,100,0,0,0,0,18.2,23.6,11.4,54.9,0,15.7,42.2,0,1.2,4.4,0.8,10.0,0,1.1,9.9,0,0,0,0,7,3,0,236.7,0,152.1,405.8,0
S101EG,S10 1EG,S,100,0,100,0,0,0,0,50.0,42.2,13.7,79.9,0,15.4,51.9,0,3.0,2.8,1.2,8.3,0,1.2,3.4,0,0,0,0,4,11,0,254.0,0,369.8,248.9,0
S101EH,S10 1EH,S,100,0,100,0,0,0,0,11.1,11.1,0.3,18.5,6.4,11.1,0,0,1.1,0.9,0.3,1.2,0.7,0.9,0,0,1,0,2,3,0,0,41.2,37.3,41.2,0,0
S101EJ,S10 1EJ,S,100,0,100,0,0,0,0,15.7,23.1,10.2,48.6,0,14.7,42.6,0,1.1,3.9,0.8,13.2,0,1.4,9.5,0,0,0,0,14,6,0,190.1,0,131.2,317.6,0
S101EL,S10 1EL,S,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S101EN,S10 1EN,S,100,0,100,0,0,0,0,33.5,28.7,5.5,55.0,6.8,11.7,43.3,0,2.0,4.0,0.8,10.0,0.9,1.0,6.6,0,0,0,2,4,7,0,211.0,32.1,73.9,325.3,0
S101EP,S10 1EP,S,100,0,100,0,0,0,0,15.5,23.3,5.8,49.2,7.4,13.6,39.0,0,1.0,3.3,0.3,11.2,0.3,0.8,7.6,0,0,0,2,11,8,0,192.8,199.6,209.2,168.2,0
S101EQ,S10 1EQ,S,100,0,100,0,0,0,0,17.4,23.0,8.1,57.7,9.0,16.3,45.5,0,1.2,2.7,0.4,17.0,0.7,1.1,11.0,0,0,0,2,18,6,0,191.2,26.1,102.9,509.2,0
S101ER,S10 1ER,S,100,0,100,0,0,0,0,19.1,42.1,3.8,200.0,6.7,14.4,73.3,0,1.2,4.1,0.4,12.0,1.0,1.2,8.2,0,0,1,3,23,24,0,185.9,241.8,148.6,211.7,0
S101ES,S10 1ES,S,100,0,100,0,0,0,0,20.6,35.8,9.2,79.9,9.2,17.2,56.6,0,1.2,4.1,0.9,20.0,1.0,1.2,12.7,0,0,0,1,9,9,0,207.2,2.9,146.4,247.5,0
S101ET,S10 1ET,S,100,0,100,0,0,0,0,15.3,21.9,6.0,79.7,8.4,13.0,47.3,0,1.1,3.0,0.4,16.7,0.9,1.0,10.5,0,0,0,5,15,7,0,124.3,35.4,67.2,280.5,0
S101EU,S10 1EU,S,100,0,100,0,0,0,0,17.7,22.1,8.0,54.9,8.0,17.1,45.8,0,1.2,2.7,0.8,10.0,1.1,1.6,7.5,0,0,0,1,18,4,0,162.2,0.1,122.2,332.1,0
S101EW,S10 1EW,S,100,0,100,0,0,0,0,26.8,36.3,8.4,79.9,8.4,16.4,56.3,0,1.3,6.4,0.9,20.0,1.0,1.2,13.6,0,0,0,1,14,15,0,136.9,17.7,135.8,136.6,0
S101EX,S10 1EX,S,100,0,100,0,0,0,0,21.2,35.9,4.3,79.9,4.3,16.7,61.4,0,1.2,3.7,0.6,20.0,0.6,1.1,12.0,0,0,1,0,15,12,0,146.9,2.8,73.4,238.8,0
S101EY,S10 1EY,S,100,0,100,0,0,0,0,19.8,31.2,7.1,79.9,7.7,15.8,58.9,0,1.2,2.7,0.3,10.0,0.7,1.0,10.0,0,0,0,2,7,5,0,271.4,23.3,70.2,587.6,0
S101EZ,S10 1EZ,S,100,0,100,0,0,0,0,17.1,22.8,15.9,54.9,0,17.5,54.9,0,1.2,2.4,0.8,10.0,0,1.1,10.0,0,0,0,0,6,1,0,30.4,0,35.3,1.0,0
S101FA,S10 1FA,S,100,0,100,0,0,0,0,42.7,42.6,14.3,78.3,0,17.4,60.6,0,1.3,8.4,1.1,20.0,0,1.2,17.5,0,0,0,0,5,7,0,161.7,0,148.4,181.3,0
S101FB,S10 1FB,S,100,0,100,0,0,0,0,17.0,26.6,2.6,79.9,6.9,14.8,59.4,0,1.1,3.1,0.2,20.0,0.5,1.3,12.0,0,0,1,3,21,9,0,70.7,33.8,39.9,151.1,0
S101FD,S10 1FD,S,100,0,100,0,0,0,0,20.0,28.0,1.3,59.1,1.3,17.0,47.1,0,1.2,3.3,0.3,13.9,0.3,1.1,9.1,0,1,0,0,18,11,0,89.4,21.4,85.8,95.6,0
S101FE,S10 1FE,S,100,0,100,0,0,0,0,19.2,27.0,11.5,54.9,0,16.7,46.6,0,1.2,4.3,0.8,12.8,0,1.7,10.3,0,0,0,0,21,11,0,120.0,0,93.0,178.0,0
