postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SA106AA,SA10 6AA,SA,100,0,100,0,0,0,0,50.0,91.2,10.8,200.0,0,14.7,139.0,0,3.0,5.7,0.7,12.0,0,0.9,8.6,0,0,0,0,5,8,0,136.6,0,153.1,126.3,0
SA106AB,SA10 6AB,SA,100,0,100,0,0,0,0,50.0,61.1,7.0,200.0,7.6,18.6,90.6,0,3.0,3.9,0.3,12.0,0.7,1.0,5.8,0,0,0,2,16,26,0,86.1,16.0,68.0,105.3,0
SA106AD,SA10 6AD,SA,100,0,100,0,0,0,0,22.5,26.7,20.0,50.0,0,22.1,50.0,0,1.1,1.4,0.8,3.0,0,1.1,3.0,0,0,0,0,5,1,0,98.2,0,84.2,168.4,0
SA106AE,SA10 6AE,SA,96,0,96,0,0,0,4,50.0,82.6,19.2,200.0,0,21.4,138.2,0,3.0,5.0,1.0,12.0,0,1.2,8.5,0,0,0,0,10,11,0,174.1,0,76.7,253.8,0
SA106AF,SA10 6AF,SA,100,0,100,0,0,0,0,50.0,66.6,7.6,200.0,7.6,19.9,108.0,0,3.0,4.6,0.8,12.0,0.8,1.2,7.3,0,0,0,1,7,9,0,82.0,23.9,40.2,119.2,0
SA106AG,SA10 6AG,SA,100,0,100,0,0,0,0,27.0,67.8,15.3,200.0,0,22.0,113.7,0,1.7,4.3,1.1,12.0,0,1.2,7.3,0,0,0,0,6,6,0,81.9,0,95.0,70.9,0
SA106AH,SA10 6AH,SA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SA106AJ,SA10 6AJ,SA,100,0,100,0,0,0,0,50.0,63.7,12.8,152.0,0,15.1,88.0,0,3.0,4.4,1.0,12.0,0,1.2,6.0,0,0,0,0,2,4,0,145.0,0,252.7,91.2,0
SA106AL,SA10 6AL,SA,100,0,100,0,0,0,0,20.0,54.5,8.7,200.0,8.7,18.1,200.0,0,1.2,3.4,0.8,12.0,0.8,1.3,12.0,0,0,0,1,3,1,0,33.1,0.5,32.5,35.6,0
SA106AN,SA10 6AN,SA,100,0,100,0,0,0,0,8.1,28.1,6.9,200.0,7.8,13.2,125.0,0,0.7,1.7,0.2,12.0,0.5,0.7,7.5,0,0,0,8,5,2,0,45.8,0.6,49.3,25.3,0
SA106AP,SA10 6AP,SA,100,0,100,0,0,0,0,47.0,54.5,23.9,100.0,0,23.9,85.0,0,3.1,3.3,1.1,6.0,0,1.2,5.5,0,0,0,0,2,2,0,82.1,0,104.9,70.7,0
SA106AQ,SA10 6AQ,SA,97,0,97,0,0,0,3,60.0,80.8,8.1,200.0,8.9,10.9,120.1,0,4.0,5.6,0.8,12.0,1.0,1.0,7.9,0,0,0,4,5,16,0,144.1,153.6,137.3,172.6,0
SA106AR,SA10 6AR,SA,100,0,100,0,0,0,0,23.9,29.1,23.4,50.0,0,23.7,40.0,0,1.3,1.6,0.9,3.0,0,1.2,2.5,0,0,0,0,4,2,0,130.5,0,169.8,12.9,0
SA106AS,SA10 6AS,SA,100,0,100,0,0,0,0,50.0,73.3,20.0,200.0,0,20.0,88.6,0,3.0,4.4,1.0,12.0,0,1.0,5.4,0,0,0,0,2,7,0,105.0,0,120.0,130.6,0
SA106AT,SA10 6AT,SA,100,0,100,0,0,0,0,70.0,79.4,16.4,200.0,0,22.0,111.6,0,5.0,5.1,0.7,12.0,0,1.1,7.4,0,0,0,0,9,16,0,141.0,0,229.8,96.6,0
SA106AU,SA10 6AU,SA,96,0,96,0,0,0,4,50.0,73.0,11.6,200.0,0,16.8,99.2,0,3.0,4.9,0.4,12.0,0,1.0,6.7,0,0,0,0,7,15,0,96.7,0,60.0,113.8,0
SA106AW,SA10 6AW,SA,95,0,95,0,0,0,5,40.0,50.7,19.7,152.0,0,23.1,75.2,0,2.5,3.2,0.4,12.0,0,1.1,4.9,0,0,0,0,16,18,0,106.3,0,98.5,125.5,0
SA106AX,SA10 6AX,SA,100,0,100,0,0,0,0,50.0,64.2,8.0,200.0,8.8,13.2,99.1,0,3.0,4.1,0.8,12.0,1.0,1.1,6.2,0,0,0,3,10,19,0,153.1,182.9,187.6,129.5,0
SA106AY,SA10 6AY,SA,50,0,100,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SA106AZ,SA10 6AZ,SA,100,0,100,0,0,0,0,35.0,62.9,5.5,200.0,7.6,11.8,114.0,0,2.5,4.1,1.0,12.0,1.0,1.2,7.0,0,0,0,2,3,5,0,191.4,189.1,208.1,174.7,0
SA106BA,SA10 6BA,SA,96,0,96,0,0,0,4,60.0,83.0,18.1,200.0,0,20.6,114.2,0,4.0,5.1,0.8,12.0,0,1.0,7.2,0,0,0,0,6,12,0,110.9,0,36.3,157.3,0
SA106BB,SA10 6BB,SA,100,0,100,0,0,0,0,50.0,47.9,18.4,100.0,0,22.2,65.0,0,3.0,3.0,0.8,6.0,0,1.1,4.2,0,0,0,0,4,6,0,65.9,0,31.3,83.2,0
SA106BD,SA10 6BD,SA,100,0,100,0,0,0,0,45.9,77.9,19.6,200.0,0,20.7,135.0,0,3.1,4.8,0.8,12.0,0,1.0,8.5,0,0,0,0,2,2,0,93.8,0,103.6,84.0,0
SA106BE,SA10 6BE,SA,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
