postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SE100AA,SE10 0AA,SE,100,0,100,0,0,0,0,40.0,78.8,8.2,200.0,8.2,15.2,142.4,0,2.1,5.0,0.6,12.0,0.6,0.9,9.0,0,0,0,1,4,5,0,255.3,16.7,310.2,200.4,0
SE100AB,SE10 0AB,SE,96,0,96,0,0,0,4,20.0,30.3,4.0,100.0,6.8,14.1,56.6,0,1.2,3.0,0.5,10.0,1.8,1.3,6.3,0,0,1,3,9,8,0,166.3,97.1,157.1,181.1,0
SE100AD,SE10 0AD,SE,47,0,47,0,0,0,53,12.3,23.0,4.3,76.9,7.0,11.7,60.6,0,1.1,3.5,0.8,20.0,1.1,1.0,11.0,0,0,1,1,8,3,0,284.7,430.9,405.7,15.6,0
SE100AE,SE10 0AE,SE,52,0,52,0,0,0,48,13.9,22.6,4.1,100.0,6.9,12.4,54.8,0,1.1,2.4,0.3,10.0,0.9,1.0,6.8,0,0,1,3,15,6,0,296.6,132.3,309.7,279.4,0
SE100AH,SE10 0AH,SE,100,0,100,0,0,0,0,20.0,33.4,2.3,100.0,2.3,18.3,61.6,0,1.2,2.3,0.2,13.7,0.2,1.0,4.8,0,0,1,0,14,8,0,121.1,43.0,166.2,92.5,0
SE100AJ,SE10 0AJ,SE,100,0,100,0,0,0,0,14.6,14.7,7.5,22.1,7.5,14.7,0,0,0.8,0.8,0.5,1.0,0.5,0.8,0,0,0,0,1,3,0,0,243.6,180.3,290.4,0,0
SE100AL,SE10 0AL,SE,100,0,100,0,0,0,0,79.8,67.2,16.4,120.0,0,18.1,99.9,0,3.6,5.0,0.8,12.0,0,1.0,9.0,0,0,0,0,2,3,0,86.3,0,43.7,114.7,0
SE100AN,SE10 0AN,SE,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE100AP,SE10 0AP,SE,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SE100AQ,SE10 0AQ,SE,100,0,100,0,0,0,0,21.9,31.3,9.6,80.0,9.6,17.5,47.5,0,1.1,2.9,0.8,10.0,0.8,1.0,7.3,0,0,0,1,6,6,0,199.1,39.1,177.4,220.4,0
