postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SG106AA,SG10 6AA,SG,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG106AB,SG10 6AB,SG,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG106AD,SG10 6AD,SG,0,0,0,0,0,0,100,16.5,15.6,9.5,19.9,9.5,15.6,0,0,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,1,3,0,0,71.6,89.4,71.6,0,0
SG106AE,SG10 6AE,SG,0,0,0,0,0,0,100,11.3,13.1,6.6,19.1,6.8,13.1,0,0,1.2,1.0,0.4,1.2,0.8,1.0,0,0,0,0,2,5,0,0,73.7,22.4,73.7,0,0
SG106AF,SG10 6AF,SG,0,0,0,0,0,0,100,18.9,18.2,13.3,22.9,0,18.2,0,0,1.2,1.1,0.8,1.3,0,1.1,0,0,0,0,0,7,0,0,140.9,0,140.9,0,0
SG106AH,SG10 6AH,SG,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SG106AJ,SG10 6AJ,SG,0,0,0,0,0,0,100,23.2,20.6,12.5,24.4,0,20.6,0,0,1.2,1.1,0.7,1.3,0,1.1,0,0,0,0,0,17,0,0,74.5,0,74.5,0,0
SG106AL,SG10 6AL,SG,0,0,0,0,0,0,100,22.6,20.0,3.1,24.2,5.6,20.0,0,0,1.2,1.1,0.1,1.3,0.5,1.1,0,0,0,1,1,14,0,0,181.2,9.0,181.2,0,0
SG106AN,SG10 6AN,SG,0,0,0,0,0,0,100,17.5,15.3,3.5,24.2,6.6,15.3,0,0,1.1,1.0,0.4,1.2,0.4,1.0,0,0,0,1,5,8,0,0,48.1,3.3,48.1,0,0
SG106AP,SG10 6AP,SG,0,0,0,0,0,0,100,20.6,18.0,4.4,24.4,7.0,18.0,0,0,1.2,1.1,0.7,1.3,0.7,1.1,0,0,0,1,2,24,0,0,57.8,51.0,57.8,0,0
SG106AQ,SG10 6AQ,SG,0,0,0,0,0,0,100,9.1,9.1,4.4,14.1,7.5,9.1,0,0,1.1,1.0,0.8,1.2,1.0,1.0,0,0,0,1,3,2,0,0,86.5,7.4,86.5,0,0
