postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SK101AA,SK10 1AA,SK,100,0,100,0,0,0,0,20.5,24.4,2.0,54.9,2.0,17.4,52.5,0,1.1,2.2,0.3,10.0,0.3,1.0,6.5,0,1,0,0,7,2,0,68.7,1.2,70.9,92.3,0
SK101AF,SK10 1AF,SK,100,0,100,0,0,0,0,22.2,19.3,4.5,24.4,4.5,19.3,0,0,1.1,1.0,0.8,1.2,1.1,1.0,0,0,0,1,0,4,0,0,25.2,0.1,25.2,0,0
SK101AJ,SK10 1AJ,SK,100,0,100,0,0,0,0,54.9,77.4,15.8,200.0,0,18.3,101.0,0,6.0,6.9,0.8,19.5,0,1.0,9.3,0,0,0,0,2,5,0,94.0,0,199.9,51.6,0
SK101AN,SK10 1AN,SK,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SK101AP,SK10 1AP,SK,8,0,8,0,0,0,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SK101AQ,SK10 1AQ,SK,93,0,93,0,0,0,7,19.5,20.3,7.2,50.0,7.2,18.2,50.0,0,1.0,1.2,0.9,3.0,0,1.0,3.0,0,0,0,1,13,1,0,48.8,0,53.7,0.5,0
SK101AR,SK10 1AR,SK,100,0,100,0,0,0,0,18.5,33.1,15.8,79.7,0,17.6,79.7,0,1.0,1.1,1.0,1.1,0,1.1,0,0,0,0,0,3,1,0,74.7,0,90.5,27.1,0
SK101AS,SK10 1AS,SK,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SK101AT,SK10 1AT,SK,100,0,100,0,0,0,0,22.3,35.6,3.7,100.0,3.7,16.9,66.7,0,1.1,2.3,0.8,6.0,1.0,0.9,4.0,0,0,1,0,4,3,0,19.6,5.0,14.4,26.5,0
SK101AU,SK10 1AU,SK,100,0,100,0,0,0,0,20.3,34.5,8.1,152.0,8.2,17.1,70.6,0,1.2,2.5,0.8,12.0,1.0,1.1,5.7,0,0,0,2,27,14,0,145.2,58.5,161.1,112.1,0
