postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SL00AA,SL0 0AA,SL,60,0,100,0,0,0,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SL00AD,SL0 0AD,SL,100,0,100,0,0,0,0,57.5,58.2,47.5,70.4,0,0,58.2,0,10.0,7.7,3.0,10.0,0,0,7.7,0,0,0,0,0,4,0,107.5,0,0,107.5,0
SL00AE,SL0 0AE,SL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SL00AG,SL0 0AG,SL,100,0,100,0,0,0,0,20.4,30.2,6.5,73.7,6.6,16.5,66.8,0,1.2,3.9,0.8,20.0,0.9,1.1,15.0,0,0,0,2,6,3,0,65.7,3.1,42.1,128.7,0
SL00AH,SL0 0AH,SL,100,0,100,0,0,0,0,52.5,72.4,7.7,200.0,7.7,15.2,94.4,0,5.0,5.2,0.6,12.0,0.7,1.0,7.0,0,0,0,1,4,13,0,131.4,27.8,140.1,128.7,0
SL00AJ,SL0 0AJ,SL,100,0,100,0,0,0,0,21.7,41.2,8.1,150.0,8.1,17.7,74.0,0,1.3,4.4,0.8,10.0,1.0,1.1,8.9,0,0,0,1,6,5,0,108.4,94.8,77.0,152.4,0
SL00AL,SL0 0AL,SL,100,0,100,0,0,0,0,21.3,60.7,6.1,200.0,7.7,16.6,111.1,0,1.3,4.7,0.5,12.0,0.6,1.0,9.0,0,0,0,2,14,14,0,171.7,23.9,129.2,234.8,0
SL00AN,SL0 0AN,SL,100,0,100,0,0,0,0,40.0,36.3,20.4,54.9,0,21.0,46.6,0,7.9,6.1,1.2,10.0,0,1.2,9.3,0,0,0,0,2,3,0,120.5,0,9.8,225.2,0
SL00AP,SL0 0AP,SL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SL00AS,SL0 0AS,SL,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL00AT,SL0 0AT,SL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SL00AU,SL0 0AU,SL,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL00AW,SL0 0AW,SL,100,0,100,0,0,0,0,66.7,68.2,18.3,150.0,0,18.3,73.2,0,10.0,11.2,1.2,20.0,0,1.2,12.5,0,0,0,0,1,10,0,103.5,0,23.5,111.5,0
SL00AX,SL0 0AX,SL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SL00AY,SL0 0AY,SL,57,0,100,0,0,0,43,14.0,16.3,3.0,34.2,6.4,13.1,33.8,0,1.2,2.0,0.5,7.9,0.8,1.6,5.3,0,0,1,3,7,2,0,39.0,67.5,31.4,80.8,0
