postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SM11AG,SM1 1AG,SM,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM11AT,SM1 1AT,SM,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM11AW,SM1 1AW,SM,5,0,5,0,0,0,95,7.4,9.2,0.6,18.2,5.7,9.2,0,0,0.9,0.9,0.4,1.2,0.9,0.9,0,0,1,1,5,4,0,0,35.3,11.3,35.3,0,0
SM11AX,SM1 1AX,SM,30,0,30,0,0,0,70,11.9,12.1,5.8,20.1,7.4,12.1,0,0,1.1,1.1,0.4,1.9,1.1,1.1,0,0,0,0,6,9,0,0,17.6,8.7,17.6,0,0
SM11AY,SM1 1AY,SM,0,0,0,0,0,0,100,13.0,13.0,8.1,19.7,8.7,13.0,0,0,1.1,1.0,0.4,1.3,0.9,1.0,0,0,0,0,7,10,0,0,28.0,35.2,28.0,0,0
SM11AZ,SM1 1AZ,SM,100,0,100,0,0,0,0,17.3,20.7,8.1,39.9,8.1,14.3,39.9,0,1.0,1.0,0.9,1.1,1.1,1.0,0,0,0,0,1,2,1,0,67.1,0.2,24.5,194.8,0
SM11BB,SM1 1BB,SM,57,0,57,0,0,0,43,19.7,18.5,9.5,23.2,9.5,18.5,0,0,1.2,1.2,1.0,1.3,1.2,1.2,0,0,0,0,1,6,0,0,68.0,11.2,68.0,0,0
SM11BT,SM1 1BT,SM,38,0,38,0,0,0,63,20.6,19.9,6.5,24.0,6.5,19.9,0,0,1.1,1.1,0.6,1.2,0.6,1.1,0,0,0,0,1,12,0,0,98.1,54.7,98.1,0,0
SM11DE,SM1 1DE,SM,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SM11DF,SM1 1DF,SM,100,0,100,0,0,0,0,20.6,24.9,8.1,60.4,8.1,17.8,60.4,0,1.1,4.2,0.8,20.0,1.0,1.1,20.0,0,0,0,1,4,1,0,85.2,27.8,93.7,51.1,0
