postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SN101AB,SN10 1AB,SN,100,0,100,0,0,0,0,55.0,45.9,18.6,55.0,0,18.6,55.0,0,10.0,7.8,1.1,10.0,0,1.1,10.0,0,0,0,0,1,3,0,5.4,0,2.2,6.5,0
SN101AG,SN10 1AG,SN,100,0,100,0,0,0,0,20.2,18.6,9.4,21.3,9.4,18.6,0,0,1.1,1.1,1.0,1.3,1.2,1.1,0,0,0,0,1,5,0,0,12.6,0.9,13.7,0,0
SN101AH,SN10 1AH,SN,100,0,100,0,0,0,0,20.3,18.9,8.1,24.0,8.1,18.9,0,0,1.1,1.0,0.4,1.3,0.4,1.0,0,0,0,0,1,8,0,0,138.6,3.1,155.5,0,0
SN101AJ,SN10 1AJ,SN,100,0,100,0,0,0,0,18.3,19.3,1.6,40.0,6.8,15.4,40.0,0,1.1,1.4,0.4,10.0,0.8,1.0,10.0,0,1,0,6,19,5,0,44.5,37.4,41.3,59.5,0
SN101AN,SN10 1AN,SN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SN101AP,SN10 1AP,SN,100,0,100,0,0,0,0,22.5,24.1,13.6,40.0,0,21.5,40.0,0,1.1,1.0,0.8,1.2,0,1.0,0,0,0,0,0,6,1,0,64.5,0,68.8,38.3,0
SN101AQ,SN10 1AQ,SN,100,0,100,0,0,0,0,17.6,21.9,16.3,40.0,0,17.3,40.0,0,1.0,2.9,1.0,10.0,0,1.1,10.0,0,0,0,0,4,1,0,34.4,0,14.3,139.9,0
SN101AR,SN10 1AR,SN,94,0,100,0,0,0,6,16.2,17.1,6.7,40.0,7.8,15.4,40.0,0,1.0,1.6,0.4,10.0,0.6,0.9,10.0,0,0,0,6,7,1,0,87.4,20.4,70.7,287.7,0
SN101AT,SN10 1AT,SN,100,0,100,0,0,0,0,19.5,19.9,0.3,79.0,5.1,16.1,59.5,0,1.1,1.9,0.4,20.0,0.8,1.0,20.0,0,2,0,3,16,2,0,43.4,19.6,45.7,20.8,0
SN101AX,SN10 1AX,SN,100,0,100,0,0,0,0,20.7,29.7,15.4,80.0,0,20.2,58.3,0,1.1,2.7,0.8,10.0,0,1.0,10.0,0,0,0,0,9,3,0,222.3,0,189.8,89.6,0
SN101BB,SN10 1BB,SN,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN101BD,SN10 1BD,SN,93,0,93,0,0,0,7,21.4,21.6,19.2,24.2,0,21.6,0,0,1.0,1.0,0.9,1.1,0,1.0,0,0,0,0,0,4,0,0,75.6,0,19.9,0,0
SN101BE,SN10 1BE,SN,100,0,100,0,0,0,0,21.0,27.7,19.8,55.0,0,21.1,47.5,0,1.0,2.5,1.0,10.0,0,1.0,10.0,0,0,0,0,6,2,0,153.2,0,186.3,70.4,0
