postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SO140AA,SO14 0AA,SO,18,0,18,0,0,0,82,23.7,26.1,11.6,100.0,0,22.0,85.0,0,1.1,1.4,0.6,6.0,0,1.1,5.5,0,0,0,0,29,2,0,141.4,0,146.4,2.6,0
SO140AE,SO14 0AE,SO,100,0,100,0,0,0,0,20.5,47.4,2.6,200.0,2.6,16.2,85.5,0,1.3,3.7,0.6,12.0,0.6,1.0,6.9,0,0,1,0,10,9,0,242.6,73.6,283.6,199.1,0
SO140AG,SO14 0AG,SO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SO140AH,SO14 0AH,SO,100,0,100,0,0,0,0,15.4,20.3,8.1,50.0,8.1,12.4,40.0,0,0.9,1.3,0.4,3.0,0.6,0.8,2.5,0,0,0,2,3,2,0,225.6,11.0,219.3,316.5,0
SO140AJ,SO14 0AJ,SO,100,0,100,0,0,0,0,32.3,36.8,11.8,79.7,0,13.9,59.7,0,5.6,7.6,0.8,20.0,0,0.9,14.2,0,0,0,0,4,4,0,216.7,0,248.9,184.5,0
SO140AL,SO14 0AL,SO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SO140AN,SO14 0AN,SO,100,0,100,0,0,0,0,17.7,34.9,3.1,100.0,6.7,12.7,74.7,0,1.1,3.0,0.8,15.9,1.0,1.0,7.5,0,0,1,3,5,5,0,283.8,170.3,159.9,342.4,0
SO140AP,SO14 0AP,SO,100,0,100,0,0,0,0,35.0,43.7,8.2,200.0,9.1,14.0,66.5,0,3.0,3.2,0.8,12.0,1.0,1.3,4.6,0,0,0,3,7,13,0,239.7,74.1,240.1,254.7,0
SO140AQ,SO14 0AQ,SO,100,0,100,0,0,0,0,13.6,37.6,1.0,200.0,4.9,11.1,90.6,0,1.1,2.9,0.4,12.0,0.6,0.9,7.0,0,1,1,2,12,8,0,223.5,103.3,179.9,310.8,0
SO140AR,SO14 0AR,SO,100,0,100,0,0,0,0,15.9,28.8,1.2,100.0,1.2,12.7,85.0,0,1.1,1.9,0.4,6.0,0.4,0.9,5.5,0,1,0,0,6,2,0,169.3,11.7,125.8,321.4,0
SO140AT,SO14 0AT,SO,100,0,100,0,0,0,0,18.9,34.4,8.1,100.0,8.9,13.5,57.1,0,1.3,3.7,0.4,18.8,1.1,1.0,6.6,0,0,0,2,11,12,0,391.0,68.9,135.1,714.6,0
SO140AU,SO14 0AU,SO,100,0,100,0,0,0,0,15.8,38.0,4.9,200.0,6.4,12.3,79.3,0,1.0,3.6,0.7,20.0,0.8,0.9,8.4,0,0,1,3,12,10,0,242.3,101.4,201.3,319.6,0
SO140AW,SO14 0AW,SO,100,0,100,0,0,0,0,15.6,27.5,7.7,70.0,8.4,13.0,48.5,0,1.1,3.3,0.8,11.7,1.0,1.0,7.5,0,0,0,3,10,9,0,247.7,252.4,257.4,233.7,0
SO140AX,SO14 0AX,SO,100,0,100,0,0,0,0,15.1,23.5,2.0,70.0,2.0,13.5,53.7,0,1.1,2.5,0.8,10.0,0.9,1.0,7.0,0,0,1,0,11,4,0,201.0,44.6,161.3,286.2,0
SO140AY,SO14 0AY,SO,0,0,0,0,0,0,100,20.8,20.1,8.1,24.0,8.1,20.1,0,0,1.1,1.1,0.4,1.4,0.8,1.1,0,0,0,0,1,37,0,0,104.8,12.9,106.1,0,0
