postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SP101AE,SP10 1AE,SP,100,0,100,0,0,0,0,8.5,8.8,5.8,12.3,6.2,8.8,0,0,1.1,1.1,0.8,1.4,1.0,1.1,0,0,0,0,2,2,0,0,163.6,109.5,163.6,0,0
SP101AF,SP10 1AF,SP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SP101AJ,SP10 1AJ,SP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SP101BE,SP10 1BE,SP,7,0,7,0,0,0,93,21.7,18.6,8.1,24.4,8.1,18.6,0,0,1.0,1.0,0.4,1.2,0.7,1.0,0,0,0,0,4,12,0,0,26.8,7.8,26.8,0,0
SP101BG,SP10 1BG,SP,17,0,17,0,0,0,83,19.8,18.8,11.0,23.9,0,18.8,0,0,1.1,1.0,0.4,1.2,0,1.0,0,0,0,0,0,6,0,0,49.7,0,49.7,0,0
SP101BH,SP10 1BH,SP,36,0,36,0,0,0,64,24.0,38.4,20.5,150.0,0,22.5,110.0,0,1.1,2.4,0.8,12.0,0,1.1,8.5,0,0,0,0,9,2,0,124.6,0,136.2,72.8,0
SP101BL,SP10 1BL,SP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SP101BN,SP10 1BN,SP,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SP101BW,SP10 1BW,SP,0,0,0,0,0,0,100,16.8,15.1,2.5,24.4,2.5,15.1,0,0,0.9,0.8,0.4,1.1,0,0.8,0,0,0,1,0,3,0,0,20.1,0,20.1,0,0
SP101BX,SP10 1BX,SP,100,0,100,0,0,0,0,33.5,39.5,9.3,100.0,9.3,18.8,49.9,0,3.0,3.2,0.9,6.2,0.9,2.3,3.7,0,0,0,1,2,6,0,61.5,22.3,43.7,59.9,0
SP101BY,SP10 1BY,SP,100,0,100,0,0,0,0,21.9,28.5,20.1,50.0,0,21.3,50.0,0,1.4,1.9,1.2,3.0,0,1.3,3.0,0,0,0,0,3,1,0,15.4,0,4.7,26.1,0
SP101DB,SP10 1DB,SP,100,0,100,0,0,0,0,19.8,22.4,1.6,80.0,4.5,17.2,80.0,0,1.0,0.9,0.3,1.3,0.4,0.9,0,0,1,0,1,9,1,0,205.6,169.0,205.6,0,0
SP101DE,SP10 1DE,SP,67,0,67,0,0,0,33,17.1,28.3,4.3,150.0,7.4,16.0,118.3,0,1.1,2.1,0.4,10.0,0.6,1.0,10.0,0,0,1,2,19,3,0,247.8,83.7,247.8,246.9,0
SP101DF,SP10 1DF,SP,100,0,100,0,0,0,0,17.8,30.0,6.6,100.0,7.1,13.4,60.0,0,1.2,2.0,0.7,6.0,1.0,1.0,3.8,0,0,0,3,6,5,0,92.1,41.9,88.1,99.3,0
SP101DG,SP10 1DG,SP,100,0,100,0,0,0,0,14.5,22.3,5.3,100.0,5.3,13.7,100.0,0,1.1,1.6,0.8,6.0,0.8,1.1,6.0,0,0,0,1,8,1,0,72.1,61.1,74.2,53.0,0
SP101DH,SP10 1DH,SP,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP101DL,SP10 1DL,SP,100,0,100,0,0,0,0,9.5,12.8,2.3,54.9,7.0,10.4,54.9,0,1.0,1.5,0.4,10.0,0.9,1.0,10.0,0,0,4,16,15,2,0,174.1,255.7,174.2,172.3,0
SP101DN,SP10 1DN,SP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SP101DP,SP10 1DP,SP,100,0,100,0,0,0,0,20.0,32.6,8.1,80.0,8.1,13.8,54.4,0,1.2,4.5,0.8,20.0,1.2,1.0,15.0,0,0,0,2,5,6,0,101.0,3.8,173.8,28.3,0
SP101DQ,SP10 1DQ,SP,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SP101DR,SP10 1DR,SP,100,0,100,0,0,0,0,16.0,39.9,1.6,200.0,7.4,11.7,84.5,0,1.1,3.4,0.6,12.0,1.0,1.0,7.7,0,1,1,10,18,19,0,133.4,147.7,117.4,161.1,0
SP101DT,SP10 1DT,SP,100,0,100,0,0,0,0,40.0,58.1,7.5,152.0,7.9,12.5,84.1,0,3.0,4.7,0.4,12.0,0.9,2.2,6.6,0,0,0,2,2,7,0,139.6,98.0,213.4,97.5,0
SP101DU,SP10 1DU,SP,17,0,17,0,0,83,83,6.9,6.1,0.6,12.0,5.7,6.1,0,0,0.8,0.8,0.2,1.1,0.8,0.8,0,0,2,4,10,1,0,0,130.0,137.2,130.0,0,0
SP101DX,SP10 1DX,SP,92,0,92,0,0,0,8,6.6,23.9,0.3,79.8,4.6,4.6,67.3,0,0.8,2.4,0.4,10.0,0.7,0.7,10.0,0,1,3,5,0,4,0,60.7,46.0,46.0,106.6,0
SP101DY,SP10 1DY,SP,100,0,100,0,0,0,0,52.5,59.8,10.9,100.0,0,11.0,67.9,0,3.0,4.6,0.8,10.0,0,0.8,5.3,0,0,0,0,2,12,0,203.0,0,402.6,169.7,0
SP101DZ,SP10 1DZ,SP,100,0,100,0,0,0,0,50.0,64.7,7.4,200.0,8.6,10.0,92.0,0,5.0,5.7,0.8,20.0,0.8,1.0,8.0,0,0,0,2,3,10,0,365.9,351.8,299.7,398.9,0
SP101EA,SP10 1EA,SP,100,0,100,0,0,0,0,50.0,72.1,5.4,152.0,5.6,8.5,97.6,0,3.0,5.2,0.8,12.0,1.0,1.0,6.9,0,0,0,2,2,10,0,206.0,455.0,343.5,151.0,0
SP101EB,SP10 1EB,SP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SP101ED,SP10 1ED,SP,100,0,100,0,0,0,0,50.0,84.0,7.9,200.0,8.5,9.0,144.0,0,3.0,5.4,1.1,12.0,1.1,1.1,8.8,0,0,0,3,1,5,0,144.3,104.3,177.8,117.5,0
SP101EE,SP10 1EE,SP,100,0,100,0,0,0,0,50.0,66.5,9.4,152.0,9.4,10.3,89.0,0,3.0,5.8,0.8,12.0,0.8,0.9,9.0,0,0,0,1,1,5,0,345.7,3.5,101.2,512.7,0
SP101EF,SP10 1EF,SP,100,0,100,0,0,0,0,55.0,66.4,4.9,200.0,7.0,7.7,85.9,0,4.0,5.2,0.8,12.0,0.9,0.9,6.8,0,0,1,3,1,15,0,268.5,124.5,195.4,292.8,0
SP101EH,SP10 1EH,SP,100,0,100,0,0,0,0,18.7,39.8,9.7,200.0,9.7,16.0,71.7,0,1.2,2.6,0.8,12.0,0.9,1.0,4.5,0,0,0,1,11,9,0,64.0,13.7,97.9,29.5,0
SP101EL,SP10 1EL,SP,100,0,100,0,0,0,0,18.6,24.9,7.3,55.0,8.8,14.1,43.5,0,1.2,2.9,0.8,10.0,0.9,1.1,8.2,0,0,0,3,9,7,0,145.7,69.0,144.9,147.0,0
SP101EN,SP10 1EN,SP,100,0,100,0,0,0,0,21.2,74.6,4.1,200.0,5.6,12.6,167.5,0,5.0,5.5,0.8,12.0,0.9,1.7,10.3,0,0,1,2,3,4,0,74.1,52.2,57.1,67.5,0
SP101EP,SP10 1EP,SP,100,0,100,0,0,0,0,20.8,29.6,15.6,79.0,0,19.8,79.0,0,1.2,3.6,0.4,16.7,0,0.9,16.7,0,0,0,0,5,1,0,166.2,0,36.1,686.7,0
SP101ER,SP10 1ER,SP,0,0,0,0,0,0,100,15.2,14.9,8.2,17.4,8.2,14.9,0,0,1.1,1.1,0.7,1.2,0.7,1.1,0,0,0,0,1,8,0,0,148.1,34.4,148.1,0,0
SP101ES,SP10 1ES,SP,100,0,100,0,0,0,0,40.0,40.9,8.2,80.0,8.2,14.5,56.8,0,1.3,3.3,1.0,10.0,1.0,1.2,6.5,0,0,0,1,2,5,0,102.0,21.5,24.7,148.4,0
SP101EY,SP10 1EY,SP,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP101EZ,SP10 1EZ,SP,100,0,100,0,0,0,0,14.3,29.7,2.6,100.0,6.3,9.5,63.3,0,1.0,1.9,0.4,6.0,0.8,0.9,4.5,0,0,1,2,2,3,0,183.5,279.7,189.5,173.4,0
SP101HB,SP10 1HB,SP,100,0,100,0,0,0,0,50.0,53.3,7.4,200.0,7.8,13.7,74.5,0,3.0,5.0,0.6,20.0,0.9,1.0,7.5,0,0,0,2,6,15,0,85.1,79.0,98.6,95.7,0
SP101HD,SP10 1HD,SP,100,0,100,0,0,0,0,15.5,22.8,6.9,54.9,7.2,11.1,50.0,0,1.1,3.7,0.8,10.0,1.0,1.0,10.0,0,0,0,4,3,3,0,145.8,107.5,105.8,239.0,0
