postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SR11AE,SR1 1AE,SR,0,0,0,0,0,0,100,20.6,19.0,13.4,22.4,0,19.0,0,0,0.8,0.8,0.8,1.0,0,0.8,0,0,0,0,0,7,0,0,120.9,0,120.9,0,0
SR11BA,SR1 1BA,SR,29,0,29,0,0,0,71,22.1,22.3,19.4,24.5,0,22.3,0,0,1.1,1.1,0.8,1.4,0,1.1,0,0,0,0,0,28,0,0,158.5,0,158.5,0,0
SR11BH,SR1 1BH,SR,83,0,100,0,0,0,17,19.8,19.3,8.2,24.0,8.2,19.3,0,0,1.1,1.1,0.8,1.4,0.9,1.1,0,0,0,0,1,22,0,0,150.0,29.0,150.0,0,0
SR11BL,SR1 1BL,SR,0,0,0,0,0,0,100,20.4,23.5,5.5,80.0,6.8,17.2,80.0,0,0.8,0.8,0.4,1.3,0.5,0.8,0,0,0,0,2,7,1,0,150.2,240.3,150.2,0,0
SR11BU,SR1 1BU,SR,22,0,22,0,0,0,78,21.2,20.0,12.4,24.2,0,20.0,0,0,1.1,1.1,0.4,1.3,0,1.1,0,0,0,0,0,12,0,0,48.6,0,48.6,0,0
SR11DH,SR1 1DH,SR,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SR11EA,SR1 1EA,SR,100,0,100,0,0,0,0,21.2,26.0,4.6,80.0,6.7,19.8,79.9,0,1.1,1.1,0.4,1.4,0.9,1.1,0,0,0,1,2,32,4,0,171.4,129.1,167.7,193.1,0
SR11ED,SR1 1ED,SR,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR11EE,SR1 1EE,SR,89,0,89,0,0,0,11,19.8,22.1,8.1,80.0,8.1,19.5,80.0,0,1.1,1.1,0.4,1.7,0.4,1.1,0,0,0,0,1,21,1,0,193.0,49.3,187.5,307.8,0
SR11EJ,SR1 1EJ,SR,100,0,100,0,0,0,0,21.0,29.3,15.3,80.0,0,19.1,60.0,0,1.1,2.3,0.8,10.0,0,1.0,10.0,0,0,0,0,6,2,0,201.4,0,137.9,526.5,0
