postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SS00AA,SS0 0AA,SS,100,0,100,0,0,0,0,8.4,24.5,0.4,79.7,6.5,6.5,52.4,0,1.1,4.4,0.4,20.0,0.9,0.9,11.1,0,1,1,15,0,11,0,263.0,105.0,105.0,511.8,0
SS00AB,SS0 0AB,SS,100,0,100,0,0,0,0,54.9,68.5,1.0,200.0,4.4,4.4,92.1,0,6.0,6.5,0.5,20.0,0.8,0.8,9.4,0,1,3,3,0,19,0,89.0,78.4,78.4,97.5,0
SS00AD,SS0 0AD,SS,100,0,100,0,0,0,0,51.3,54.5,2.9,200.0,4.6,4.6,82.2,0,5.0,5.1,0.4,15.8,0.8,0.8,7.7,0,0,2,3,0,9,0,155.7,126.3,126.3,172.0,0
SS00AE,SS0 0AE,SS,100,0,100,0,0,0,0,5.6,35.7,1.0,200.0,4.2,4.2,80.6,0,0.8,3.5,0.1,14.0,0.7,0.7,8.3,0,1,6,3,0,7,0,94.3,34.9,34.9,201.8,0
SS00AF,SS0 0AF,SS,100,0,100,0,0,0,0,32.4,44.3,0.7,200.0,5.8,7.4,78.6,0,2.1,4.7,0.4,19.6,0.8,0.9,8.4,0,2,1,8,2,14,0,117.4,124.5,108.4,133.5,0
SS00AG,SS0 0AG,SS,100,0,100,0,0,0,0,40.0,48.4,3.5,152.0,5.3,5.3,67.5,0,3.0,4.6,0.7,12.0,0.9,0.9,6.7,0,0,3,1,0,9,0,77.2,7.7,7.7,108.2,0
SS00AH,SS0 0AH,SS,100,0,100,0,0,0,0,60.0,93.2,2.3,200.0,4.5,8.4,108.6,0,10.0,7.3,0.7,12.0,0.8,1.1,8.5,0,0,1,2,1,22,0,172.3,193.9,152.2,185.7,0
SS00AJ,SS0 0AJ,SS,100,0,100,0,0,0,0,54.9,68.9,3.4,200.0,4.2,4.2,80.6,0,10.0,7.9,0.4,20.0,0.6,0.6,9.4,0,0,2,0,0,11,0,92.5,14.9,14.9,106.6,0
SS00AL,SS0 0AL,SS,100,0,100,0,0,0,0,30.0,30.5,1.9,150.0,5.5,6.0,52.9,0,1.3,3.4,0.6,10.0,0.9,0.9,6.2,0,1,2,7,1,12,0,204.7,194.4,228.8,207.8,0
SS00AN,SS0 0AN,SS,100,0,100,0,0,0,0,64.4,86.3,2.3,200.0,4.6,4.6,110.3,0,10.0,7.5,0.7,12.0,0.8,0.8,9.7,0,0,3,2,0,17,0,254.9,43.4,43.4,317.0,0
