postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
ST101AA,ST10 1AA,ST,100,0,100,0,0,0,0,23.0,23.0,6.7,40.0,6.7,20.9,40.0,0,1.2,3.1,0.8,10.0,1.0,2.2,10.0,0,0,0,1,7,1,0,54.7,23.5,38.3,169.6,0
ST101AB,ST10 1AB,ST,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ST101AE,ST10 1AE,ST,100,0,100,0,0,0,0,21.0,30.9,16.5,54.9,0,18.9,54.9,0,1.2,4.1,1.0,10.0,0,1.1,10.0,0,0,0,0,4,2,0,36.4,0,15.1,79.1,0
ST101AF,ST10 1AF,ST,100,0,100,0,0,0,0,21.7,26.4,0.6,79.8,4.9,17.8,53.9,0,1.1,2.2,0.3,10.0,0.6,1.0,10.0,0,1,0,2,13,5,0,721.0,0.6,70.5,2672.7,0
ST101AH,ST10 1AH,ST,100,0,100,0,0,0,0,39.9,35.0,20.4,40.0,0,20.4,39.9,0,1.2,1.2,1.2,1.2,0,1.2,0,0,0,0,0,1,3,0,38.4,0,34.6,39.7,0
ST101AJ,ST10 1AJ,ST,100,0,100,0,0,0,0,21.9,22.3,4.1,79.8,6.9,19.0,59.9,0,1.1,1.4,0.4,10.0,0.6,1.0,10.0,0,0,1,2,20,2,0,76.9,26.9,58.4,327.0,0
ST101AN,ST10 1AN,ST,100,0,100,0,0,0,0,22.7,33.3,4.7,80.0,6.9,16.9,60.6,0,1.2,4.4,0.4,20.0,0.7,1.1,13.4,0,0,1,2,7,6,0,133.3,170.5,102.8,195.3,0
ST101AP,ST10 1AP,ST,100,0,100,0,0,0,0,32.2,30.3,7.9,49.0,7.9,12.0,48.7,0,4.1,4.3,0.5,8.5,0.5,0.9,7.6,0,0,0,1,1,2,0,239.6,71.0,48.0,549.0,0
ST101AR,ST10 1AR,ST,100,0,100,0,0,0,0,22.5,21.9,8.1,40.0,8.4,17.4,39.9,0,1.1,1.1,0.7,1.4,0.9,1.1,0,0,0,0,3,5,2,0,11.1,5.7,11.8,9.4,0
ST101AT,ST10 1AT,ST,100,0,100,0,0,0,0,17.4,17.7,7.0,40.0,8.3,16.6,40.0,0,1.2,1.9,0.4,5.6,1.1,1.7,5.6,0,0,0,5,14,1,0,82.5,48.2,78.8,152.5,0
ST101AW,ST10 1AW,ST,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ST101AX,ST10 1AX,ST,100,0,100,0,0,0,0,16.9,21.9,14.3,55.0,0,16.4,55.0,0,0.9,0.9,0.8,1.1,0,0.9,0,0,0,0,0,6,1,0,43.1,0,43.1,0,0
ST101AY,ST10 1AY,ST,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ST101BB,ST10 1BB,ST,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ST101BD,ST10 1BD,ST,100,0,100,0,0,0,0,19.4,27.8,17.6,52.2,0,18.7,46.1,0,1.1,2.5,1.0,6.6,0,1.1,6.6,0,0,0,0,4,2,0,171.9,0,58.4,399.0,0
