postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SW100AB,SW10 0AB,SW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SW100AD,SW10 0AD,SW,100,0,100,0,0,0,0,79.8,64.9,20.0,79.9,0,20.0,73.9,0,3.0,3.0,1.0,5.0,0,1.0,5.0,0,0,0,0,1,5,0,146.4,0,80.8,159.5,0
SW100AE,SW10 0AE,SW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SW100AF,SW10 0AF,SW,100,0,100,0,0,0,0,19.8,31.3,14.3,80.0,0,18.5,65.9,0,1.2,2.8,0.7,20.0,0,1.0,12.0,0,0,0,0,27,10,0,207.1,0,208.8,202.0,0
SW100AG,SW10 0AG,SW,100,0,100,0,0,0,0,17.2,31.1,4.5,79.8,6.4,13.6,62.7,0,1.2,4.1,0.3,20.0,0.7,1.0,13.3,0,0,1,2,6,5,0,77.3,30.9,55.3,98.8,0
SW100AH,SW10 0AH,SW,100,0,100,0,0,0,0,18.5,20.5,1.1,54.5,4.1,11.9,54.5,0,1.2,4.7,0.3,19.9,0.6,0.9,19.9,0,1,0,1,2,1,0,28.3,0.0,7.9,109.5,0
SW100AJ,SW10 0AJ,SW,100,0,100,0,0,0,0,36.1,63.2,3.5,200.0,5.8,16.5,104.9,0,3.0,5.2,0.7,12.0,1.0,1.1,8.7,0,0,1,1,15,19,0,110.5,63.2,56.5,169.5,0
SW100AL,SW10 0AL,SW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SW100AN,SW10 0AN,SW,0,100,100,0,0,0,0,54.9,65.1,11.2,200.0,0,16.4,81.4,0,6.0,6.5,1.1,12.0,0,1.1,8.2,0,0,0,0,4,12,0,70.3,0,56.1,79.6,0
SW100AP,SW10 0AP,SW,0,100,100,0,0,0,0,20.0,34.3,1.2,100.0,5.8,15.5,60.4,0,1.3,2.8,0.4,10.0,3.8,1.5,4.7,0,1,0,2,15,13,0,69.8,11.3,57.2,79.3,0
SW100AQ,SW10 0AQ,SW,100,0,100,0,0,0,0,36.8,44.1,23.1,79.8,0,23.4,64.9,0,1.3,1.8,1.2,3.0,0,1.2,3.0,0,0,0,0,2,2,0,42.1,0,42.2,26.9,0
SW100AR,SW10 0AR,SW,0,100,100,0,0,0,0,30.0,42.2,1.2,100.0,4.4,14.9,65.3,0,2.0,4.1,0.3,20.0,0.8,0.9,6.7,0,1,1,2,7,13,0,65.6,55.5,60.5,84.1,0
SW100AS,SW10 0AS,SW,0,100,100,0,0,0,0,30.0,48.0,14.3,152.0,0,18.3,74.0,0,2.0,3.2,0.9,12.0,0,1.1,5.0,0,0,0,0,7,8,0,85.9,0,12.7,115.2,0
SW100AU,SW10 0AU,SW,100,0,100,0,0,0,0,139.9,124.7,19.2,200.0,0,19.2,159.9,0,12.0,8.3,1.0,12.0,0,1.0,12.0,0,0,0,0,1,3,0,171.1,0,173.3,170.4,0
SW100AW,SW10 0AW,SW,0,100,100,0,0,0,0,35.7,45.9,8.1,100.0,8.1,16.0,75.8,0,1.3,4.6,0.9,20.0,1.0,1.1,8.6,0,0,0,1,8,9,0,61.1,1.0,27.6,86.1,0
SW100AX,SW10 0AX,SW,100,0,100,0,0,0,0,34.9,43.2,1.1,100.0,4.9,14.8,64.4,0,2.0,3.8,0.4,10.0,0.8,1.1,6.3,0,1,1,1,9,16,0,54.8,22.8,41.9,70.6,0
SW100AY,SW10 0AY,SW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SW100AZ,SW10 0AZ,SW,100,0,100,0,0,0,0,38.6,47.5,0.2,152.0,0.2,16.6,78.4,0,4.5,5.6,0.4,13.8,0,3.2,7.5,0,1,0,0,7,8,0,86.7,0,110.8,68.6,0
SW100BD,SW10 0BD,SW,0,100,100,0,0,0,0,8.9,8.9,6.7,11.0,8.2,8.9,0,0,1.1,1.1,1.0,1.1,1.1,1.1,0,0,0,0,3,1,0,0,51.6,66.0,51.6,0,0
SW100BG,SW10 0BG,SW,100,0,100,0,0,0,0,20.0,35.1,6.6,100.0,7.4,14.0,71.3,0,1.2,2.6,0.7,17.0,0.9,1.1,7.2,0,0,0,4,8,7,0,141.2,74.4,74.3,229.9,0
SW100BH,SW10 0BH,SW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SW100BJ,SW10 0BJ,SW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SW100BL,SW10 0BL,SW,100,0,100,0,0,0,0,50.0,51.4,8.2,200.0,8.2,15.4,72.5,0,3.0,5.0,0.9,12.0,0.9,1.1,8.5,0,0,0,1,6,12,0,122.0,41.6,133.8,115.1,0
SW100BN,SW10 0BN,SW,100,0,100,0,0,0,0,20.0,39.6,3.4,200.0,5.7,16.9,92.4,0,1.2,2.5,0.8,12.0,0.9,1.0,9.3,0,0,1,1,12,6,0,245.2,101.0,159.3,412.8,0
SW100BP,SW10 0BP,SW,100,0,100,0,0,0,0,50.0,47.8,18.1,100.0,0,20.1,61.6,0,3.0,5.2,0.8,20.0,0,1.1,8.0,0,0,0,0,6,12,0,164.8,0,73.6,235.3,0
SW100BQ,SW10 0BQ,SW,100,0,100,0,0,0,0,79.9,94.7,76.3,152.0,0,0,94.7,0,12.0,12.7,6.0,20.0,0,0,12.7,0,0,0,0,0,6,0,227.1,0,0,227.1,0
SW100BS,SW10 0BS,SW,100,0,100,0,0,0,0,20.0,37.6,9.2,200.0,9.2,17.9,108.3,0,1.2,2.9,0.4,12.0,0.6,1.1,11.0,0,0,0,1,17,5,0,159.6,54.5,114.5,206.8,0
SW100BT,SW10 0BT,SW,100,0,100,0,0,0,0,19.6,27.5,5.3,79.7,6.3,17.7,58.9,0,1.2,2.4,0.3,10.0,0.5,1.0,10.0,0,0,0,2,14,5,0,107.7,66.5,86.9,167.6,0
SW100BU,SW10 0BU,SW,100,0,100,0,0,0,0,22.8,24.4,1.5,50.0,6.3,17.6,45.0,0,1.3,1.8,0.2,10.0,0.4,1.0,4.0,0,1,0,4,13,6,0,210.0,98.7,164.2,358.0,0
SW100BW,SW10 0BW,SW,100,0,100,0,0,0,0,18.8,26.2,4.5,79.9,4.5,15.5,79.9,0,1.0,1.1,0.9,1.3,1.0,1.1,0,0,0,1,0,4,1,0,255.4,1.0,197.8,374.5,0
SW100BX,SW10 0BX,SW,100,0,100,0,0,0,0,22.4,26.0,19.2,40.0,0,21.3,40.0,0,1.2,3.4,1.0,10.0,0,1.1,10.0,0,0,0,0,3,1,0,131.0,0,171.2,10.2,0
SW100BY,SW10 0BY,SW,100,0,100,0,0,0,0,22.1,19.4,1.0,40.0,1.0,16.0,40.0,0,1.2,2.0,0.4,6.4,6.4,2.1,2.0,0,1,0,0,5,1,0,21.7,19.0,23.7,0.0,0
SW100BZ,SW10 0BZ,SW,100,0,100,0,0,0,0,54.9,51.6,16.6,79.7,0,16.6,63.2,0,10.0,7.1,1.2,10.0,0,1.2,10.0,0,0,0,0,1,3,0,139.2,0,131.6,141.8,0
SW100DA,SW10 0DA,SW,23,0,98,0,0,0,77,14.1,14.3,4.8,21.3,8.0,14.3,0,0,1.2,1.1,0.4,1.3,0.9,1.1,0,0,0,1,4,29,0,0,49.6,72.5,49.6,0,0
SW100DB,SW10 0DB,SW,100,0,100,0,0,0,0,17.5,23.7,6.4,79.8,6.4,16.7,79.8,0,1.2,1.2,1.0,1.2,1.0,1.2,0,0,0,0,1,7,1,0,55.2,58.8,50.7,91.2,0
SW100DE,SW10 0DE,SW,100,0,100,0,0,0,0,31.0,38.5,8.1,100.0,8.1,16.1,60.9,0,1.2,4.6,1.0,10.0,1.0,1.1,9.0,0,0,0,1,4,5,0,145.1,17.5,80.9,209.3,0
SW100DF,SW10 0DF,SW,92,0,100,0,0,0,8,20.1,18.7,10.4,20.9,0,18.7,0,0,1.1,1.1,0.8,1.2,0,1.1,0,0,0,0,0,7,0,0,237.8,0,237.8,0,0
SW100DG,SW10 0DG,SW,64,0,100,0,0,7,36,16.7,26.3,0.6,79.9,5.4,12.4,58.9,0,1.2,4.0,0.3,20.0,0.7,1.0,12.3,0,1,4,7,21,14,0,64.5,31.9,37.7,121.8,0
SW100DJ,SW10 0DJ,SW,70,0,100,0,0,0,30,19.3,18.4,4.1,30.0,4.1,16.5,30.0,0,1.2,1.2,0.6,2.0,0.6,1.0,2.0,0,0,1,0,5,1,0,90.5,9.0,103.3,26.6,0
SW100DL,SW10 0DL,SW,0,0,100,0,0,0,100,20.2,18.6,8.1,22.7,8.1,18.6,0,0,1.2,1.1,0.8,1.3,1.1,1.1,0,0,0,0,1,9,0,0,111.7,1.7,111.7,0,0
SW100DN,SW10 0DN,SW,100,0,100,0,0,0,0,22.2,33.5,1.4,75.2,1.4,18.2,56.3,0,1.2,1.7,0.3,3.0,0.3,1.0,3.0,0,1,0,0,5,4,0,84.4,95.0,94.2,69.7,0
SW100DQ,SW10 0DQ,SW,100,0,100,0,0,0,0,23.6,39.4,12.4,80.0,0,18.7,62.9,0,5.6,6.8,0.6,20.0,0,1.0,12.5,0,0,0,0,8,7,0,201.4,0,180.9,213.1,0
SW100DR,SW10 0DR,SW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SW100DS,SW10 0DS,SW,50,0,100,0,0,0,50,17.4,15.6,8.1,19.6,8.1,15.6,0,0,1.0,0.9,0.4,1.0,0.4,0.9,0,0,0,0,1,3,0,0,18.3,9.3,18.3,0,0
SW100DT,SW10 0DT,SW,50,0,100,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SW100DW,SW10 0DW,SW,100,0,100,0,0,0,0,21.8,31.4,7.1,100.0,7.6,19.0,66.6,0,1.2,2.3,0.1,10.0,0.6,1.0,6.4,0,0,0,2,15,6,0,77.1,34.6,88.7,46.2,0
SW100DX,SW10 0DX,SW,100,0,100,0,0,0,0,18.3,35.7,3.7,152.0,6.7,14.0,64.0,0,1.2,2.3,0.6,12.0,0.8,1.0,4.1,0,0,1,2,14,13,0,170.7,233.8,165.4,185.4,0
SW100DY,SW10 0DY,SW,100,0,100,0,0,0,0,18.1,43.3,8.2,200.0,8.2,16.1,84.0,0,1.2,2.8,0.8,12.0,1.0,1.0,5.4,0,0,0,1,11,8,0,142.3,17.5,98.0,208.8,0
SW100DZ,SW10 0DZ,SW,100,0,100,0,0,0,0,14.4,33.1,2.0,200.0,4.9,11.5,76.2,0,1.0,2.3,0.7,12.0,0.8,0.9,4.9,0,0,2,3,15,10,0,201.1,168.2,169.0,265.4,0
