postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TA100AA,TA10 0AA,TA,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100AB,TA10 0AB,TA,0,0,100,0,0,33,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100AD,TA10 0AD,TA,93,0,100,0,0,0,7,5.2,17.7,1.1,80.0,2.8,9.0,52.1,0,1.1,4.2,0.3,20.0,0.7,2.0,12.8,0,2,5,1,4,3,0,74.9,40.5,50.4,172.7,0
TA100AE,TA10 0AE,TA,0,0,100,0,0,0,100,1.7,1.8,1.0,2.5,1.8,1.8,0,0,0.7,0.6,0.3,0.9,0.6,0.6,0,0,3,1,0,0,0,0,36.3,36.3,36.3,0,0
TA100AF,TA10 0AF,TA,100,0,100,0,0,0,0,32.4,23.7,2.2,57.0,2.9,2.9,42.5,0,0.8,5.2,0.4,20.0,0.6,0.6,12.2,0,0,9,0,0,10,0,106.1,54.5,54.5,152.5,0
TA100AH,TA10 0AH,TA,0,0,100,50,50,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100AJ,TA10 0AJ,TA,0,0,100,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100AL,TA10 0AL,TA,0,0,100,0,33,100,100,1.4,1.4,0.8,1.9,1.4,1.4,0,0,0.6,0.7,0.5,0.8,0.7,0.7,0,0,4,0,0,0,0,0,65.0,65.0,65.0,0,0
TA100AN,TA10 0AN,TA,0,0,100,0,0,100,100,1.4,1.1,0.5,1.5,1.1,1.1,0,0,0.4,0.5,0.3,0.7,0.5,0.5,0,0,5,0,0,0,0,0,28.2,33.8,33.8,0,0
TA100AP,TA10 0AP,TA,100,0,100,0,0,0,0,49.2,36.9,2.3,58.7,3.0,3.0,51.0,0,10.0,9.9,0.4,19.2,0.4,0.4,11.8,0,0,5,0,0,12,0,41.2,8.2,8.2,55.0,0
TA100AR,TA10 0AR,TA,100,0,100,0,0,0,0,40.0,31.5,1.9,60.2,3.1,3.1,50.5,0,10.0,7.6,0.4,20.0,0.4,0.4,10.2,0,1,5,0,0,9,0,198.5,7.8,7.8,335.7,0
TA100AS,TA10 0AS,TA,100,0,100,0,0,0,0,44.4,45.4,33.5,54.9,0,0,45.4,0,10.0,12.0,10.0,20.0,0,0,12.0,0,0,0,0,0,6,0,143.6,0,0,143.6,0
TA100AT,TA10 0AT,TA,100,0,100,0,0,0,0,59.0,56.2,2.8,80.0,2.8,2.8,62.9,0,10.0,11.1,0.4,20.0,0.4,0.4,13.8,0,0,1,0,0,8,0,98.2,0,0,108.8,0
TA100AU,TA10 0AU,TA,95,0,100,0,0,0,5,40.0,35.3,1.9,80.0,3.2,5.6,53.5,0,10.0,7.2,0.4,20.0,0.4,0.4,11.7,0,1,5,1,1,13,0,113.5,17.0,19.4,164.1,0
TA100AW,TA10 0AW,TA,100,0,100,0,0,0,0,39.9,44.2,28.2,63.0,0,28.2,48.2,0,9.9,12.1,8.4,20.0,0,9.8,12.8,0,0,0,0,1,4,0,60.1,0,15.3,71.3,0
TA100AX,TA10 0AX,TA,0,0,0,0,0,100,100,6.2,5.0,1.5,7.1,5.0,5.0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,1,1,3,0,0,0,23.9,23.9,23.9,0,0
TA100AY,TA10 0AY,TA,100,0,100,0,0,0,0,47.5,38.1,2.7,54.9,2.7,2.7,50.0,0,10.0,7.6,0.4,10.0,0.4,0.4,10.0,0,0,1,0,0,3,0,111.9,91.9,91.9,118.6,0
TA100AZ,TA10 0AZ,TA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100BA,TA10 0BA,TA,100,0,100,0,0,0,0,54.9,43.9,3.6,54.9,3.6,3.6,51.9,0,10.0,8.1,0.4,10.0,0.4,0.4,10.0,0,0,1,0,0,5,0,41.4,6.2,6.2,48.4,0
TA100BB,TA10 0BB,TA,100,0,100,0,0,0,0,39.9,29.5,1.2,54.9,2.0,2.0,45.9,0,5.8,5.4,0.4,10.0,0.4,0.4,7.9,0,2,1,0,0,5,0,135.6,18.8,18.8,205.6,0
TA100BD,TA10 0BD,TA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100BE,TA10 0BE,TA,100,0,100,0,0,0,0,47.5,40.8,2.8,65.5,2.8,2.8,53.5,0,10.0,13.3,10.0,20.0,0,0,13.3,0,0,1,0,0,3,0,74.9,27.5,27.5,90.7,0
TA100BG,TA10 0BG,TA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100BH,TA10 0BH,TA,88,0,100,0,0,0,12,9.6,22.2,2.3,80.0,6.1,8.2,43.8,0,3.6,4.6,0.4,10.0,0.4,1.8,9.4,0,0,2,12,3,11,0,164.2,38.0,83.9,280.9,0
TA100BJ,TA10 0BJ,TA,100,0,100,0,0,0,0,7.7,12.8,0.9,39.9,6.0,6.0,39.9,0,0.4,0.4,0.3,0.4,0.4,0.4,0,0,1,0,3,0,1,0,27.0,31.4,31.4,9.8,0
TA100BL,TA10 0BL,TA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100BN,TA10 0BN,TA,96,0,100,0,0,0,4,27.4,38.6,6.1,80.0,7.7,10.1,70.1,0,10.0,11.7,0.4,20.0,0.4,5.1,15.5,0,0,0,9,2,10,0,76.2,23.7,36.8,119.5,0
TA100BP,TA10 0BP,TA,0,0,100,11,11,33,100,1.9,3.3,0.3,9.1,3.3,3.3,0,0,0.8,0.8,0.3,1.2,0.8,0.8,0,0,5,2,2,0,0,0,115.7,115.7,115.7,0,0
TA100BQ,TA10 0BQ,TA,50,0,100,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TA100BW,TA10 0BW,TA,100,0,100,0,0,0,0,39.9,35.6,7.1,79.9,7.6,11.6,53.6,0,10.0,10.1,0.4,20.0,0.4,5.2,15.0,0,0,0,2,1,4,0,174.7,17.0,99.0,231.4,0
