postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TD106AB,TD10 6AB,TD,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TD106UA,TD10 6UA,TD,0,0,0,0,0,0,100,19.0,18.1,12.9,22.4,0,18.1,0,0,1.2,1.2,1.0,1.3,0,1.2,0,0,0,0,0,8,0,0,56.4,0,56.4,0,0
TD106UB,TD10 6UB,TD,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TD106UD,TD10 6UD,TD,0,0,0,0,0,0,100,14.3,14.2,7.4,21.0,8.1,14.2,0,0,1.2,1.2,0.9,1.3,1.2,1.2,0,0,0,0,4,5,0,0,82.1,31.6,82.1,0,0
TD106UF,TD10 6UF,TD,0,0,0,0,0,0,100,18.0,16.9,8.1,21.5,8.8,16.9,0,0,1.2,1.2,1.0,1.3,1.1,1.2,0,0,0,0,2,14,0,0,89.4,81.1,89.4,0,0
TD106UG,TD10 6UG,TD,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TD106UH,TD10 6UH,TD,0,0,0,0,19,81,100,5.6,6.2,4.3,10.3,5.5,6.2,0,0,0.9,0.9,0.5,1.2,0.9,0.9,0,0,0,2,4,1,0,0,80.5,89.9,80.5,0,0
TD106UJ,TD10 6UJ,TD,0,0,75,67,100,100,100,1.7,1.6,0.3,4.0,1.6,1.6,0,0,0.4,0.4,0.3,0.4,0.4,0.4,0,0,7,3,0,0,0,0,43.9,42.8,42.8,0,0
TD106UL,TD10 6UL,TD,21,0,92,8,50,71,79,5.7,5.1,1.2,8.1,5.1,5.1,0,0,0.4,0.4,0.2,0.4,0.4,0.4,0,0,3,5,11,0,0,0,67.4,67.3,67.3,0,0
TD106UN,TD10 6UN,TD,0,0,16,47,84,100,100,3.1,3.6,1.0,7.6,3.6,3.6,0,0,0.4,0.6,0.1,1.1,0.6,0.6,0,0,1,12,3,0,0,0,39.2,39.2,39.2,0,0
TD106UP,TD10 6UP,TD,0,0,7,7,60,73,100,5.4,7.4,2.9,16.1,5.1,7.4,0,0,0.9,0.8,0.4,1.2,0.8,0.8,0,0,0,4,5,4,0,0,34.0,34.8,34.0,0,0
TD106UR,TD10 6UR,TD,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TD106UW,TD10 6UW,TD,0,0,0,10,45,87,100,5.0,5.3,0.4,14.1,4.6,5.3,0,0,0.9,0.8,0.2,1.2,0.7,0.8,0,0,4,11,15,3,0,0,64.9,67.0,63.3,0,0
TD106XA,TD10 6XA,TD,0,0,0,0,0,0,100,20.9,17.6,5.9,23.0,7.6,17.6,0,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,0,4,17,0,0,53.9,50.6,53.9,0,0
TD106XB,TD10 6XB,TD,0,0,0,0,0,0,100,18.2,17.2,8.1,22.1,8.1,17.2,0,0,1.2,1.1,0.7,1.2,0,1.1,0,0,0,0,1,14,0,0,112.5,8.1,112.5,0,0
TD106XD,TD10 6XD,TD,0,0,0,0,0,0,100,15.9,16.2,13.8,20.3,0,16.2,0,0,1.2,1.0,0.4,1.2,0,1.0,0,0,0,0,0,8,0,0,87.2,0,87.2,0,0
TD106XE,TD10 6XE,TD,0,0,0,0,0,0,100,17.8,16.8,5.1,23.8,7.1,16.8,0,0,1.2,1.1,0.4,1.3,0.8,1.1,0,0,0,0,3,24,0,0,67.6,29.9,67.6,0,0
