postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TF107AA,TF10 7AA,TF,100,0,100,0,0,0,0,19.0,34.7,15.6,80.0,0,16.9,58.3,0,1.3,2.9,0.8,10.0,0,1.1,10.0,0,0,0,0,4,3,0,97.5,0,160.2,13.8,0
TF107AB,TF10 7AB,TF,100,0,100,0,0,0,0,22.1,31.5,8.1,120.0,8.1,18.3,60.7,0,1.2,1.9,0.4,12.0,0.9,1.1,9.6,0,0,0,4,16,9,0,99.0,9.0,105.4,91.0,0
TF107AD,TF10 7AD,TF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TF107AF,TF10 7AF,TF,100,0,100,0,0,0,0,36.9,49.6,20.6,100.0,0,22.6,76.6,0,1.2,2.4,1.0,6.0,0,1.1,4.5,0,0,0,0,3,3,0,58.7,0,36.1,73.8,0
TF107AG,TF10 7AG,TF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TF107AJ,TF10 7AJ,TF,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TF107AN,TF10 7AN,TF,100,0,100,0,0,0,0,22.6,29.5,8.1,79.8,8.1,19.2,60.3,0,1.1,2.7,0.9,20.0,1.0,1.1,11.5,0,0,0,2,10,4,0,77.1,8.1,26.6,222.4,0
TF107AP,TF10 7AP,TF,100,0,100,0,0,0,0,21.5,29.3,0.3,80.0,4.3,11.8,55.6,0,1.2,3.6,0.9,20.0,1.1,1.1,8.7,0,1,1,2,5,6,0,67.4,8.6,27.3,90.5,0
TF107AQ,TF10 7AQ,TF,100,0,100,0,0,0,0,22.0,32.5,7.1,79.9,7.6,17.1,66.4,0,1.0,1.0,0.4,1.3,0.7,1.0,0,0,0,0,2,9,5,0,68.4,35.0,47.5,114.6,0
TF107AR,TF10 7AR,TF,100,0,100,0,0,0,0,21.2,25.8,3.7,50.0,3.7,17.0,43.3,0,1.2,1.3,0.3,3.0,0.3,1.0,3.0,0,0,1,0,5,3,0,29.3,0,36.2,17.9,0
TF107AS,TF10 7AS,TF,100,0,100,0,0,0,0,55.0,51.7,16.9,79.8,0,16.9,63.2,0,10.0,6.9,0.8,10.0,0,0.8,10.0,0,0,0,0,1,3,0,90.9,0,305.8,19.2,0
TF107AT,TF10 7AT,TF,100,0,100,0,0,0,0,23.3,37.5,0.3,80.0,4.2,18.9,66.5,0,1.2,3.8,0.4,20.0,1.1,1.1,10.2,0,1,0,1,12,9,0,38.7,23.1,21.6,59.4,0
TF107AU,TF10 7AU,TF,100,0,100,0,0,0,0,22.5,27.6,8.1,60.0,8.1,20.0,49.3,0,1.2,1.8,0.4,10.0,1.0,1.1,4.8,0,0,0,2,18,7,0,87.2,3.0,69.8,161.3,0
TF107AW,TF10 7AW,TF,100,0,100,0,0,0,0,21.1,24.0,8.1,55.0,8.1,17.4,47.4,0,1.2,2.2,0.4,10.0,0.7,1.1,10.0,0,0,0,2,5,2,0,20.3,16.1,17.3,27.8,0
TF107AX,TF10 7AX,TF,100,0,100,0,0,0,0,21.5,23.7,4.5,50.0,4.5,17.1,50.0,0,1.1,1.6,1.0,3.0,1.0,1.1,3.0,0,0,1,0,3,1,0,22.3,20.7,25.9,11.3,0
TF107AY,TF10 7AY,TF,100,0,100,0,0,0,0,45.0,46.5,8.1,100.0,8.1,19.1,62.1,0,2.1,3.0,1.0,10.0,1.0,1.2,4.9,0,0,0,1,7,14,0,108.2,30.1,25.7,149.5,0
TF107BA,TF10 7BA,TF,100,0,100,0,0,0,0,22.9,38.9,7.5,100.0,7.5,18.5,89.9,0,1.1,2.0,0.9,6.0,1.0,1.1,6.0,0,0,0,1,4,2,0,46.9,0.3,11.2,46.7,0
TF107BB,TF10 7BB,TF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TF107BE,TF10 7BE,TF,100,0,100,0,0,0,0,21.7,46.8,8.1,200.0,8.1,17.5,119.9,0,1.0,2.8,0.8,10.0,0.8,1.0,10.0,0,0,0,1,4,2,0,67.3,274.0,75.8,78.3,0
TF107BF,TF10 7BF,TF,100,0,100,0,0,0,0,19.4,37.6,16.2,80.0,0,17.2,63.1,0,1.2,5.7,0.8,20.0,0,1.1,13.3,0,0,0,0,5,4,0,192.0,0,73.6,310.5,0
TF107BG,TF10 7BG,TF,100,0,100,0,0,0,0,44.9,71.3,18.5,200.0,0,19.1,97.5,0,3.0,4.6,1.0,12.0,0,1.1,7.0,0,0,0,0,2,4,0,151.5,0,86.6,184.0,0
TF107BH,TF10 7BH,TF,100,0,100,0,0,0,0,79.8,63.2,15.8,100.0,0,17.7,82.7,0,3.6,3.5,0.8,6.0,0,1.0,6.0,0,0,0,0,3,7,0,271.6,0,284.2,157.8,0
TF107BL,TF10 7BL,TF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TF107BN,TF10 7BN,TF,100,0,100,0,0,0,0,50.0,53.6,14.7,152.0,0,20.5,65.2,0,3.0,4.4,0.8,12.6,0,1.2,5.6,0,0,0,0,7,20,0,89.6,0,73.1,79.5,0
TF107BP,TF10 7BP,TF,45,0,45,0,0,0,55,19.2,32.9,8.1,200.0,8.5,17.6,75.0,0,1.2,1.9,0.4,12.0,0.7,1.0,4.5,0,0,0,2,20,8,0,76.3,23.5,67.7,109.4,0
TF107BQ,TF10 7BQ,TF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TF107BS,TF10 7BS,TF,100,0,100,0,0,0,0,21.6,25.2,12.4,55.0,0,20.3,45.0,0,1.3,3.4,0.4,15.5,0,2.3,10.0,0,0,0,0,12,3,0,273.6,0,275.1,251.1,0
TF107BT,TF10 7BT,TF,100,0,100,0,0,0,0,19.0,19.7,17.8,22.9,0,19.7,0,0,1.2,1.1,0.8,1.3,0,1.1,0,0,0,0,0,6,0,0,138.0,0,156.5,0,0
TF107BU,TF10 7BU,TF,0,0,0,0,0,0,0,21.9,29.1,16.7,55.0,0,20.5,55.0,0,1.2,3.4,1.1,10.0,0,1.2,10.0,0,0,0,0,6,2,0,65.6,0,78.8,25.9,0
TF107BW,TF10 7BW,TF,100,0,100,0,0,0,0,31.7,35.5,8.1,80.0,8.1,17.7,53.2,0,1.2,1.2,1.1,1.2,1.1,1.2,0,0,0,0,1,2,3,0,71.6,7.4,36.5,106.7,0
TF107BX,TF10 7BX,TF,26,0,26,0,0,0,74,11.8,17.1,0.6,40.0,7.4,12.1,37.8,0,1.0,1.0,0.4,2.0,0.8,1.0,0,0,1,1,11,8,5,0,33.6,16.0,31.2,43.3,0
TF107BY,TF10 7BY,TF,100,0,100,0,0,0,0,50.0,56.8,23.6,100.0,0,23.8,70.0,0,3.0,3.4,1.3,6.0,0,1.3,4.2,0,0,0,0,2,5,0,102.3,0,283.7,29.7,0
TF107BZ,TF10 7BZ,TF,100,0,100,0,0,0,0,30.0,39.0,22.0,60.0,0,22.8,51.2,0,2.5,3.4,1.2,10.0,0,1.2,4.5,0,0,0,0,3,4,0,78.8,0,27.4,94.7,0
TF107DA,TF10 7DA,TF,100,0,100,0,0,0,0,23.6,29.0,11.3,60.0,0,19.7,47.5,0,1.2,1.6,0.4,3.0,0,1.0,2.8,0,0,0,0,8,4,0,90.1,0,122.5,25.3,0
TF107DB,TF10 7DB,TF,91,0,91,0,0,0,9,23.2,47.4,14.3,152.0,0,21.2,117.3,0,1.2,3.2,0.8,12.0,0,1.1,8.0,0,0,0,0,8,3,0,164.8,0,172.0,145.7,0
TF107DD,TF10 7DD,TF,100,0,100,0,0,0,0,50.0,50.6,11.7,100.0,0,20.4,75.8,0,3.0,3.6,0.8,10.0,0,1.1,5.7,0,0,0,0,5,6,0,110.9,0,91.9,126.7,0
TF107DE,TF10 7DE,TF,100,0,100,0,0,0,0,22.3,37.2,17.7,100.0,0,21.3,71.7,0,1.2,2.1,0.8,6.0,0,1.2,4.6,0,0,0,0,13,6,0,158.6,0,161.5,118.6,0
TF107DF,TF10 7DF,TF,100,0,100,0,0,0,0,50.0,67.1,18.5,200.0,0,21.4,88.6,0,3.0,4.3,0.8,12.0,0,1.1,5.8,0,0,0,0,8,17,0,114.6,0,91.1,126.3,0
TF107DG,TF10 7DG,TF,100,0,100,0,0,0,0,50.0,71.1,11.9,200.0,0,19.6,95.3,0,4.5,6.0,0.8,12.0,0,1.1,8.1,0,0,0,0,8,17,0,148.8,0,120.9,175.4,0
TF107DH,TF10 7DH,TF,100,0,100,0,0,0,0,26.5,41.7,19.2,100.0,0,21.0,62.5,0,1.7,4.1,0.8,10.0,0,1.1,7.1,0,0,0,0,8,8,0,113.1,0,125.6,112.6,0
TF107DJ,TF10 7DJ,TF,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TF107DL,TF10 7DL,TF,97,0,97,0,0,0,3,24.0,31.9,8.2,152.0,8.2,20.8,65.3,0,1.2,1.9,0.8,12.0,1.0,1.1,4.8,0,0,0,1,17,6,0,193.5,3.1,156.4,385.6,0
TF107DN,TF10 7DN,TF,92,0,92,0,0,0,8,100.0,98.5,50.0,200.0,0,0,98.5,0,6.0,7.2,3.0,12.0,0,0,7.2,0,0,0,0,0,9,0,108.6,0,0,120.6,0
TF107DP,TF10 7DP,TF,100,0,100,0,0,0,0,50.0,58.6,17.7,200.0,0,20.3,81.0,0,3.0,4.0,0.8,12.0,0,1.1,5.8,0,0,0,0,7,12,0,199.8,0,313.0,133.7,0
TF107DQ,TF10 7DQ,TF,100,0,100,0,0,0,0,40.0,46.7,17.8,200.0,0,21.1,69.4,0,3.0,4.4,0.8,12.0,0,1.2,7.3,0,0,0,0,8,9,0,106.2,0,49.3,156.7,0
