postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TN103AB,TN10 3AB,TN,100,0,100,0,0,0,0,39.9,46.8,6.6,152.0,7.7,13.6,74.5,0,1.2,3.4,0.5,12.0,1.0,1.0,8.2,0,0,0,3,7,12,0,86.1,13.4,72.2,97.7,0
TN103AD,TN10 3AD,TN,100,0,100,0,0,0,0,40.0,46.5,5.9,100.0,5.9,5.9,60.0,0,2.5,2.9,0.7,6.0,0.7,0.7,3.7,0,0,0,1,0,3,0,166.7,249.0,249.0,139.3,0
TN103AE,TN10 3AE,TN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TN103AJ,TN10 3AJ,TN,100,0,100,0,0,0,0,15.3,27.8,6.4,200.0,8.3,13.4,64.0,0,1.1,3.2,0.7,12.0,0.9,1.7,7.6,0,0,0,7,13,8,0,128.7,109.3,88.1,241.5,0
TN103AL,TN10 3AL,TN,100,0,100,0,0,0,0,11.9,13.7,2.6,26.7,7.3,13.7,0,0,1.0,2.4,0.6,7.1,0.8,2.4,0,0,0,1,3,8,0,0,78.4,147.2,78.4,0,0
TN103AN,TN10 3AN,TN,100,0,100,0,0,0,0,39.9,45.7,7.7,200.0,8.8,11.6,70.1,0,4.6,5.9,0.9,16.2,1.0,2.0,9.8,0,0,0,4,1,7,0,78.7,50.8,73.2,82.7,0
TN103AP,TN10 3AP,TN,100,0,100,0,0,0,0,10.4,30.6,2.5,152.0,6.6,8.3,64.0,0,1.1,3.3,0.3,12.0,0.8,0.9,7.7,0,0,1,10,4,10,0,112.0,69.5,79.1,177.8,0
TN103AQ,TN10 3AQ,TN,100,0,100,0,0,0,0,35.0,36.0,3.1,79.9,5.0,5.0,56.6,0,5.5,8.0,0.9,20.0,1.0,1.0,15.0,0,0,1,1,0,3,0,99.0,6.3,6.3,160.7,0
TN103AR,TN10 3AR,TN,100,0,100,0,0,0,0,49.9,62.9,7.6,200.0,8.1,8.5,93.0,0,3.0,6.7,0.6,20.0,0.9,0.9,10.3,0,0,0,4,1,9,0,107.9,60.6,49.9,126.7,0
TN103AS,TN10 3AS,TN,100,0,100,0,0,0,0,40.0,39.5,3.6,150.0,7.6,9.1,67.1,0,1.1,3.8,0.8,10.0,0.9,0.9,7.0,0,0,1,7,2,11,0,35.7,25.3,20.5,49.8,0
