postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TQ109AA,TQ10 9AA,TQ,86,0,100,0,14,14,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TQ109AB,TQ10 9AB,TQ,97,0,100,3,3,3,3,20.6,17.2,0.3,24.0,5.5,17.2,0,0,1.1,1.0,0.4,1.3,0.7,1.0,0,0,1,1,4,20,0,0,103.2,13.6,103.2,0,0
TQ109AD,TQ10 9AD,TQ,100,0,100,0,0,0,0,22.0,21.9,20.7,23.1,0,21.9,0,0,1.1,1.1,1.0,1.3,0,1.1,0,0,0,0,0,4,0,0,62.6,0,62.6,0,0
TQ109AE,TQ10 9AE,TQ,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TQ109AF,TQ10 9AF,TQ,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TQ109AG,TQ10 9AG,TQ,100,0,100,0,0,0,0,21.6,28.4,7.8,78.9,7.8,19.1,59.3,0,1.1,3.8,0.4,20.0,0.4,1.1,12.9,0,0,0,1,9,3,0,76.8,86.2,65.1,115.8,0
TQ109AH,TQ10 9AH,TQ,100,0,100,0,0,0,0,20.1,17.3,8.2,21.0,8.2,17.3,0,0,1.0,1.1,1.0,1.2,1.0,1.1,0,0,0,0,1,3,0,0,34.1,58.6,34.1,0,0
TQ109AJ,TQ10 9AJ,TQ,100,0,100,0,0,0,0,21.5,29.3,18.3,56.1,0,20.4,56.1,0,1.1,5.5,0.9,19.0,0,1.0,19.0,0,0,0,0,3,1,0,73.4,0,61.3,156.1,0
TQ109AL,TQ10 9AL,TQ,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TQ109AN,TQ10 9AN,TQ,100,0,100,0,0,0,0,20.3,28.7,19.2,54.9,0,19.9,54.9,0,1.1,1.0,0.8,1.1,0,1.0,0,0,0,0,0,3,1,0,63.7,0,62.2,68.2,0
