postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TR108AA,TR10 8AA,TR,0,75,75,0,0,0,25,20.1,19.6,13.6,24.4,0,19.6,0,0,1.1,1.0,0.8,1.3,0,1.0,0,0,0,0,0,4,0,0,39.2,0,34.4,0,0
TR108AB,TR10 8AB,TR,0,100,100,0,0,0,0,11.4,12.6,5.4,22.2,7.8,12.6,0,0,1.0,1.0,0.7,1.2,0.9,1.0,0,0,0,0,5,5,0,0,56.0,5.1,56.0,0,0
TR108AD,TR10 8AD,TR,0,40,40,0,0,0,60,19.0,16.5,8.1,20.7,8.1,16.5,0,0,1.0,0.9,0.4,1.2,0.4,0.9,0,0,0,0,1,4,0,0,21.2,0.1,21.2,0,0
TR108AE,TR10 8AE,TR,0,93,93,0,0,0,7,22.4,21.2,12.3,24.4,0,21.2,0,0,1.2,1.1,0.9,1.3,0,1.1,0,0,0,0,0,13,0,0,64.2,0,64.2,0,0
TR108AF,TR10 8AF,TR,0,50,50,0,0,0,50,21.9,21.6,20.4,22.3,0,21.6,0,0,1.2,1.2,1.1,1.3,0,1.2,0,0,0,0,0,4,0,0,10.1,0,10.1,0,0
TR108AG,TR10 8AG,TR,0,77,77,0,0,0,23,22.6,21.2,4.8,24.4,4.8,21.2,0,0,1.1,1.1,0.4,1.3,0.4,1.1,0,0,0,1,0,12,0,0,95.7,7.6,95.7,0,0
TR108AH,TR10 8AH,TR,0,0,0,0,0,0,100,8.1,9.9,6.7,24.1,7.8,9.9,0,0,0.9,0.8,0.4,1.3,0.7,0.8,0,0,0,0,7,1,0,0,1.3,1.5,1.3,0,0
TR108AJ,TR10 8AJ,TR,0,100,100,0,0,0,0,20.0,15.2,3.8,21.3,6.8,15.2,0,0,1.2,0.9,0.4,1.2,0.5,0.9,0,0,0,1,1,3,0,0,43.4,9.4,43.4,0,0
TR108AL,TR10 8AL,TR,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR108AN,TR10 8AN,TR,0,100,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TR108AQ,TR10 8AQ,TR,0,100,100,0,0,0,0,17.8,15.8,7.1,23.3,7.2,15.8,0,0,1.0,0.9,0.3,1.3,0.5,0.9,0,0,0,0,2,4,0,0,116.1,14.9,116.1,0,0
TR108AR,TR10 8AR,TR,0,100,100,0,0,0,0,21.0,20.1,12.3,24.4,0,20.1,0,0,1.1,1.0,0.4,1.3,0,1.0,0,0,0,0,0,11,0,0,18.2,0,18.2,0,0
TR108AT,TR10 8AT,TR,0,45,45,0,0,0,55,20.7,19.2,12.1,24.3,0,19.2,0,0,1.1,1.0,0.5,1.3,0,1.0,0,0,0,0,0,7,0,0,28.9,0,28.9,0,0
TR108AU,TR10 8AU,TR,0,100,100,0,0,0,0,9.3,12.4,8.2,21.4,8.6,12.4,0,0,1.0,1.0,0.8,1.2,1.0,1.0,0,0,0,0,3,2,0,0,51.7,36.3,51.7,0,0
TR108AW,TR10 8AW,TR,0,100,100,0,0,0,0,19.0,19.0,15.3,21.3,0,19.0,0,0,1.1,1.1,1.0,1.3,0,1.1,0,0,0,0,0,5,0,0,32.9,0,32.9,0,0
TR108AY,TR10 8AY,TR,0,100,100,0,0,0,0,18.1,16.4,5.0,24.4,5.0,16.4,0,0,1.1,1.1,0.9,1.3,0.9,1.1,0,0,0,0,1,3,0,0,79.0,73.8,79.0,0,0
TR108BA,TR10 8BA,TR,0,100,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TR108BE,TR10 8BE,TR,0,100,100,0,0,0,0,17.2,16.5,4.5,22.2,7.1,16.5,0,0,1.1,1.1,0.8,1.3,1.0,1.1,0,0,0,1,2,18,0,0,25.5,19.7,25.5,0,0
TR108BG,TR10 8BG,TR,0,47,47,0,0,0,53,17.1,15.6,8.2,20.7,8.5,15.6,0,0,1.1,1.1,0.8,1.3,0.9,1.1,0,0,0,0,3,20,0,0,98.5,39.3,98.5,0,0
TR108BH,TR10 8BH,TR,0,50,50,0,0,0,50,14.3,13.5,0.3,21.0,6.0,13.5,0,0,1.0,1.0,0.2,1.6,0.6,1.0,0,0,1,2,8,26,0,0,115.4,43.0,115.4,0,0
TR108BJ,TR10 8BJ,TR,0,100,100,0,0,0,0,19.2,15.8,2.6,24.0,6.1,15.8,0,0,1.0,1.0,0.6,1.3,0.9,1.0,0,0,0,1,3,9,0,0,78.4,49.8,78.4,0,0
