postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TS101AB,TS10 1AB,TS,100,0,100,0,0,0,0,54.9,67.2,2.3,200.0,2.3,15.9,97.9,0,5.0,5.0,0.9,12.0,0,1.0,7.7,0,0,1,0,2,5,0,99.0,0,52.7,117.5,0
TS101AE,TS10 1AE,TS,100,0,100,0,0,0,0,23.9,29.2,21.0,55.0,0,22.7,55.0,0,1.3,3.0,1.2,10.0,0,1.3,10.0,0,0,0,0,4,1,0,40.1,0,42.3,33.5,0
TS101AG,TS10 1AG,TS,100,0,100,0,0,0,0,39.9,43.0,22.2,79.7,0,23.1,55.4,0,1.2,2.9,0.4,10.0,0,1.0,5.2,0,0,0,0,5,8,0,65.7,0,67.7,72.6,0
TS101AH,TS10 1AH,TS,100,0,100,0,0,0,0,34.5,59.3,14.9,200.0,0,17.0,101.6,0,3.0,5.4,0.8,12.0,0,1.0,8.3,0,0,0,0,3,3,0,78.5,0,15.9,141.1,0
TS101AJ,TS10 1AJ,TS,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS101AN,TS10 1AN,TS,100,0,100,0,0,0,0,20.5,36.3,7.7,200.0,8.0,17.5,139.9,0,0.9,1.8,0.4,12.0,0.6,0.9,12.0,0,0,0,3,8,2,0,44.4,0.5,37.7,81.6,0
TS101AP,TS10 1AP,TS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TS101AQ,TS10 1AQ,TS,100,0,100,0,0,0,0,22.9,62.1,18.5,200.0,0,21.0,128.0,0,1.3,4.4,0.8,12.0,0,1.2,9.6,0,0,0,0,8,5,0,210.5,0,77.3,504.4,0
TS101AR,TS10 1AR,TS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TS101AT,TS10 1AT,TS,100,0,100,0,0,0,0,21.5,33.8,16.8,70.0,0,20.5,55.0,0,1.2,3.1,1.0,10.0,0,1.1,6.2,0,0,0,0,8,5,0,127.4,0,113.3,150.0,0
