postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TW105AA,TW10 5AA,TW,97,0,97,0,0,0,3,50.0,53.8,4.7,152.0,4.7,14.0,72.5,0,3.0,3.4,0.6,12.0,1.0,0.9,4.5,0,0,1,0,7,17,0,145.0,62.3,186.9,132.7,0
TW105AB,TW10 5AB,TW,100,0,100,0,0,0,0,17.3,33.1,6.1,120.0,6.1,15.5,61.8,0,1.1,2.1,0.5,12.0,0.5,1.0,4.1,0,0,0,1,17,11,0,138.2,10.0,160.7,113.8,0
TW105AD,TW10 5AD,TW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TW105AE,TW10 5AE,TW,100,0,100,0,0,0,0,18.5,50.1,3.1,200.0,5.2,15.2,116.7,0,1.2,3.2,0.4,12.0,0.6,1.0,7.5,0,0,1,1,19,11,0,141.5,79.7,116.8,188.8,0
TW105AH,TW10 5AH,TW,100,0,100,0,0,0,0,100.0,93.7,14.5,152.0,0,14.5,113.5,0,6.0,6.8,1.1,12.0,0,1.1,8.3,0,0,0,0,1,4,0,125.7,0,5.1,155.9,0
TW105AL,TW10 5AL,TW,100,0,100,0,0,0,0,20.5,48.5,9.7,200.0,9.7,16.1,91.7,0,1.4,3.0,0.7,12.0,0.7,1.1,5.5,0,0,0,1,7,6,0,194.9,458.9,205.7,201.9,0
TW105AN,TW10 5AN,TW,96,0,96,0,0,0,4,17.5,23.2,3.8,152.0,5.4,16.0,78.1,0,1.0,1.5,0.4,12.0,0.6,1.0,7.5,0,0,1,1,21,3,0,67.1,70.7,72.2,87.1,0
TW105AP,TW10 5AP,TW,100,0,100,0,0,0,0,77.3,75.7,16.2,200.0,0,18.4,96.5,0,6.0,5.4,0.8,12.0,0,1.0,7.6,0,0,0,0,4,11,0,203.0,0,58.7,255.4,0
TW105AR,TW10 5AR,TW,100,0,100,0,0,0,0,18.4,38.1,10.9,152.0,0,15.3,79.2,0,1.1,4.0,0.8,12.0,0,1.1,10.5,0,0,0,0,9,5,0,63.0,0,76.0,39.5,0
TW105AS,TW10 5AS,TW,100,0,100,0,0,0,0,50.0,49.0,10.5,100.0,0,16.4,62.0,0,3.0,4.1,1.2,10.0,0,1.2,5.5,0,0,0,0,2,5,0,79.5,0,123.9,52.0,0
TW105AT,TW10 5AT,TW,100,0,100,0,0,0,0,25.0,40.7,8.2,100.0,8.2,15.8,65.7,0,1.2,2.4,0.7,10.0,0.7,1.0,6.0,0,0,0,1,9,10,0,50.0,9.9,45.0,55.0,0
TW105AU,TW10 5AU,TW,100,0,100,0,0,0,0,57.5,63.3,16.2,100.0,0,18.4,72.3,0,3.0,3.5,0.8,6.0,0,0.8,4.3,0,0,0,0,2,10,0,109.0,0,26.8,121.3,0
TW105AW,TW10 5AW,TW,100,0,100,0,0,0,0,19.4,55.4,2.6,200.0,6.3,13.3,103.6,0,1.3,3.9,0.5,12.0,0.9,1.1,6.9,0,0,1,2,13,14,0,107.4,35.0,97.3,118.3,0
TW105AX,TW10 5AX,TW,100,0,100,0,0,0,0,16.5,25.8,15.4,54.9,0,16.1,54.9,0,1.1,3.0,1.0,8.5,0,1.1,8.5,0,0,0,0,3,1,0,358.7,0,150.4,983.9,0
TW105AY,TW10 5AY,TW,100,0,100,0,0,0,0,20.0,46.4,7.3,200.0,7.3,16.4,84.0,0,1.3,4.1,0.8,20.0,0.9,1.2,8.8,0,0,0,1,14,12,0,114.5,59.4,153.0,77.3,0
TW105AZ,TW10 5AZ,TW,100,0,100,0,0,0,0,50.0,57.2,12.2,152.0,0,17.1,78.0,0,3.0,6.0,0.4,20.0,0,1.0,8.6,0,0,0,0,13,25,0,69.4,0,18.6,94.8,0
TW105BB,TW10 5BB,TW,100,0,100,0,0,0,0,20.0,40.8,9.4,152.0,9.4,15.9,69.8,0,1.2,3.3,0.8,14.4,0.9,1.0,6.3,0,0,0,1,13,12,0,85.1,7.5,46.5,137.0,0
TW105BD,TW10 5BD,TW,100,0,100,0,0,0,0,50.0,68.6,9.6,200.0,9.6,13.0,85.2,0,6.0,8.3,0.8,20.0,3.0,1.5,10.3,0,0,0,1,2,10,0,106.9,38.1,71.8,99.9,0
TW105BE,TW10 5BE,TW,100,0,100,0,0,0,0,19.0,32.3,8.2,100.0,8.2,16.2,64.6,0,1.2,2.4,0.7,6.9,1.0,1.0,5.3,0,0,0,1,5,3,0,59.8,10.4,58.4,62.7,0
