postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
UB100AA,UB10 0AA,UB,100,0,100,0,0,0,0,9.6,29.5,1.7,100.0,6.6,6.6,60.0,0,1.1,2.0,0.4,6.0,0.8,0.8,3.7,0,1,0,3,0,3,0,171.8,98.1,98.1,270.1,0
UB100AD,UB10 0AD,UB,100,0,100,0,0,0,0,39.9,43.0,3.4,200.0,6.7,11.6,71.7,0,3.0,4.5,0.4,15.4,0.9,1.2,7.7,0,0,4,6,11,23,0,149.7,61.8,85.3,213.3,0
UB100AE,UB10 0AE,UB,100,0,100,0,0,0,0,16.5,26.1,10.8,55.0,0,15.4,49.6,0,1.2,3.7,0.8,15.0,0,1.6,9.5,0,0,0,0,11,5,0,110.5,0,104.9,135.2,0
UB100AF,UB10 0AF,UB,100,0,100,0,0,0,0,34.9,37.8,3.5,200.0,7.5,7.5,57.4,0,2.0,5.0,0.4,20.0,0.9,0.9,8.3,0,0,1,10,0,17,0,164.9,108.1,108.1,165.6,0
UB100AG,UB10 0AG,UB,100,0,100,0,0,0,0,7.4,22.1,0.3,65.7,5.7,5.7,49.2,0,1.0,3.7,0.2,10.0,0.8,0.8,10.0,0,1,1,8,0,6,0,181.2,95.6,95.6,336.8,0
UB100AH,UB10 0AH,UB,100,0,100,0,0,0,0,40.0,41.7,2.5,150.0,6.4,6.4,59.3,0,3.0,5.5,0.5,20.0,0.9,0.9,8.2,0,0,2,9,0,22,0,168.9,90.7,90.7,202.5,0
UB100AJ,UB10 0AJ,UB,100,0,100,0,0,0,0,39.9,44.1,3.5,200.0,6.5,6.5,71.7,0,1.6,5.7,0.7,20.0,0.9,0.9,10.5,0,0,2,9,0,15,0,98.7,77.8,77.8,94.8,0
UB100AL,UB10 0AL,UB,100,0,100,0,0,0,0,50.0,69.3,4.3,200.0,6.0,6.0,84.2,0,5.0,5.7,0.7,12.0,0.8,0.8,7.0,0,0,2,2,0,17,0,187.5,8.5,8.5,235.6,0
UB100AN,UB10 0AN,UB,100,0,100,0,0,0,0,27.5,52.7,2.3,200.0,3.8,3.8,101.6,0,1.9,4.6,0.7,12.0,0.8,0.8,8.3,0,0,2,1,0,3,0,89.3,29.8,29.8,178.4,0
UB100AP,UB10 0AP,UB,100,0,100,0,0,0,0,40.0,39.2,6.1,54.9,6.1,6.1,47.5,0,10.0,8.2,0.8,10.0,0.8,0.8,10.0,0,0,0,1,0,4,0,125.6,39.2,39.2,100.3,0
UB100AQ,UB10 0AQ,UB,100,0,100,0,0,0,0,9.4,26.2,4.1,54.9,6.4,6.4,49.3,0,3.4,5.0,0.3,10.0,0.7,0.7,9.3,0,0,1,6,0,6,0,67.6,45.6,45.6,89.5,0
UB100AR,UB10 0AR,UB,100,0,100,0,0,0,0,57.5,49.4,1.4,70.0,1.4,1.4,59.0,0,5.0,5.6,0.4,10.0,0.4,0.4,6.6,0,1,0,0,0,5,0,87.8,3.9,3.9,104.6,0
UB100AS,UB10 0AS,UB,100,0,100,0,0,0,0,79.7,73.9,35.4,120.0,0,0,73.9,0,10.0,10.6,9.8,12.0,0,0,10.6,0,0,0,0,0,5,0,229.9,0,0,229.9,0
UB100AT,UB10 0AT,UB,100,0,100,0,0,0,0,100.0,91.5,1.8,200.0,2.8,2.8,121.1,0,6.0,6.2,0.8,12.0,0.8,0.8,8.6,0,1,2,0,0,9,0,233.0,112.4,112.4,299.5,0
UB100AU,UB10 0AU,UB,100,0,100,0,0,0,0,70.0,59.3,7.5,100.0,7.7,7.7,79.9,0,4.0,3.6,0.7,6.0,0.7,0.7,5.0,0,0,0,2,0,5,0,75.0,40.2,40.2,88.9,0
UB100AW,UB10 0AW,UB,100,0,100,0,0,0,0,85.7,96.6,3.3,200.0,3.3,3.3,115.3,0,10.0,9.8,0.8,20.0,0.8,0.8,11.6,0,0,1,0,0,5,0,130.6,25.0,25.0,151.7,0
UB100AY,UB10 0AY,UB,100,0,100,0,0,0,0,37.2,69.0,5.1,200.0,6.1,6.1,90.0,0,6.1,5.9,0.9,12.0,1.0,1.0,7.5,0,0,0,3,0,9,0,103.2,32.1,32.1,142.7,0
UB100AZ,UB10 0AZ,UB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UB100BA,UB10 0BA,UB,100,0,100,0,0,0,0,21.8,42.8,0.6,150.0,4.1,14.6,89.9,0,5.7,4.7,0.3,10.0,0.7,3.6,6.4,0,1,1,2,6,6,0,203.6,98.4,260.5,90.4,0
UB100BB,UB10 0BB,UB,100,0,100,0,0,0,0,70.0,82.6,4.7,152.0,5.6,5.6,104.6,0,6.0,6.6,0.8,12.0,0.8,0.8,8.3,0,0,1,1,0,7,0,61.7,4.5,4.5,65.3,0
UB100BD,UB10 0BD,UB,100,0,100,0,0,0,0,30.2,51.1,1.1,152.0,3.3,9.3,92.9,0,3.0,5.0,0.7,12.0,0.8,1.9,8.6,0,1,2,1,2,6,0,92.5,42.8,36.3,164.0,0
UB100BE,UB10 0BE,UB,95,0,95,0,0,5,5,5.5,30.9,2.0,100.0,3.6,3.6,67.3,0,1.1,2.8,0.4,10.0,0.8,0.8,6.2,0,0,6,2,0,6,0,66.6,48.4,48.4,66.5,0
UB100BF,UB10 0BF,UB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UB100BG,UB10 0BG,UB,100,0,100,0,0,0,0,35.0,33.8,0.7,150.0,3.9,3.9,58.7,0,1.0,3.4,0.5,10.0,0.8,0.8,7.8,0,1,2,2,0,6,0,126.9,67.9,67.9,138.9,0
UB100BH,UB10 0BH,UB,100,0,100,0,0,0,0,50.0,71.5,3.1,200.0,5.7,5.7,89.2,0,10.0,7.1,0.5,12.0,0.9,0.9,9.2,0,0,4,3,0,26,0,154.0,99.3,99.3,172.4,0
UB100BJ,UB10 0BJ,UB,100,0,100,0,0,0,0,54.0,89.3,3.8,200.0,3.8,3.8,106.4,0,10.0,9.2,0.5,20.0,0.7,0.7,10.9,0,0,2,0,0,10,0,211.6,25.4,25.4,233.0,0
UB100BL,UB10 0BL,UB,100,0,100,0,0,0,0,50.0,59.0,5.1,100.0,5.1,5.1,72.5,0,4.5,4.0,0.9,6.0,0.9,0.9,5.0,0,0,0,1,0,4,0,77.3,0.1,0.1,83.3,0
UB100BN,UB10 0BN,UB,100,0,100,0,0,0,0,38.7,64.1,1.0,200.0,3.7,12.4,97.0,0,6.0,6.4,0.4,16.2,0.7,1.8,9.6,0,1,1,2,3,11,0,191.7,25.8,169.5,205.9,0
UB100BP,UB10 0BP,UB,100,0,100,0,0,0,0,29.0,24.0,1.6,54.9,2.9,8.0,42.3,0,10.0,5.6,0.2,10.0,0.5,1.9,10.0,0,1,5,0,2,7,0,209.7,24.4,23.8,422.1,0
UB100BQ,UB10 0BQ,UB,100,0,100,0,0,0,0,39.9,41.3,5.5,80.0,6.8,6.8,53.6,0,10.0,5.8,0.6,10.0,0.8,0.8,10.0,0,0,0,5,0,14,0,127.6,64.4,64.4,150.2,0
UB100BS,UB10 0BS,UB,100,0,100,0,0,0,0,50.0,63.4,2.3,200.0,4.7,13.1,90.9,0,6.0,5.4,0.4,12.0,0.7,2.8,6.9,0,0,1,2,3,11,0,137.4,33.8,130.3,151.6,0
UB100BT,UB10 0BT,UB,100,0,100,0,0,0,0,21.4,23.4,12.0,32.7,0,17.5,32.1,0,2.0,2.3,1.0,3.9,0,2.5,2.0,0,0,0,0,3,2,0,117.9,0,137.8,88.0,0
UB100BU,UB10 0BU,UB,100,0,100,0,0,0,0,50.0,57.1,0.9,200.0,3.4,6.4,90.8,0,3.0,4.0,0.3,12.0,0.7,1.2,6.2,0,2,4,2,2,15,0,80.3,35.4,64.0,101.8,0
UB100BW,UB10 0BW,UB,100,0,100,0,0,0,0,85.0,80.2,0.8,150.0,0.8,0.8,106.7,0,5.5,5.4,0.7,10.0,0.7,0.7,7.0,0,1,0,0,0,3,0,167.4,3.8,3.8,222.0,0
UB100BY,UB10 0BY,UB,100,0,100,0,0,0,0,40.0,46.2,1.6,150.0,2.6,7.0,55.4,0,7.2,6.2,0.6,10.0,0.7,0.8,7.6,0,2,1,0,1,17,0,186.3,30.1,22.6,235.7,0
UB100BZ,UB10 0BZ,UB,100,0,100,0,0,0,0,50.0,36.5,3.1,63.8,3.1,3.1,58.8,0,3.0,8.8,0.4,20.0,0.6,0.6,14.3,0,0,2,0,0,3,0,71.7,7.7,7.7,135.5,0
UB100DA,UB10 0DA,UB,100,0,100,0,0,0,0,34.2,28.7,2.1,64.3,2.6,2.6,46.2,0,9.0,7.3,0.5,16.3,0.7,0.7,11.8,0,0,2,0,0,3,0,42.0,51.9,51.9,35.4,0
