postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WA101AD,WA10 1AD,WA,75,0,75,0,0,0,25,11.0,16.3,6.7,40.0,7.6,12.4,40.0,0,0.7,0.7,0.4,1.1,0.6,0.7,0,0,0,0,3,3,1,0,31.7,24.4,18.4,84.9,0
WA101AE,WA10 1AE,WA,100,0,100,0,0,0,0,18.6,18.4,10.7,24.4,0,18.4,0,0,1.1,1.0,0.6,1.2,0,1.0,0,0,0,0,0,5,0,0,0.9,0,0.9,0,0
WA101AF,WA10 1AF,WA,100,0,100,0,0,0,0,20.7,18.3,0.3,24.4,0.3,18.3,0,0,1.1,1.1,1.0,1.2,1.2,1.1,0,0,1,0,0,6,0,0,7.5,1.8,7.5,0,0
WA101AJ,WA10 1AJ,WA,100,0,100,0,0,0,0,18.9,25.8,8.2,80.0,8.2,16.7,80.0,0,1.2,1.1,1.0,1.2,1.0,1.1,0,0,0,0,1,5,1,0,17.4,2.8,17.4,0,0
WA101AR,WA10 1AR,WA,50,0,50,0,0,0,50,19.7,18.3,2.8,24.4,2.8,18.3,0,0,1.1,1.0,0.5,1.2,0.5,1.0,0,0,0,1,0,8,0,0,23.5,9.8,23.5,0,0
WA101AU,WA10 1AU,WA,64,0,64,0,0,0,36,24.1,35.2,19.9,72.8,0,22.7,72.8,0,1.1,5.8,1.0,20.0,0,1.1,20.0,0,0,0,0,3,1,0,30.9,0,36.0,15.7,0
WA101AW,WA10 1AW,WA,79,0,79,0,0,0,21,21.8,21.1,16.5,24.4,0,21.1,0,0,1.1,1.0,0.4,1.3,0,1.0,0,0,0,0,0,4,0,0,92.4,0,92.4,0,0
WA101AX,WA10 1AX,WA,25,0,25,0,0,0,75,17.4,15.6,7.7,24.4,8.0,15.6,0,0,0.9,0.9,0.4,1.4,0.8,0.9,0,0,0,0,4,11,0,0,41.8,3.7,41.8,0,0
WA101BA,WA10 1BA,WA,13,0,12,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA101BD,WA10 1BD,WA,82,0,82,0,0,0,18,20.4,18.4,8.1,24.4,8.1,18.4,0,0,1.0,1.0,0.4,1.4,0.6,1.0,0,0,0,0,3,20,0,0,22.7,1.6,22.7,0,0
WA101BF,WA10 1BF,WA,25,0,25,0,0,0,75,18.0,16.2,0.3,24.4,5.3,16.2,0,0,0.9,0.9,0.6,1.3,0.9,0.9,0,0,1,1,2,15,0,0,50.2,17.7,50.2,0,0
