postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WC1A1AB,WC1A 1AB,WC,9,0,100,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WC1A1AP,WC1A 1AP,WC,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WC1A1AW,WC1A 1AW,WC,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WC1A1BA,WC1A 1BA,WC,86,0,100,0,0,0,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WC1A1BH,WC1A 1BH,WC,100,0,100,0,0,0,0,20.6,40.8,0.2,150.0,2.1,12.3,74.1,0,1.2,4.2,0.4,12.0,0.7,0.9,10.7,0,1,1,0,5,6,0,241.6,17.2,318.9,208.4,0
WC1A1BL,WC1A 1BL,WC,100,0,100,0,0,0,0,14.8,28.6,1.4,150.0,5.6,13.4,150.0,0,1.1,2.3,1.1,12.0,1.1,1.1,12.0,0,1,0,1,6,1,0,61.0,32.7,52.0,133.0,0
WC1A1BN,WC1A 1BN,WC,100,0,100,0,0,0,0,50.3,50.1,19.9,79.8,0,20.4,79.8,0,1.2,1.2,1.2,1.2,0,1.2,0,0,0,0,0,2,2,0,42.5,0,63.4,0.7,0
WC1A1BS,WC1A 1BS,WC,100,0,100,0,0,0,0,21.9,20.7,15.3,23.1,0,20.7,0,0,1.0,0.9,0.4,1.1,0,0.9,0,0,0,0,0,5,0,0,56.3,0,56.3,0,0
WC1A1DB,WC1A 1DB,WC,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WC1A1DD,WC1A 1DD,WC,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WC1A1DE,WC1A 1DE,WC,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WC1A1DG,WC1A 1DG,WC,100,0,100,0,0,0,0,17.6,16.6,8.1,21.3,8.6,16.6,0,0,1.1,0.9,0.4,1.3,0.4,0.9,0,0,0,0,3,17,0,0,112.0,28.8,112.0,0,0
WC1A1EP,WC1A 1EP,WC,100,0,100,0,0,0,0,14.3,26.8,6.1,150.0,8.1,12.6,105.0,0,1.2,2.1,0.4,12.0,0.8,1.0,7.5,0,0,0,4,7,2,0,196.1,36.2,82.6,820.0,0
WC1A1ES,WC1A 1ES,WC,100,0,100,0,0,0,0,16.4,14.4,6.3,19.7,7.3,14.4,0,0,1.1,1.1,0.8,1.3,0.9,1.1,0,0,0,0,2,5,0,0,94.8,58.8,94.8,0,0
WC1A1EU,WC1A 1EU,WC,100,0,100,0,0,0,0,17.2,16.8,13.4,18.8,0,16.8,0,0,1.0,1.0,0.4,1.2,0,1.0,0,0,0,0,0,8,0,0,67.7,0,67.7,0,0
