postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WD171AA,WD17 1AA,WD,6,0,6,0,0,0,94,24.0,22.2,2.3,24.1,2.3,22.2,0,0,1.2,1.2,0.8,1.3,0,1.2,0,0,0,1,0,13,0,0,85.3,17.2,94.9,0,0
WD171AB,WD17 1AB,WD,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WD171AH,WD17 1AH,WD,81,0,81,0,0,0,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WD171AP,WD17 1AP,WD,50,0,50,0,0,0,50,14.0,12.1,3.1,22.1,5.0,12.1,0,0,1.1,0.9,0.3,1.3,0.6,0.9,0,0,0,2,2,10,0,0,41.4,27.4,41.4,0,0
WD171AU,WD17 1AU,WD,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WD171AW,WD17 1AW,WD,17,0,17,0,0,0,83,18.3,17.2,8.1,24.0,8.1,17.2,0,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,0,2,10,0,0,81.2,1.6,81.2,0,0
WD171AY,WD17 1AY,WD,0,0,0,0,0,0,100,23.6,20.2,8.1,24.4,8.1,20.2,0,0,1.1,1.1,1.1,1.3,1.1,1.1,0,0,0,0,1,4,0,0,82.1,2.7,82.1,0,0
WD171AZ,WD17 1AZ,WD,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WD171BA,WD17 1BA,WD,47,0,47,0,0,0,53,18.6,18.7,12.3,22.0,0,18.7,0,0,1.2,1.1,0.8,1.3,0,1.1,0,0,0,0,0,13,0,0,140.4,0,140.4,0,0
WD171BD,WD17 1BD,WD,0,0,0,0,0,0,100,16.9,17.3,8.1,22.2,8.1,17.3,0,0,1.1,1.1,0.8,1.3,1.3,1.1,0,0,0,0,1,8,0,0,49.1,3.7,49.1,0,0
WD171BH,WD17 1BH,WD,100,0,100,0,0,0,0,15.4,21.8,9.1,76.1,9.4,15.9,57.0,0,1.1,1.6,0.6,10.0,0.8,1.1,10.0,0,0,0,2,16,3,0,119.1,39.8,123.3,66.3,0
