postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WF101AD,WF10 1AD,WF,59,0,59,0,0,0,41,19.4,18.0,6.0,24.4,8.0,18.0,0,0,1.1,1.1,0.4,2.4,0.9,1.1,0,0,0,0,7,31,0,0,45.3,2.0,46.3,0,0
WF101AE,WF10 1AE,WF,80,0,80,0,0,0,20,21.6,19.5,12.5,24.4,0,19.5,0,0,1.1,1.0,0.5,1.2,0,1.0,0,0,0,0,0,9,0,0,46.7,0,46.7,0,0
WF101AF,WF10 1AF,WF,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101AG,WF10 1AG,WF,100,0,100,0,0,0,0,23.3,42.1,8.1,200.0,8.1,18.4,125.0,0,1.1,2.4,0.4,10.0,0.4,1.0,7.5,0,0,0,1,6,2,0,36.9,2.7,36.7,37.9,0
WF101AH,WF10 1AH,WF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101AN,WF10 1AN,WF,100,0,100,0,0,0,0,21.0,19.5,14.3,21.8,0,19.5,0,0,1.1,1.1,0.9,1.2,0,1.1,0,0,0,0,0,4,0,0,27.7,0,27.7,0,0
WF101AR,WF10 1AR,WF,100,0,100,0,0,0,0,50.0,79.2,20.3,200.0,0,22.1,84.0,0,3.0,5.1,1.3,12.0,0,1.3,5.4,0,0,0,0,2,24,0,89.9,0,140.5,88.7,0
WF101AS,WF10 1AS,WF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101AX,WF10 1AX,WF,86,0,86,0,0,0,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101AY,WF10 1AY,WF,69,0,69,0,0,0,31,21.7,18.9,7.4,24.3,7.4,18.9,0,0,1.1,1.1,0.9,1.3,1.0,1.1,0,0,0,0,1,5,0,0,105.5,13.9,105.5,0,0
WF101BA,WF10 1BA,WF,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101BE,WF10 1BE,WF,14,0,14,0,0,0,86,22.9,21.9,15.9,24.4,0,21.9,0,0,1.1,1.0,0.8,1.2,0,1.0,0,0,0,0,0,6,0,0,50.4,0,50.4,0,0
WF101BG,WF10 1BG,WF,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101BJ,WF10 1BJ,WF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101BL,WF10 1BL,WF,100,0,100,0,0,0,0,50.0,52.0,20.9,100.0,0,22.1,70.0,0,3.0,3.1,1.3,6.0,0,1.3,4.2,0,0,0,0,3,5,0,124.5,0,132.9,119.4,0
WF101BN,WF10 1BN,WF,100,0,100,0,0,0,0,100.0,108.7,50.0,200.0,0,0,108.7,0,6.0,7.0,3.0,12.0,0,0,7.0,0,0,0,0,0,6,0,136.6,0,0,136.6,0
WF101BP,WF10 1BP,WF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101BQ,WF10 1BQ,WF,100,0,100,0,0,0,0,75.0,78.2,23.5,152.0,0,23.5,86.0,0,4.5,5.0,1.3,12.0,0,1.3,5.6,0,0,0,0,1,7,0,152.6,0,569.7,93.0,0
WF101BS,WF10 1BS,WF,100,0,100,0,0,0,0,21.4,40.8,15.4,200.0,0,20.5,92.9,0,1.3,2.4,0.8,12.0,0,1.2,5.6,0,0,0,0,18,7,0,194.6,0,198.8,183.6,0
WF101BT,WF10 1BT,WF,100,0,100,0,0,0,0,50.0,88.0,19.3,200.0,0,20.8,113.3,0,3.0,6.0,0.8,12.0,0,1.1,7.9,0,0,0,0,3,8,0,179.9,0,387.1,102.2,0
WF101BY,WF10 1BY,WF,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WF101DB,WF10 1DB,WF,86,0,86,0,0,0,14,22.8,20.2,2.3,24.4,5.0,20.2,0,0,1.2,1.1,0.4,1.4,1.0,1.1,0,0,0,1,1,12,0,0,14.1,12.1,14.1,0,0
WF101DE,WF10 1DE,WF,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101DG,WF10 1DG,WF,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101DL,WF10 1DL,WF,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101DP,WF10 1DP,WF,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WF101DX,WF10 1DX,WF,92,0,92,0,0,0,8,21.2,19.2,2.6,50.0,7.0,15.7,50.0,0,1.1,1.1,0.4,3.0,0.6,0.9,3.0,0,0,1,3,5,1,0,25.7,7.5,27.2,13.5,0
