postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WN11AJ,WN1 1AJ,WN,0,0,0,0,0,0,100,15.9,14.3,3.5,24.4,5.8,14.3,0,0,1.0,1.0,0.8,1.3,0.8,1.0,0,0,0,1,1,4,0,0,12.4,1.5,12.4,0,0
WN11AL,WN1 1AL,WN,22,0,22,0,0,0,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WN11AN,WN1 1AN,WN,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WN11AR,WN1 1AR,WN,50,0,50,0,0,0,50,21.0,17.9,8.1,21.3,8.1,17.9,0,0,1.7,1.6,1.0,2.3,1.0,1.6,0,0,0,0,1,3,0,0,26.0,0.6,26.0,0,0
WN11AS,WN1 1AS,WN,50,0,50,0,0,0,50,16.9,15.4,8.1,23.6,8.1,15.4,0,0,1.0,0.9,0.4,1.2,1.2,0.9,0,0,0,0,2,3,0,0,71.6,67.1,71.6,0,0
WN11AT,WN1 1AT,WN,11,0,11,0,0,0,89,13.5,13.4,8.1,21.1,8.1,13.4,0,0,1.0,1.1,1.0,1.2,1.0,1.1,0,0,0,0,2,4,0,0,4.3,2.2,4.3,0,0
WN11AU,WN1 1AU,WN,33,0,33,0,0,0,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WN11AW,WN1 1AW,WN,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WN11AX,WN1 1AX,WN,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WN11BA,WN1 1BA,WN,100,0,100,0,0,0,0,21.6,22.0,1.3,57.1,1.3,18.5,57.1,0,1.1,2.7,0.1,20.0,0.1,0.9,20.0,0,1,0,0,9,1,0,66.9,3.0,68.1,56.2,0
WN11BE,WN1 1BE,WN,100,0,100,0,0,0,0,17.3,14.3,0.3,23.9,5.5,14.3,0,0,1.1,1.0,0.4,1.1,0.8,1.0,0,0,1,0,2,5,0,0,50.1,2.3,50.1,0,0
WN11BG,WN1 1BG,WN,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WN11BH,WN1 1BH,WN,5,0,5,0,0,0,95,14.3,13.3,3.1,21.7,7.6,13.3,0,0,1.0,0.9,0.4,1.6,0.8,0.9,0,0,0,3,14,42,0,0,27.9,10.6,27.9,0,0
WN11BL,WN1 1BL,WN,0,0,0,0,0,0,100,21.6,20.3,15.6,22.2,0,20.3,0,0,1.2,1.2,1.0,1.3,0,1.2,0,0,0,0,0,4,0,0,249.9,0,249.9,0,0
WN11BN,WN1 1BN,WN,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WN11BP,WN1 1BP,WN,0,0,0,0,0,0,100,17.0,18.0,12.2,24.4,0,18.0,0,0,1.0,1.0,0.8,1.3,0,1.0,0,0,0,0,0,11,0,0,63.9,0,63.9,0,0
WN11BS,WN1 1BS,WN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WN11BT,WN1 1BT,WN,100,0,100,0,0,0,0,19.2,19.3,16.4,21.9,0,19.3,0,0,1.1,1.1,1.0,1.3,0,1.1,0,0,0,0,0,13,0,0,77.3,0,77.3,0,0
WN11BZ,WN1 1BZ,WN,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WN11DE,WN1 1DE,WN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WN11DF,WN1 1DF,WN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
