postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WR101AA,WR10 1AA,WR,100,0,100,0,0,0,0,19.9,36.6,8.1,80.0,8.1,16.8,73.7,0,1.0,2.0,0.4,10.0,1.0,0.9,10.0,0,0,0,2,13,8,0,49.6,35.0,60.3,32.0,0
WR101AG,WR10 1AG,WR,100,0,100,0,0,0,0,39.9,37.3,14.3,73.7,0,16.6,51.1,0,1.1,1.1,1.0,1.2,0,1.1,0,0,0,0,0,2,3,0,68.1,0,12.1,105.5,0
WR101AJ,WR10 1AJ,WR,100,0,100,0,0,0,0,21.6,35.7,8.1,79.8,8.1,17.2,67.3,0,1.2,4.4,0.8,20.0,1.1,1.1,16.7,0,0,0,1,11,7,0,60.8,2.5,44.3,91.5,0
WR101AL,WR10 1AL,WR,100,0,100,0,0,0,0,19.7,28.0,15.2,54.9,0,18.6,53.0,0,1.2,3.1,0.4,10.0,0,1.1,8.5,0,0,0,0,8,3,0,81.0,0,99.0,33.3,0
WR101AS,WR10 1AS,WR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WR101AT,WR10 1AT,WR,100,0,100,0,0,0,0,20.9,32.6,8.2,79.7,8.8,17.5,53.7,0,1.2,4.1,0.8,20.0,0.9,1.1,10.2,0,0,0,2,19,15,0,71.3,12.6,75.3,66.3,0
WR101AU,WR10 1AU,WR,100,0,100,0,0,0,0,20.4,20.8,17.5,23.3,0,20.8,0,0,0.8,1.0,0.8,1.3,0,1.0,0,0,0,0,0,5,0,0,306.3,0,306.3,0,0
WR101AW,WR10 1AW,WR,100,0,100,0,0,0,0,19.4,22.0,8.1,54.9,8.1,17.3,54.9,0,1.1,2.2,0.4,10.0,0.6,1.0,10.0,0,0,0,2,12,2,0,12.1,0.8,11.9,19.5,0
WR101AX,WR10 1AX,WR,100,0,100,0,0,0,0,22.0,35.9,12.2,80.0,0,17.8,55.7,0,1.2,4.3,0.5,14.1,0,1.1,9.8,0,0,0,0,12,11,0,85.9,0,82.2,90.0,0
WR101AY,WR10 1AY,WR,100,0,100,0,0,0,0,31.2,40.6,20.3,79.7,0,21.5,59.8,0,1.2,1.2,1.1,1.3,0,1.2,0,0,0,0,0,4,4,0,168.2,0,23.0,412.5,0
WR101AZ,WR10 1AZ,WR,100,0,100,0,0,0,0,18.3,22.5,0.8,51.5,4.5,11.9,43.8,0,0.9,3.9,0.3,10.0,0.6,0.8,10.0,0,1,0,1,4,3,0,34.4,4.9,40.4,22.5,0
