postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WS100AA,WS10 0AA,WS,100,0,100,0,0,0,0,19.7,22.7,13.4,50.0,0,18.1,50.0,0,1.1,1.7,0.7,5.0,0,1.0,5.0,0,0,0,0,6,1,0,59.7,0,34.1,187.8,0
WS100AH,WS10 0AH,WS,100,0,100,0,0,0,0,20.8,30.4,8.1,80.0,8.1,16.6,53.2,0,1.1,1.0,0.8,1.2,0.8,1.0,0,0,0,0,1,4,3,0,43.1,21.6,53.0,20.3,0
WS100AQ,WS10 0AQ,WS,100,0,100,0,0,0,0,17.9,16.9,11.9,19.8,0,16.9,0,0,0.9,0.9,0.7,1.1,0,0.9,0,0,0,0,0,4,0,0,29.3,0,29.3,0,0
WS100AR,WS10 0AR,WS,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WS100AS,WS10 0AS,WS,80,0,80,0,0,0,20,20.1,46.7,16.8,200.0,0,19.4,128.8,0,1.1,3.6,0.9,12.0,0,1.1,11.3,0,0,0,0,9,3,0,156.1,0,178.5,120.2,0
WS100AT,WS10 0AT,WS,100,0,100,0,0,0,0,16.8,15.0,3.1,23.4,3.1,15.0,0,0,1.1,1.1,1.0,1.2,1.0,1.1,0,0,0,1,0,3,0,0,32.8,2.6,32.8,0,0
WS100AW,WS10 0AW,WS,100,0,100,0,0,0,0,15.3,13.2,0.7,19.1,5.1,13.2,0,0,0.8,0.8,0.4,1.3,0.4,0.8,0,0,1,0,2,6,0,0,12.7,6.3,12.7,0,0
WS100AY,WS10 0AY,WS,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WS100AZ,WS10 0AZ,WS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WS100BA,WS10 0BA,WS,100,0,100,0,0,0,0,14.1,17.3,7.6,40.0,7.6,11.6,40.0,0,1.0,2.7,0.4,10.0,1.0,0.9,10.0,0,0,0,1,3,1,0,91.8,60.5,69.8,179.8,0
WS100BB,WS10 0BB,WS,100,0,100,0,0,0,0,12.3,17.5,8.9,72.6,9.3,12.0,56.3,0,1.1,2.9,0.9,20.0,1.1,1.1,15.0,0,0,0,4,10,2,0,105.2,82.3,106.9,93.2,0
WS100BD,WS10 0BD,WS,100,0,100,0,0,0,0,22.1,59.7,6.3,200.0,6.3,18.1,109.7,0,1.2,3.7,0.6,12.0,0.8,1.0,7.9,0,0,0,1,11,10,0,242.8,135.7,316.2,168.9,0
WS100BE,WS10 0BE,WS,100,0,100,0,0,0,0,50.0,61.4,1.6,200.0,1.6,16.6,96.3,0,3.0,4.2,0.5,12.0,0.5,1.0,6.8,0,1,0,0,6,9,0,171.0,13.8,162.0,205.3,0
WS100BG,WS10 0BG,WS,100,0,100,0,0,0,0,50.0,50.1,14.5,100.0,0,19.5,75.6,0,3.0,3.6,1.0,10.0,0,1.2,5.7,0,0,0,0,5,6,0,77.4,0,83.2,72.6,0
