postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WV100AB,WV10 0AB,WV,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV100AD,WV10 0AD,WV,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV100AE,WV10 0AE,WV,100,0,100,0,0,0,0,9.7,37.4,2.6,200.0,7.7,7.7,96.7,0,1.1,3.3,0.4,12.0,0.9,0.9,8.3,0,0,1,5,0,3,0,29.1,15.4,15.4,56.6,0
WV100AF,WV10 0AF,WV,100,0,100,0,0,0,0,50.0,60.0,40.0,100.0,0,0,60.0,0,4.5,5.5,3.0,10.0,0,0,5.5,0,0,0,0,0,4,0,629.6,0,0,629.6,0
WV100AG,WV10 0AG,WV,100,0,100,0,0,0,0,8.1,14.6,2.1,57.9,6.8,8.2,47.6,0,1.0,2.4,0.4,15.6,0.9,1.1,11.0,0,0,3,18,5,5,0,88.2,100.0,85.6,85.7,0
WV100AH,WV10 0AH,WV,100,0,100,0,0,0,0,50.0,50.3,8.4,100.0,9.1,11.5,72.9,0,3.0,3.8,0.4,10.0,0.8,0.9,5.6,0,0,0,2,5,12,0,155.9,45.3,74.3,224.5,0
WV100AJ,WV10 0AJ,WV,100,0,100,0,0,0,0,10.2,11.5,5.3,40.0,8.6,9.7,40.0,0,1.0,1.5,0.6,10.0,0.9,1.0,10.0,0,0,0,8,8,1,0,281.0,144.1,273.3,317.3,0
WV100AL,WV10 0AL,WV,100,0,100,0,0,0,0,12.2,36.7,2.1,152.0,6.3,9.1,75.2,0,1.2,2.9,0.4,12.0,0.9,1.6,4.8,0,0,3,7,4,10,0,137.1,54.0,112.8,184.6,0
WV100AP,WV10 0AP,WV,100,0,100,0,0,0,0,23.7,41.0,2.0,200.0,7.3,9.8,77.1,0,1.6,3.1,0.4,12.0,0.9,1.5,4.9,0,1,1,10,3,13,0,144.0,217.6,221.9,65.3,0
WV100AR,WV10 0AR,WV,100,0,100,0,0,0,0,8.0,17.7,3.0,55.0,5.8,7.0,50.0,0,1.0,3.2,0.6,10.0,0.9,0.9,10.0,0,0,2,5,2,3,0,146.7,84.3,99.5,288.0,0
WV100AT,WV10 0AT,WV,100,0,100,0,0,0,0,11.5,27.1,4.1,79.8,7.8,9.8,61.7,0,1.1,4.1,0.8,20.0,1.0,1.0,13.3,0,0,1,10,15,13,0,226.5,171.3,156.8,400.4,0
WV100AU,WV10 0AU,WV,100,0,100,0,0,0,0,30.0,31.2,5.8,100.0,7.2,10.7,51.7,0,3.0,3.3,0.8,7.7,1.0,1.6,5.3,0,0,0,4,2,6,0,198.7,206.8,233.5,169.8,0
WV100AW,WV10 0AW,WV,100,0,100,0,0,0,0,10.5,21.2,5.9,79.8,8.1,9.7,67.4,0,0.9,1.9,0.7,10.0,0.8,0.9,10.0,0,0,0,3,5,2,0,146.1,88.6,132.8,58.8,0
WV100AX,WV10 0AX,WV,92,0,92,0,0,0,8,19.3,43.5,2.3,200.0,5.9,15.2,73.9,0,1.3,2.7,0.1,12.0,0.6,0.9,4.7,0,0,1,1,26,26,0,136.7,85.4,123.1,156.7,0
WV100AZ,WV10 0AZ,WV,100,0,100,0,0,0,0,50.0,46.9,8.3,200.0,8.3,16.6,65.3,0,3.0,3.0,0.8,12.0,1.0,1.1,4.1,0,0,0,1,13,23,0,169.6,47.9,212.1,145.6,0
WV100BA,WV10 0BA,WV,0,0,0,0,0,0,100,14.7,14.2,2.6,18.4,6.4,14.2,0,0,0.9,1.0,0.4,1.4,0.6,1.0,0,0,0,2,3,64,0,0,172.9,52.2,172.9,0,0
WV100BB,WV10 0BB,WV,100,0,100,0,0,0,0,17.3,32.7,3.2,100.0,6.3,7.8,61.0,0,1.2,2.4,0.7,7.2,0.9,1.3,3.8,0,0,4,10,3,15,0,189.1,134.1,127.8,252.6,0
WV100BF,WV10 0BF,WV,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV100BG,WV10 0BG,WV,100,0,100,0,0,0,0,8.1,21.8,5.2,50.0,6.5,6.5,44.9,0,1.1,1.5,0.8,3.0,1.0,1.0,3.0,0,0,0,3,0,2,0,93.2,100.5,100.5,82.3,0
WV100BH,WV10 0BH,WV,100,0,100,0,0,0,0,50.0,47.3,6.7,200.0,7.4,12.8,77.5,0,3.0,3.0,0.8,12.0,1.0,1.0,4.8,0,0,0,2,5,8,0,124.1,154.2,160.0,123.7,0
WV100BJ,WV10 0BJ,WV,57,0,100,0,0,0,43,14.1,15.9,7.8,35.0,8.6,14.6,34.3,0,1.0,1.6,0.6,6.6,0.9,1.3,5.3,0,0,0,4,25,2,0,227.6,213.2,235.5,334.4,0
WV100BL,WV10 0BL,WV,100,0,100,0,0,0,0,17.8,48.7,5.3,200.0,5.3,15.3,98.9,0,1.2,3.6,0.4,12.0,0.4,1.0,7.7,0,0,0,1,5,4,0,332.0,25.9,395.1,237.4,0
WV100BN,WV10 0BN,WV,100,0,100,0,0,0,0,43.5,48.2,3.7,200.0,6.7,14.6,71.9,0,3.0,3.6,0.5,12.0,0.8,1.2,5.2,0,0,1,2,16,27,0,170.0,63.1,126.7,212.3,0
WV100BP,WV10 0BP,WV,17,0,100,0,0,0,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV100BQ,WV10 0BQ,WV,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WV100BS,WV10 0BS,WV,100,0,100,0,0,0,0,18.7,36.6,9.6,100.0,9.6,13.9,65.0,0,1.3,2.2,0.6,6.0,0.6,1.0,3.8,0,0,0,1,4,4,0,177.1,224.3,171.1,184.5,0
WV100BT,WV10 0BT,WV,100,0,100,0,0,0,0,50.0,43.6,2.6,200.0,6.4,12.8,66.2,0,3.0,3.0,0.4,12.0,0.7,1.0,4.4,0,0,2,6,14,30,0,286.7,217.1,303.0,286.1,0
WV100BU,WV10 0BU,WV,100,0,100,0,0,0,0,39.3,42.5,8.2,150.0,8.2,16.6,60.7,0,3.0,2.9,0.8,10.0,1.0,1.0,4.3,0,0,0,2,12,20,0,172.7,122.4,217.3,164.9,0
WV100BW,WV10 0BW,WV,100,0,100,0,0,0,0,50.0,52.7,5.7,200.0,8.1,13.2,81.5,0,3.0,3.7,0.7,12.0,0.8,1.0,5.6,0,0,0,4,12,22,0,191.8,135.7,142.7,238.4,0
WV100DG,WV10 0DG,WV,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
