postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
YO103AA,YO10 3AA,YO,0,0,0,0,0,0,100,17.2,16.7,8.1,20.1,8.1,16.7,0,0,1.1,1.1,0.8,1.4,0.9,1.1,0,0,0,0,1,9,0,0,221.4,26.8,221.4,0,0
YO103AB,YO10 3AB,YO,0,0,0,0,0,0,100,16.9,15.3,0.2,20.0,5.0,15.3,0,0,1.0,1.0,0.1,1.2,0.5,1.0,0,0,1,0,1,10,0,0,94.9,5.6,94.9,0,0
YO103AD,YO10 3AD,YO,17,0,17,0,0,0,83,20.9,20.5,17.7,22.6,0,20.5,0,0,1.2,1.2,1.1,1.3,0,1.2,0,0,0,0,0,4,0,0,419.8,0,419.8,0,0
YO103AE,YO10 3AE,YO,0,0,0,0,0,0,100,17.9,16.9,7.4,22.1,7.7,16.9,0,0,1.1,1.1,0.6,1.4,0.8,1.1,0,0,0,0,2,13,0,0,136.2,7.5,136.2,0,0
YO103AF,YO10 3AF,YO,0,0,0,0,0,0,100,18.6,18.1,8.0,22.2,8.0,18.1,0,0,1.2,1.1,0.8,1.4,0.9,1.1,0,0,0,0,1,12,0,0,179.1,141.2,179.1,0,0
YO103AG,YO10 3AG,YO,100,0,100,0,0,0,0,16.0,18.1,8.2,54.9,8.2,15.5,54.9,0,1.0,1.6,0.7,10.0,0.9,1.0,10.0,0,0,0,2,12,1,0,127.4,10.2,145.8,21.0,0
YO103AH,YO10 3AH,YO,100,0,100,0,0,0,0,19.9,19.9,16.4,23.4,0,19.9,0,0,1.0,1.0,0.4,1.4,0,1.0,0,0,0,0,0,8,0,0,165.3,0,165.3,0,0
YO103AJ,YO10 3AJ,YO,100,0,100,0,0,0,0,37.4,39.7,1.9,79.9,1.9,15.5,64.0,0,1.2,5.6,0.8,20.0,1.0,1.0,12.5,0,1,0,0,5,6,0,257.3,0.2,298.5,208.0,0
YO103AL,YO10 3AL,YO,0,0,0,0,0,0,100,18.6,17.8,12.5,24.4,0,17.8,0,0,1.1,1.1,0.6,1.4,0,1.1,0,0,0,0,0,28,0,0,134.0,0,137.0,0,0
YO103AN,YO10 3AN,YO,0,0,0,0,0,0,100,17.8,14.4,0.3,21.0,4.1,14.4,0,0,1.0,1.0,0.6,1.4,0.8,1.0,0,0,1,1,1,10,0,0,180.7,136.0,180.7,0,0
YO103AP,YO10 3AP,YO,9,0,9,0,0,0,91,18.9,21.4,10.5,54.9,0,17.7,54.9,0,1.2,2.1,0.9,10.0,0,1.1,10.0,0,0,0,0,9,1,0,97.4,0,109.0,4.6,0
YO103AQ,YO10 3AQ,YO,100,0,100,0,0,0,0,16.4,16.0,0.2,35.7,5.2,14.5,35.7,0,1.2,1.7,0.4,9.6,0.6,1.0,9.6,0,1,0,2,10,1,0,180.3,44.8,204.4,4.2,0
YO103AR,YO10 3AR,YO,0,0,0,0,0,0,100,16.4,14.7,3.3,21.9,3.3,14.7,0,0,0.9,1.0,0.8,1.3,1.1,1.0,0,0,0,1,0,6,0,0,137.3,5.2,137.3,0,0
YO103AS,YO10 3AS,YO,93,0,93,0,0,0,7,17.2,21.6,2.6,54.9,2.6,15.1,42.1,0,1.2,2.3,0.2,10.0,0.6,1.3,6.0,0,0,2,0,14,5,0,143.2,68.2,135.4,133.3,0
YO103AT,YO10 3AT,YO,100,0,100,0,0,0,0,16.2,18.3,6.5,46.6,7.5,14.8,44.2,0,1.1,2.1,0.3,10.0,0.6,1.3,7.7,0,0,0,4,18,3,0,141.2,26.4,138.6,160.4,0
YO103AU,YO10 3AU,YO,100,0,100,0,0,0,0,10.8,18.0,0.4,55.0,7.5,10.6,50.0,0,1.1,2.8,0.6,10.0,1.0,1.0,10.0,0,1,0,5,7,3,0,255.1,87.3,211.1,324.5,0
YO103AW,YO10 3AW,YO,2,0,2,0,0,0,98,17.0,15.7,1.1,21.9,5.1,15.7,0,0,1.1,1.0,0.3,1.4,0.8,1.0,0,0,2,1,3,34,0,0,168.1,77.5,168.1,0,0
YO103AX,YO10 3AX,YO,100,0,100,0,0,0,0,16.4,29.1,0.3,80.0,6.8,9.0,52.1,0,1.2,3.9,0.7,20.0,1.0,1.0,11.5,0,1,1,9,5,14,0,217.9,41.3,59.1,413.3,0
YO103AY,YO10 3AY,YO,100,0,100,0,0,0,0,11.4,31.2,3.8,80.0,7.2,9.1,61.6,0,1.1,5.3,0.4,20.0,0.9,1.0,12.7,0,0,1,11,10,16,0,122.8,36.6,116.9,110.1,0
YO103AZ,YO10 3AZ,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103BA,YO10 3BA,YO,100,0,100,0,0,0,0,9.2,22.6,0.5,79.8,6.0,6.9,50.5,0,1.0,3.4,0.7,17.0,0.9,0.9,11.4,0,1,2,10,3,9,0,73.8,73.0,68.9,82.4,0
YO103BB,YO10 3BB,YO,100,0,100,0,0,0,0,7.5,20.8,1.0,78.2,4.9,6.4,78.2,0,1.1,4.7,0.7,20.0,0.9,0.9,20.0,0,1,0,2,1,1,0,120.0,178.4,150.4,81.4,0
YO103BD,YO10 3BD,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103BE,YO10 3BE,YO,100,0,100,0,0,0,0,8.0,17.0,1.7,78.9,6.6,6.9,61.0,0,1.1,3.4,0.4,20.0,1.0,1.0,13.3,0,1,1,10,1,3,0,20.7,25.8,24.5,10.9,0
YO103BF,YO10 3BF,YO,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO103BG,YO10 3BG,YO,100,0,100,0,0,0,0,8.2,16.7,2.0,65.0,6.9,7.1,46.1,0,1.1,2.9,0.2,17.4,0.9,1.0,8.7,0,0,4,34,2,13,0,96.7,79.1,78.4,111.7,0
YO103BH,YO10 3BH,YO,100,0,100,0,0,0,0,8.2,8.2,6.0,10.1,7.7,8.2,0,0,1.1,1.0,0.9,1.1,1.0,1.0,0,0,0,0,4,1,0,0,29.0,36.0,29.0,0,0
YO103BJ,YO10 3BJ,YO,100,0,100,0,0,0,0,9.6,20.5,7.0,48.6,8.1,9.3,42.9,0,1.0,2.3,0.8,10.0,1.0,1.0,10.0,0,0,0,5,1,3,0,175.0,189.0,182.8,222.2,0
YO103BL,YO10 3BL,YO,100,0,100,0,0,0,0,13.7,17.3,7.4,40.0,7.4,12.8,40.0,0,0.9,2.4,0.8,10.0,0.8,0.9,10.0,0,0,0,1,4,1,0,425.1,23.0,276.1,1170.1,0
YO103BP,YO10 3BP,YO,100,0,100,0,0,0,0,40.0,47.0,12.1,80.0,0,14.8,61.3,0,10.0,10.4,1.1,20.0,0,1.1,15.6,0,0,0,0,4,9,0,236.0,0,185.5,274.3,0
YO103BQ,YO10 3BQ,YO,100,0,100,0,0,0,0,10.7,20.6,5.3,59.0,6.3,8.6,50.4,0,1.1,4.9,0.8,19.0,1.0,1.0,14.5,0,0,0,3,2,2,0,52.9,34.4,72.4,26.9,0
YO103BR,YO10 3BR,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103BS,YO10 3BS,YO,100,0,100,0,0,0,0,40.0,38.7,8.7,78.5,8.7,12.8,52.8,0,10.0,8.4,1.0,20.0,1.1,1.2,13.3,0,0,0,1,5,11,0,405.9,214.8,276.8,484.6,0
YO103BT,YO10 3BT,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103BU,YO10 3BU,YO,100,0,100,0,0,0,0,16.8,32.5,13.3,79.8,0,15.1,67.4,0,0.9,2.8,0.7,10.0,0,0.9,10.0,0,0,0,0,4,2,0,133.2,0,183.5,32.5,0
YO103BW,YO10 3BW,YO,100,0,100,0,0,0,0,12.0,12.3,9.7,15.3,9.7,12.3,0,0,1.1,1.0,0.8,1.2,1.2,1.0,0,0,0,0,1,9,0,0,112.4,160.4,112.4,0,0
YO103BX,YO10 3BX,YO,100,0,100,0,0,0,0,17.0,29.0,14.4,79.8,0,16.3,79.8,0,1.1,1.1,0.8,1.2,0,1.1,0,0,0,0,0,4,1,0,124.1,0,85.3,279.1,0
YO103BY,YO10 3BY,YO,100,0,100,0,0,0,0,15.2,24.8,1.1,79.9,4.1,13.5,63.4,0,1.2,2.4,0.4,20.0,0.6,1.1,13.2,0,1,0,1,22,7,0,125.8,181.9,112.7,177.6,0
YO103BZ,YO10 3BZ,YO,100,0,100,0,0,0,0,16.8,25.8,7.9,80.0,8.9,14.4,58.6,0,1.1,3.7,0.7,20.0,1.0,1.0,14.3,0,0,0,4,16,7,0,176.0,16.3,134.3,295.2,0
YO103DA,YO10 3DA,YO,43,0,43,0,0,0,57,14.6,15.9,4.0,55.0,8.3,14.4,42.5,0,1.1,1.6,0.6,10.0,0.9,1.3,7.0,0,0,1,12,40,3,0,149.7,44.2,141.5,266.7,0
YO103DB,YO10 3DB,YO,100,0,100,0,0,0,0,8.1,17.7,5.2,47.7,7.0,10.6,40.1,0,1.1,3.2,0.8,9.8,1.0,1.7,8.4,0,0,0,12,4,5,0,96.3,79.7,90.9,136.6,0
YO103DD,YO10 3DD,YO,100,0,100,0,0,0,0,17.0,33.8,7.9,79.3,8.7,11.9,59.3,0,1.2,6.7,0.5,20.0,0.9,1.0,14.0,0,0,0,5,9,12,0,181.7,8.9,74.6,305.7,0
YO103DE,YO10 3DE,YO,100,0,100,0,0,0,0,14.5,26.2,8.1,80.0,8.8,12.9,70.8,0,1.1,3.6,0.8,20.0,1.1,1.1,16.2,0,0,0,5,15,6,0,190.2,154.8,196.5,212.8,0
YO103DF,YO10 3DF,YO,100,0,100,0,0,0,0,27.7,38.2,9.0,80.0,9.0,12.3,64.1,0,1.2,4.2,0.8,20.0,0.8,1.1,15.0,0,0,0,1,6,7,0,165.6,74.9,158.4,203.4,0
YO103DG,YO10 3DG,YO,100,0,100,0,0,0,0,11.6,26.1,3.3,80.0,7.0,9.0,53.6,0,1.0,2.8,0.8,10.0,0.9,1.0,10.0,0,0,1,4,3,5,0,174.0,38.0,138.7,193.0,0
YO103DH,YO10 3DH,YO,100,0,100,0,0,0,0,15.6,13.8,7.5,16.6,7.5,13.8,0,0,1.2,1.1,0.9,1.3,0.9,1.1,0,0,0,0,1,3,0,0,247.9,109.8,247.9,0,0
YO103DJ,YO10 3DJ,YO,100,0,100,0,0,0,0,16.2,26.5,8.1,80.0,8.4,15.4,59.9,0,1.2,2.1,0.3,7.5,0.8,2.1,0,0,0,0,2,4,2,0,58.1,46.5,51.4,78.3,0
YO103DL,YO10 3DL,YO,100,0,100,0,0,0,0,15.4,21.7,7.6,79.8,7.6,13.8,53.3,0,1.0,2.4,0.8,10.0,0.9,1.0,9.5,0,0,0,1,11,3,0,208.9,5.8,184.6,323.1,0
YO103DN,YO10 3DN,YO,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO103DP,YO10 3DP,YO,100,0,100,0,0,0,0,16.1,28.1,0.6,80.0,5.9,10.5,52.5,0,1.2,4.3,0.4,18.9,0.8,1.0,12.8,0,2,1,7,15,18,0,34.7,6.3,11.0,61.0,0
YO103DQ,YO10 3DQ,YO,100,0,100,0,0,0,0,11.5,11.7,8.1,15.7,8.1,11.7,0,0,1.0,0.9,0.4,1.2,0.4,0.9,0,0,0,0,1,3,0,0,25.8,3.9,25.8,0,0
YO103DR,YO10 3DR,YO,100,0,100,0,0,0,0,17.8,22.3,12.5,39.9,0,15.3,36.2,0,1.1,3.5,1.0,10.0,0,1.9,10.0,0,0,0,0,4,2,0,63.2,0,38.7,112.3,0
YO103DS,YO10 3DS,YO,100,0,100,0,0,0,0,9.1,8.7,2.3,16.6,3.7,8.7,0,0,1.2,1.0,0.4,1.2,0.4,1.0,0,0,0,2,1,3,0,0,8.7,14.8,8.7,0,0
YO103DT,YO10 3DT,YO,100,0,100,0,0,0,0,14.1,13.4,8.3,16.1,8.3,13.4,0,0,0.8,0.9,0.8,1.2,0.8,0.9,0,0,0,0,1,8,0,0,183.9,20.8,183.9,0,0
YO103DW,YO10 3DW,YO,100,0,100,0,0,0,0,14.4,34.3,8.0,80.0,8.1,12.1,64.0,0,1.0,1.8,0.4,15.3,0.9,1.0,15.3,0,0,0,2,14,12,0,55.4,31.8,27.6,92.6,0
YO103DX,YO10 3DX,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103DY,YO10 3DY,YO,100,0,100,0,0,0,0,17.0,22.0,7.6,80.0,7.6,15.8,49.1,0,1.1,1.5,0.8,10.0,2.7,1.1,10.0,0,0,0,1,25,6,0,163.9,143.3,124.6,342.5,0
YO103DZ,YO10 3DZ,YO,100,0,100,0,0,0,0,18.2,21.8,12.8,40.0,0,16.3,39.9,0,1.2,1.9,0.8,10.0,0,1.1,10.0,0,0,0,0,10,3,0,213.9,0,250.4,92.2,0
YO103EA,YO10 3EA,YO,100,0,100,0,0,0,0,17.3,30.9,7.8,80.0,8.9,15.3,69.9,0,1.2,1.5,0.8,10.0,1.1,1.1,10.0,0,0,0,4,16,8,0,258.0,39.2,223.3,340.2,0
YO103EB,YO10 3EB,YO,100,0,100,0,0,0,0,17.9,30.2,8.1,79.8,8.1,15.6,65.2,0,1.1,3.7,0.4,20.0,0.4,1.0,20.0,0,0,0,1,11,5,0,182.1,3.9,121.3,350.5,0
YO103EE,YO10 3EE,YO,50,0,50,0,0,0,50,21.4,25.1,8.1,73.7,8.1,19.9,54.7,0,1.2,2.9,0.4,20.0,0.4,1.1,13.6,0,0,0,1,22,4,0,276.7,1.5,289.2,273.6,0
YO103EF,YO10 3EF,YO,100,0,100,0,0,0,0,17.9,29.0,10.5,80.0,0,16.5,58.9,0,1.2,2.3,0.4,10.0,0,1.0,10.0,0,0,0,0,12,5,0,340.5,0,157.7,888.7,0
YO103EG,YO10 3EG,YO,100,0,100,0,0,0,0,18.7,16.7,0.3,22.3,4.2,16.7,0,0,1.2,1.1,0.8,1.3,1.1,1.1,0,0,1,0,1,18,0,0,132.7,31.9,142.5,0,0
YO103EH,YO10 3EH,YO,100,0,100,0,0,0,0,16.9,22.7,2.0,55.0,2.0,15.2,50.0,0,1.2,3.2,0.8,10.0,3.2,1.3,10.0,0,1,0,0,10,3,0,109.6,138.0,86.5,229.9,0
YO103EJ,YO10 3EJ,YO,100,0,100,0,0,0,0,15.9,19.7,8.6,54.3,8.6,15.0,44.8,0,1.1,2.8,0.7,17.3,1.0,1.0,12.4,0,0,0,1,15,3,0,185.7,2.1,145.4,400.9,0
YO103EL,YO10 3EL,YO,100,0,100,0,0,0,0,17.9,24.3,6.5,80.0,7.3,16.6,55.1,0,1.2,3.0,0.4,20.0,0.6,1.1,11.6,0,0,0,2,26,7,0,171.8,144.5,143.4,285.6,0
YO103EN,YO10 3EN,YO,100,0,100,0,0,0,0,18.7,19.7,10.2,40.0,0,16.8,40.0,0,1.2,1.2,0.9,1.3,0,1.2,0,0,0,0,0,7,1,0,192.1,0,87.5,924.1,0
YO103EP,YO10 3EP,YO,100,0,100,0,0,0,0,18.9,28.5,8.2,80.0,8.7,16.4,51.1,0,1.2,5.1,0.6,20.0,1.1,1.4,12.3,0,0,0,2,24,14,0,220.1,43.8,148.9,350.1,0
YO103EQ,YO10 3EQ,YO,100,0,100,0,0,0,0,19.4,27.6,7.7,80.0,8.3,16.8,63.3,0,1.2,3.4,0.5,20.0,0.6,1.1,13.4,0,0,0,3,20,7,0,222.5,203.7,183.3,346.4,0
YO103ER,YO10 3ER,YO,100,0,100,0,0,0,0,15.5,24.4,12.6,79.8,0,15.2,79.8,0,1.0,1.0,0.8,1.2,0,1.0,0,0,0,0,0,6,1,0,140.8,0,156.6,46.4,0
YO103ES,YO10 3ES,YO,100,0,100,0,0,0,0,39.9,42.0,15.9,80.0,0,17.6,58.3,0,1.2,4.1,1.2,10.0,0,1.2,10.0,0,0,0,0,2,3,0,80.0,0,49.6,100.3,0
YO103ET,YO10 3ET,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103EU,YO10 3EU,YO,100,0,100,0,0,0,0,17.0,22.9,8.1,80.0,8.1,15.9,54.0,0,1.1,3.1,0.8,20.0,1.0,1.0,12.0,0,0,0,2,20,5,0,171.2,58.9,143.4,365.4,0
YO103EW,YO10 3EW,YO,100,0,100,0,0,0,0,18.2,22.6,10.0,80.0,0,17.8,80.0,0,1.2,2.5,0.8,20.0,0,1.1,20.0,0,0,0,0,12,1,0,95.4,0,87.2,214.1,0
YO103EX,YO10 3EX,YO,100,0,100,0,0,0,0,20.2,31.7,6.4,80.0,6.4,17.6,59.8,0,1.2,3.5,0.4,20.0,0.4,1.0,13.3,0,0,0,1,11,6,0,118.1,151.8,98.9,156.4,0
YO103EY,YO10 3EY,YO,100,0,100,0,0,0,0,19.0,26.0,8.3,80.0,8.3,17.1,52.2,0,1.2,3.1,0.6,20.0,0.8,1.0,11.2,0,0,0,2,30,11,0,109.8,24.9,112.8,101.2,0
YO103FA,YO10 3FA,YO,100,0,100,0,0,0,0,16.6,22.2,13.0,40.0,0,15.7,38.5,0,1.3,3.7,1.2,10.0,0,1.2,10.0,0,0,0,0,5,2,0,237.0,0,122.1,524.3,0
YO103FB,YO10 3FB,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103FD,YO10 3FD,YO,100,0,100,0,0,0,0,18.2,23.3,7.9,54.9,7.9,15.4,54.9,0,1.3,2.9,0.8,10.0,0.8,1.1,10.0,0,0,0,1,3,1,0,83.7,17.8,45.8,10.3,0
YO103FE,YO10 3FE,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103FF,YO10 3FF,YO,100,0,100,0,0,0,0,15.4,14.7,10.7,19.2,0,14.7,0,0,1.1,1.1,0.8,1.4,0,1.1,0,0,0,0,0,8,0,0,292.6,0,292.6,0,0
YO103FG,YO10 3FG,YO,100,0,100,0,0,0,0,15.9,28.1,12.6,79.8,0,15.4,59.9,0,1.3,2.9,0.8,10.0,0,1.2,10.0,0,0,0,0,5,2,0,351.5,0,296.2,489.7,0
YO103FH,YO10 3FH,YO,100,0,100,0,0,0,0,40.0,36.8,6.9,75.1,8.4,10.7,54.2,0,5.6,5.6,0.4,11.4,0.8,0.9,10.3,0,0,0,2,2,6,0,173.7,16.5,230.4,135.8,0
YO103FJ,YO10 3FJ,YO,100,0,100,0,0,0,0,14.3,12.9,2.6,16.0,5.6,12.9,0,0,1.1,1.0,0.5,1.2,0.8,1.0,0,0,0,1,1,7,0,0,169.6,120.9,186.8,0,0
YO103FL,YO10 3FL,YO,100,0,100,0,0,0,0,14.0,23.1,11.2,55.0,0,13.3,47.5,0,1.1,2.6,0.8,10.0,0,1.1,10.0,0,0,0,0,10,4,0,252.2,0,252.2,252.1,0
YO103FN,YO10 3FN,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103HA,YO10 3HA,YO,0,0,0,0,0,0,100,21.7,19.5,8.1,23.8,8.1,19.5,0,0,0.8,1.0,0.4,1.4,0.4,1.0,0,0,0,0,1,10,0,0,374.7,10.2,374.7,0,0
YO103HB,YO10 3HB,YO,0,0,0,0,0,0,100,21.6,20.1,5.0,23.5,5.0,20.1,0,0,1.2,1.1,0.6,1.3,0.6,1.1,0,0,0,1,0,12,0,0,298.3,255.4,298.3,0,0
YO103HD,YO10 3HD,YO,0,0,0,0,0,0,100,19.6,17.5,8.1,23.4,8.1,17.5,0,0,1.1,1.1,0.8,1.4,1.0,1.1,0,0,0,0,2,9,0,0,348.9,7.4,348.9,0,0
YO103HE,YO10 3HE,YO,0,0,0,0,0,0,100,20.3,18.3,5.0,23.8,8.0,18.3,0,0,1.2,1.1,0.2,1.4,0.6,1.1,0,0,0,1,4,41,0,0,252.2,60.9,252.2,0,0
YO103HF,YO10 3HF,YO,2,0,2,0,0,0,98,20.5,19.3,2.2,23.5,2.2,19.3,0,0,1.2,1.1,0.8,1.4,0.9,1.1,0,0,0,1,0,37,0,0,197.7,12.9,197.7,0,0
YO103HG,YO10 3HG,YO,0,0,0,0,0,0,100,19.8,16.2,3.1,21.7,4.2,16.2,0,0,1.1,1.0,0.5,1.4,0.5,1.0,0,0,0,1,1,6,0,0,229.9,28.5,229.9,0,0
YO103HH,YO10 3HH,YO,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103HJ,YO10 3HJ,YO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YO103HL,YO10 3HL,YO,83,0,83,0,0,0,17,20.9,25.9,20.0,40.0,0,22.4,40.0,0,1.2,2.6,0.7,5.1,0,2.0,5.1,0,0,0,0,4,1,0,193.5,0,214.6,109.1,0
YO103HN,YO10 3HN,YO,96,0,100,4,4,4,4,19.1,30.0,11.8,80.0,0,17.0,55.9,0,1.2,3.5,0.7,10.0,0,1.1,8.8,0,0,0,0,12,6,0,166.5,0,165.5,168.5,0
YO103HP,YO10 3HP,YO,100,0,100,0,0,0,0,18.6,28.5,8.2,80.0,8.2,16.0,57.1,0,1.2,4.2,0.8,20.0,1.0,1.2,13.6,0,0,0,3,22,11,0,198.4,43.7,172.3,208.4,0
YO103HQ,YO10 3HQ,YO,4,0,4,0,0,0,96,19.9,17.8,3.7,22.6,5.9,17.8,0,0,1.0,1.0,0.4,1.4,0.7,1.0,0,0,0,1,1,14,0,0,104.7,73.4,104.7,0,0
