postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
ZE10AB,ZE1 0AB,ZE,100,0,100,0,0,0,0,23.1,34.2,7.7,80.0,7.7,18.7,55.9,0,0.8,0.8,0.4,1.3,0.4,0.8,0,0,0,0,1,6,5,0,157.6,48.1,100.2,238.0,0
ZE10AE,ZE1 0AE,ZE,100,0,100,0,0,0,0,19.3,29.2,17.1,79.5,0,19.1,79.5,0,1.1,4.2,0.9,20.0,0,1.1,20.0,0,0,0,0,5,1,0,41.3,0,35.5,67.6,0
ZE10AF,ZE1 0AF,ZE,100,0,100,0,0,0,0,20.4,19.8,13.3,23.4,0,19.8,0,0,1.2,1.1,0.4,1.3,0,1.1,0,0,0,0,0,9,0,0,37.6,0,37.6,0,0
ZE10AG,ZE1 0AG,ZE,100,0,100,0,0,0,0,20.8,26.0,8.1,74.6,8.1,19.5,64.8,0,1.2,3.1,0.4,20.0,0.4,1.1,15.0,0,0,0,1,11,2,0,115.8,4.7,103.6,188.5,0
ZE10AH,ZE1 0AH,ZE,100,0,100,0,0,0,0,21.9,21.5,19.4,23.1,0,21.5,0,0,1.3,1.2,1.0,1.3,0,1.2,0,0,0,0,0,5,0,0,72.7,0,72.7,0,0
ZE10AL,ZE1 0AL,ZE,100,0,100,0,0,0,0,21.4,26.8,19.7,69.6,0,21.5,69.6,0,1.2,3.3,0.9,20.0,0,1.2,20.0,0,0,0,0,8,1,0,117.1,0,123.2,67.7,0
ZE10AN,ZE1 0AN,ZE,100,0,100,0,0,0,0,20.9,22.0,8.1,80.0,8.1,15.8,65.9,0,1.1,1.5,0.4,8.8,0.5,0.9,8.8,0,0,0,6,8,2,0,53.8,42.8,37.6,159.3,0
ZE10AP,ZE1 0AP,ZE,100,0,100,0,0,0,0,22.3,23.4,8.1,54.9,8.1,19.9,54.9,0,1.2,2.0,0.8,10.0,1.0,1.1,10.0,0,0,0,1,8,1,0,29.5,15.2,30.6,19.9,0
ZE10AQ,ZE1 0AQ,ZE,100,0,100,0,0,0,0,18.7,17.7,2.2,80.0,7.6,15.4,80.0,0,1.1,1.0,0.4,2.4,0.7,1.0,0,0,0,1,11,16,1,0,32.5,13.8,31.0,71.6,0
ZE10AR,ZE1 0AR,ZE,100,0,100,0,0,0,0,21.7,34.9,18.9,79.9,0,20.7,58.7,0,1.3,5.4,0.9,20.0,0,1.1,12.5,0,0,0,0,5,3,0,179.0,0,130.2,260.5,0
